energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.49574787,3.50479978,0.47029649,0.01468230,0.91735161,1.69349172,0.03129517,1.55531502
-5.48974487,3.58155043,0.48176114,0.01492640,0.93316471,1.73021181,0.03371613,1.58301388
-5.48374187,3.64621091,0.49141203,0.01512352,0.94521293,1.76135995,0.03614520,1.60505068
-5.47773887,3.69726440,0.49904996,0.01526916,0.95321668,1.78616684,0.03855168,1.62081190
-5.47173587,3.73342619,0.50450122,0.01535969,0.95696793,1.80397214,0.04090294,1.62980975
-5.46573287,3.75368053,0.50762300,0.01539248,0.95633731,1.81424305,0.04316512,1.63169681
-5.45972986,3.75731009,0.50830829,0.01536591,0.95127899,1.81658937,0.04530385,1.62627616
-5.45372686,3.74391696,0.50649000,0.01527947,0.94183319,1.81077438,0.04728503,1.61350667
-5.44772386,3.71343392,0.50214427,0.01513371,0.92812601,1.79672104,0.04907572,1.59350296
-5.44172086,3.66612581,0.49529247,0.01493028,0.91036672,1.77451322,0.05064496,1.56653031
-5.43571786,3.60258064,0.48600208,0.01467184,0.88884242,1.74439188,0.05196470,1.53299452
-5.42971486,3.52369091,0.47438610,0.01436204,0.86391032,1.70674656,0.05301054,1.49342745
-5.42371186,3.43062599,0.46060107,0.01400538,0.83598792,1.66210226,0.05376257,1.44846865
-5.41770885,3.32479648,0.44484371,0.01360712,0.80554141,1.61110262,0.05420592,1.39884418
-5.41170585,3.20781244,0.42734620,0.01317315,0.77307285,1.55448988,0.05433132,1.34534343
-5.40570285,3.08143675,0.40837042,0.01270985,0.73910650,1.49308269,0.05413547,1.28879501
-5.39969985,2.94753595,0.38820111,0.01222391,0.70417487,1.42775259,0.05362117,1.23004267
-5.39369685,2.80803005,0.36713845,0.01172220,0.66880506,1.35940014,0.05279736,1.16992225
-5.38769385,2.66484350,0.34549020,0.01121158,0.63350572,1.28893169,0.05167894,1.10924053
-5.38169085,2.51985893,0.32356375,0.01069879,0.59875527,1.21723753,0.05028641,1.04875657
-5.37568784,2.37487507,0.30165832,0.01019025,0.56499158,1.14517222,0.04864533,0.98916623
-5.36968484,2.23157026,0.28005778,0.00969198,0.53260341,1.07353767,0.04678569,0.93109011
-5.36368184,2.09147237,0.25902412,0.00920947,0.50192396,1.00306937,0.04474114,0.87506507
-5.35767884,1.95593570,0.23879188,0.00874756,0.47322637,0.93442600,0.04254807,0.82153942
-5.35167584,1.82612506,0.21956382,0.00831041,0.44672143,0.86818247,0.04024478,0.77087143
-5.34567284,1.70300702,0.20150774,0.00790140,0.42255723,0.80482632,0.03787050,0.72333101
-5.33966983,1.58734792,0.18475464,0.00752316,0.40082072,0.74475717,0.03546448,0.67910403
-5.33366683,1.47971796,0.16939818,0.00717749,0.38154091,0.68828889,0.03306519,0.63829876
-5.32766383,1.38050064,0.15549529,0.00686546,0.36469350,0.63565406,0.03070947,0.60095404
-5.32166083,1.28990649,0.14306804,0.00658738,0.35020652,0.58701010,0.02843192,0.56704844
-5.31565783,1.20799022,0.13210631,0.00634286,0.33796694,0.54244675,0.02626432,0.53651007
-5.30965483,1.13467010,0.12257137,0.00613092,0.32782762,0.50199410,0.02423520,0.50922642
-5.30365183,1.06974859,0.11440001,0.00595002,0.31961454,0.46563102,0.02236954,0.48505388
-5.29764882,1.01293329,0.10750903,0.00579816,0.31313398,0.43329326,0.02068863,0.46382662
-5.29164582,0.96385740,0.10179995,0.00567297,0.30817934,0.40488108,0.01920997,0.44536448
-5.28564282,0.92209879,0.09716372,0.00557181,0.30453749,0.38026606,0.01794737,0.42947973
-5.27963982,0.88719737,0.09348512,0.00549186,0.30199441,0.35929696,0.01691102,0.41598263
-5.27363682,0.85867004,0.09064702,0.00543017,0.30034008,0.34180449,0.01610775,0.40468562
-5.26763382,0.83602322,0.08853394,0.00538377,0.29937243,0.32760500,0.01554119,0.39540638
-5.26163082,0.81876259,0.08703526,0.00534973,0.29890053,0.31650319,0.01521207,0.38796957
-5.25562781,0.80640033,0.08604761,0.00532522,0.29874677,0.30829394,0.01511845,0.38220764
-5.24962481,0.79845974,0.08547677,0.00530751,0.29874833,0.30276338,0.01525595,0.37796069
-5.24362181,0.79447760,0.08523881,0.00529407,0.29875787,0.29968947,0.01561795,0.37507556
-5.23761881,0.79400472,0.08526065,0.00528254,0.29864363,0.29884224,0.01619576,0.37340455
-5.23161581,0.79660489,0.08548004,0.00527076,0.29828907,0.29998392,0.01697874,0.37280366
-5.22561281,0.80185274,0.08584500,0.00525680,0.29759212,0.30286913,0.01795436,0.37313083
-5.21960980,0.80933100,0.08631295,0.00523889,0.29646432,0.30724534,0.01910828,0.37424414
-5.21360680,0.81862758,0.08684943,0.00521548,0.29482987,0.31285368,0.02042433,0.37600033
-5.20760380,0.82933284,0.08742668,0.00518521,0.29262467,0.31943020,0.02188453,0.37825358
-5.20160080,0.84103746,0.08802205,0.00514688,0.28979566,0.32670766,0.02346908,0.38085487
-5.19559780,0.85333119,0.08861649,0.00509949,0.28630022,0.33441785,0.02515639,0.38365176
-5.18959480,0.86580269,0.08919305,0.00504218,0.28210591,0.34229435,0.02692310,0.38648886
-5.18359180,0.87804062,0.08973562,0.00497427,0.27719044,0.35007577,0.02874422,0.38920884
