energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,S_s_up,S_p_up
-6.00000000,2.68356630,0.04355815,0.06986344,0.36542085,0.29225768,1.08181826,0.72239211,0.03048814,1.42933434
-5.99399700,2.80417919,0.04373268,0.07322003,0.37930971,0.30201250,1.12580000,0.76011735,0.03118601,1.49685347
-5.98799400,2.91780853,0.04362310,0.07642191,0.39189208,0.31075050,1.16611506,0.79677486,0.03172414,1.56078056
-5.98199100,3.02352007,0.04323440,0.07941661,0.40299024,0.31836853,1.20230241,0.83226210,0.03209703,1.62061075
-5.97598799,3.12056261,0.04257722,0.08215420,0.41245041,0.32478527,1.23398196,0.86652709,0.03230232,1.67593737
-5.96998499,3.20838438,0.04166739,0.08458867,0.42014695,0.32994324,1.26086498,0.89956686,0.03234073,1.72646092
-5.96398199,3.28664173,0.04052542,0.08667937,0.42598579,0.33381020,1.28276165,0.93142307,0.03221601,1.77199392
-5.95797899,3.35519971,0.03917578,0.08839213,0.42990707,0.33637971,1.29958555,0.96217500,0.03193478,1.81246120
-5.95197599,3.41412461,0.03764612,0.08970039,0.43188680,0.33767097,1.31135478,0.99192993,0.03150629,1.84789581
-5.94597299,3.46366897,0.03596639,0.09058599,0.43193766,0.33772791,1.31818980,1.02081171,0.03094210,1.87843060
-5.93996998,3.50424973,0.03416798,0.09103979,0.43010864,0.33661759,1.32030810,1.04894784,0.03025569,1.90428606
-5.93396698,3.53642079,0.03228282,0.09106198,0.42648381,0.33442796,1.31801576,1.07645596,0.02946212,1.92575496
-5.92796398,3.56084128,0.03034258,0.09066210,0.42118002,0.33126510,1.31169646,1.10343040,0.02857758,1.94318464
-5.92196098,3.57824111,0.02837789,0.08985877,0.41434372,0.32724997,1.30179818,1.12992969,0.02761900,1.95695771
-5.91595798,3.58938558,0.02641775,0.08867909,0.40614694,0.32251489,1.28881816,1.15596573,0.02660359,1.96747232
-5.90995498,3.59504063,0.02448896,0.08715782,0.39678258,0.31719976,1.27328673,1.18149539,0.02554855,1.97512279
-5.90395198,3.59594044,0.02261577,0.08533627,0.38645917,0.31144821,1.25575058,1.20641507,0.02447065,1.98028158
-5.89794897,3.59275879,0.02081960,0.08326095,0.37539521,0.30540379,1.23675600,1.23055870,0.02338598,1.98328352
-5.89194597,3.58608542,0.01911898,0.08098213,0.36381339,0.29920624,1.21683281,1.25369932,0.02230970,1.98441286
-5.88594297,3.57640832,0.01752949,0.07855223,0.35193475,0.29298816,1.19647951,1.27555436,0.02125586,1.98389375
-5.87993997,3.56410251,0.01606395,0.07602422,0.33997311,0.28687187,1.17615004,1.29579440,0.02023724,1.98188447
-5.87393697,3.54942564,0.01473259,0.07344995,0.32812980,0.28096682,1.15624273,1.31405495,0.01926529,1.97847558
-5.86793397,3.53252016,0.01354334,0.07087869,0.31658909,0.27536751,1.13709170,1.32995087,0.01835011,1.97369183
-5.86193097,3.51342182,0.01250219,0.06835573,0.30551420,0.27015187,1.11896092,1.34309252,0.01750045,1.96749771
-5.85592796,3.49207361,0.01161351,0.06592113,0.29504425,0.26538038,1.10204113,1.35310295,0.01672374,1.95980612
-5.84992496,3.46834427,0.01088040,0.06360882,0.28529210,0.26109562,1.08644959,1.35963531,0.01602620,1.95048967
-5.84392196,3.44205027,0.01030506,0.06144589,0.27634311,0.25732257,1.07223259,1.36238955,0.01541292,1.93939393
-5.83791896,3.41297999,0.00988900,0.05945218,0.26825499,0.25406930,1.05937055,1.36112763,0.01488797,1.92635203
-5.83191596,3.38091892,0.00963332,0.05764016,0.26105848,0.25132831,1.04778534,1.35568662,0.01445450,1.91119972
-5.82591296,3.34567457,0.00953881,0.05601512,0.25475893,0.24907813,1.03734963,1.34598903,0.01411484,1.89379041
-5.81990995,3.30710003,0.00960603,0.05457559,0.24933871,0.24728543,1.02789769,1.33204999,0.01387062,1.87400934
-5.81390695,3.26511511,0.00983527,0.05331401,0.24476013,0.24590723,1.01923713,1.31398108,0.01372278,1.85178646
-5.80790395,3.21972427,0.01022642,0.05221764,0.24096891,0.24489332,1.01116131,1.29199065,0.01367168,1.82710739
-5.80190095,3.17103060,0.01077878,0.05126949,0.23789791,0.24418872,1.00346159,1.26638077,0.01371708,1.80002221
-5.79589795,3.11924541,0.01149079,0.05044955,0.23547103,0.24373603,0.99593911,1.23754107,0.01385814,1.77065159
-5.78989495,3.06469307,0.01235966,0.04973583,0.23360697,0.24347768,0.98841558,1.20593978,0.01409340,1.73919028
-5.78389195,3.00781113,0.01338107,0.04910556,0.23222290,0.24335782,0.98074256,1.17211236,0.01442072,1.70590772
-5.77788894,2.94914553,0.01454874,0.04853628,0.23123771,0.24332405,0.97280897,1.13664836,0.01483722,1.67114574
-5.77188594,2.88934146,0.01585410,0.04800680,0.23057487,0.24332864,0.96454651,1.10017683,0.01533918,1.63531361
-5.76588294,2.82912984,0.01728596,0.04749800,0.23016473,0.24332948,0.95593272,1.06335095,0.01592198,1.59888039
-5.75987994,2.76931026,0.01883026,0.04699360,0.22994625,0.24329055,0.94699178,1.02683239,0.01658003,1.56236492
