energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-2.98049025,7.14062006,0.02572924,0.32410912,0.51396759,5.63674111,0.55256312,0.38803427,0.84669652,0.00000000
-2.97448724,7.43084436,0.02734791,0.33533702,0.53510291,5.88040382,0.56391816,0.40086881,0.88155029,0.00000000
-2.96848424,7.69382415,0.02888308,0.34511298,0.55439100,6.10314383,0.57330319,0.41197532,0.91363509,0.00000000
-2.96248124,7.92532732,0.03030940,0.35325999,0.57156239,6.30149668,0.58042510,0.42114937,0.94246871,0.00000000
-2.95647824,8.12168662,0.03160225,0.35963211,0.58639902,6.47241485,0.58503705,0.42822641,0.96763723,0.00000000
-2.95047524,8.27990933,0.03273853,0.36411848,0.59874038,6.61335801,0.58694641,0.43308730,0.98880729,0.00000000
-2.94447224,8.39776598,0.03369730,0.36664636,0.60848778,6.72236789,0.58602080,0.43566227,1.00573587,0.00000000
-2.93846923,8.47385441,0.03446050,0.36718304,0.61560666,6.79812464,0.58219195,0.43593309,1.01827699,0.00000000
-2.93246623,8.50763648,0.03501353,0.36573652,0.62012674,6.83998231,0.57545742,0.43393331,1.02638515,0.00000000
-2.92646323,8.49944602,0.03534583,0.36235510,0.62213998,6.84798217,0.56588002,0.42974666,1.03011528,0.00000000
-2.92046023,8.45046811,0.03545121,0.35712559,0.62179643,6.82284341,0.55358520,0.42350355,1.02961920,0.00000000
-2.91445723,8.36269067,0.03532819,0.35017058,0.61929815,6.76593207,0.53875642,0.41537603,1.02513885,0.00000000
-2.90845423,8.23883093,0.03498010,0.34164457,0.61489151,6.67920946,0.52162886,0.40557129,1.01699642,0.00000000
-2.90245123,8.08224038,0.03441509,0.33172941,0.60885812,6.56516313,0.50248171,0.39432413,1.00558211,0.00000000
-2.89644822,7.89679265,0.03364593,0.32062896,0.60150501,6.42672321,0.48162943,0.38188873,0.99133990,0.00000000
-2.89044522,7.68675941,0.03268970,0.30856343,0.59315429,6.26716830,0.45941228,0.36853012,0.97475200,0.00000000
-2.88444222,7.45667984,0.03156733,0.29576347,0.58413296,6.09002501,0.43618655,0.35451565,0.95632286,0.00000000
-2.87843922,7.21122925,0.03030304,0.28246432,0.57476315,5.89896547,0.41231479,0.34010706,0.93656323,0.00000000
-2.87243622,6.95509212,0.02892365,0.26890010,0.56535333,5.69770706,0.38815644,0.32555316,0.91597506,0.00000000
-2.86643322,6.69284429,0.02745789,0.25529860,0.55619070,5.48991808,0.36405903,0.31108378,0.89503784,0.00000000
-2.86043022,6.42884853,0.02593559,0.24187653,0.54753511,5.27913277,0.34035034,0.29690482,0.87419675,0.00000000
-2.85442721,6.16716625,0.02438691,0.22883546,0.53961451,5.06867820,0.31733159,0.28319483,0.85385319,0.00000000
-2.84842421,5.91148760,0.02284159,0.21635849,0.53262209,4.86161466,0.29527181,0.27010302,0.83435759,0.00000000
-2.84242121,5.66508068,0.02132818,0.20460766,0.52671493,4.66069065,0.27440351,0.25774872,0.81600484,0.00000000
-2.83641821,5.43075967,0.01987344,0.19372207,0.52201401,4.46831229,0.25491965,0.24622215,0.79903209,0.00000000
-2.83041521,5.21087080,0.01850169,0.18381673,0.51860537,4.28652651,0.23697183,0.23558639,0.78361871,0.00000000
-2.82441221,5.00729390,0.01723436,0.17498203,0.51654210,4.11701663,0.22066973,0.22588031,0.76988815,0.00000000
-2.81840920,4.82145725,0.01608958,0.16728369,0.51584674,3.96110838,0.20608159,0.21712219,0.75791127,0.00000000
-2.81240620,4.65436248,0.01508190,0.16076325,0.51651396,3.81978417,0.19323566,0.20931374,0.74771068,0.00000000
-2.80640320,4.50661664,0.01422210,0.15543883,0.51851306,3.69370332,0.18212259,0.20244441,0.73926576,0.00000000
-2.80040020,4.37846833,0.01351709,0.15130620,0.52179023,3.58322602,0.17269831,0.19649554,0.73251790,0.00000000
-2.79439720,4.26984546,0.01296998,0.14834003,0.52627021,3.48843901,0.16488767,0.19144423,0.72737559,0.00000000
-2.78839420,4.18039234,0.01258013,0.14649530,0.53185757,3.40918136,0.15858834,0.18726676,0.72371929,0.00000000
-2.78239120,4.10950472,0.01234335,0.14570884,0.53843737,3.34506934,0.15367508,0.18394144,0.72140577,0.00000000
-2.77638819,4.05636185,0.01225219,0.14590092,0.54587559,3.29551950,0.15000413,0.18145073,0.72027192,0.00000000
-2.77038519,4.01995528,0.01229620,0.14697705,0.55401928,3.25977011,0.14741769,0.17978262,0.72013815,0.00000000
-2.76438219,3.99911474,0.01246237,0.14882984,0.56269688,3.23690096,0.14574841,0.17893132,0.72081138,0.00000000
-2.75837919,3.99253177,0.01273550,0.15134103,0.57171885,3.22585227,0.14482370,0.17889726,0.72208785,0.00000000
-2.75237619,3.99878194,0.01309868,0.15438374,0.58087895,3.22544354,0.14446999,0.17968644,0.72375602,0.00000000
-2.74637319,4.01634688,0.01353374,0.15782486,0.58995635,3.23439298,0.14451663,0.18130928,0.72559952,0.00000000
-2.74037019,4.04363688,0.01402177,0.16152765,0.59871877,3.25133848,0.14479962,0.18377896,0.72740055,0.00000000
-2.73436718,4.07901481,0.01454358,0.16535449,0.60692674,3.27486049,0.14516490,0.18710952,0.72894363,0.00000000
-2.72836418,4.12082167,0.01508020,0.16916978,0.61433890,3.30350722,0.14547130,0.19131361,0.73001985,0.00000000
-2.72236118,4.16740384,0.01561337,0.17284285,0.62071830,3.33582176,0.14559304,0.19640015,0.73043152,0.00000000
-2.71635818,4.21714133,0.01612589,0.17625086,0.62583941,3.37037085,0.14542172,0.20237192,0.72999699,0.00000000
-2.71035518,4.26847630,0.01660208,0.17928157,0.62949561,3.40577425,0.14486785,0.20922315,0.72855563,0.00000000
-2.70435218,4.31994066,0.01702808,0.18183582,0.63150663,3.44073359,0.14386176,0.21693718,0.72597252,0.00000000
-2.69834917,4.37018134,0.01739210,0.18382971,0.63172574,3.47405948,0.14235406,0.22548440,0.72214266,0.00000000
-2.69234617,4.41798190,0.01768461,0.18519626,0.63004602,3.50469520,0.14031541,0.23482026,0.71699443,0.00000000
-2.68634317,4.46227917,0.01789847,0.18588663,0.62640555,3.53173599,0.13773590,0.24488379,0.71049192,0.00000000
-2.68034017,4.50217390,0.01802895,0.18587058,0.62079092,3.55444252,0.13462384,0.25559643,0.70263611,0.00000000
-2.67433717,4.53693485,0.01807367,0.18513652,0.61323905,3.57224788,0.13100413,0.26686137,0.69346449,0.00000000
-2.66833417,4.56599600,0.01803250,0.18369071,0.60383693,3.58475766,0.12691622,0.27856352,0.68304938,0.00000000
-2.66233117,4.58894729,0.01790736,0.18155606,0.59271938,3.59174307,0.12241182,0.29057006,0.67149467,0.00000000
