energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-6.00000000,0.91751750,0.02207282,0.00317906,0.12419101,0.03409429,0.09637756,0.31185856,0.05790680,0.52209045
-5.99399700,1.02986455,0.02454900,0.00357069,0.13939042,0.04010525,0.10788722,0.34650506,0.06547313,0.58497208
-5.98799400,1.15134895,0.02717669,0.00400905,0.15581814,0.04699976,0.12030161,0.38320146,0.07376043,0.65268908
-5.98199100,1.28194001,0.02995106,0.00449535,0.17348733,0.05484682,0.13363008,0.42179299,0.08277898,0.72518033
-5.97598799,1.42152618,0.03286664,0.00503109,0.19240547,0.06371201,0.14788069,0.46209596,0.09253191,0.80233715
-5.96998499,1.56990341,0.03591752,0.00561816,0.21257382,0.07365479,0.16306028,0.50389781,0.10301345,0.88399797
-5.96398199,1.72676390,0.03909756,0.00625877,0.23398713,0.08472566,0.17917467,0.54695753,0.11420719,0.96994328
-5.95797899,1.89168524,0.04240053,0.00695554,0.25663315,0.09696325,0.19622880,0.59100654,0.12608429,1.05989095
-5.95197599,2.06412056,0.04582037,0.00771158,0.28049237,0.11039135,0.21422689,0.63574998,0.13860189,1.15349202
-5.94597299,2.24339008,0.04935116,0.00853053,0.30553755,0.12501613,0.23317252,0.68086840,0.15170151,1.25032730
-5.93996998,2.42867488,0.05298726,0.00941671,0.33173354,0.14082361,0.25306859,0.72601991,0.16530784,1.34990511
-5.93396698,2.61901345,0.05672321,0.01037525,0.35903691,0.15777755,0.27391733,0.77084284,0.17932790,1.45166043
-5.92796398,2.81330190,0.06055362,0.01141225,0.38739588,0.17581782,0.29572010,0.81495895,0.19365055,1.55495592
-5.92196098,3.01029853,0.06447293,0.01253493,0.41675023,0.19485953,0.31847717,0.85797733,0.20814670,1.65908517
-5.91595798,3.20863343,0.06847520,0.01375184,0.44703146,0.21479286,0.34218749,0.89949894,0.22267008,1.76327850
-5.90995498,3.40682366,0.07255367,0.01507297,0.47816309,0.23548391,0.36684839,0.93912199,0.23705878,1.86671154
-5.90395198,3.60329414,0.07670050,0.01650997,0.51006118,0.25677631,0.39245519,0.97644801,0.25113750,1.96851682
-5.89794897,3.79640439,0.08090628,0.01807621,0.54263509,0.27849398,0.41900090,1.01108872,0.26472061,2.06779817
-5.89194597,3.98448069,0.08515978,0.01978685,0.57578836,0.30044466,0.44647581,1.04267357,0.27761586,2.16364802
-5.88594297,4.16585295,0.08944764,0.02165881,0.60941982,0.32242445,0.47486710,1.07085771,0.28962878,2.25516690
-5.87993997,4.33889524,0.09375419,0.02371071,0.64342480,0.34422304,0.50415839,1.09533035,0.30056759,2.34148486
-5.87393697,4.50206854,0.09806149,0.02596261,0.67769638,0.36562947,0.53432922,1.11582308,0.31024840,2.42178386
-5.86793397,4.65396421,0.10234952,0.02843567,0.71212659,0.38643843,0.56535451,1.13211791,0.31850066,2.49532047
-5.86193097,4.79334615,0.10659655,0.03115174,0.74660754,0.40645659,0.59720382,1.14405464,0.32517252,2.56144766
-5.85592796,4.91918982,0.11077983,0.03413270,0.78103241,0.42550894,0.62984063,1.15153724,0.33013585,2.61963495
-5.84992496,5.03071632,0.11487651,0.03739979,0.81529610,0.44344475,0.66322148,1.15453879,0.33329082,2.66948568
-5.84392196,5.12741965,0.11886473,0.04097272,0.84929569,0.46014297,0.69729502,1.15310480,0.33456972,2.71075069
-5.83791896,5.20908581,0.12272502,0.04486883,0.88293057,0.47551686,0.73200109,1.14735450,0.33393981,2.74333753
