energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.00684449,0.02078700,0.09509575,0.31822306,0.00000000,0.30378020,0.23494989,0.03203805,0.50723750
-5.99399700,0.91390666,0.01980398,0.08515877,0.28474327,0.00000000,0.27287714,0.21120398,0.02934620,0.46326784
-5.98799400,0.82817519,0.01881697,0.07603285,0.25367642,0.00000000,0.24471076,0.18949408,0.02683727,0.42271944
-5.98199100,0.75003256,0.01782799,0.06774748,0.22513654,0.00000000,0.21929136,0.16990153,0.02453622,0.38579037
-5.97598799,0.67972965,0.01683909,0.06031827,0.19918612,0.00000000,0.19659498,0.15247376,0.02246272,0.35261797
-5.96998499,0.61738945,0.01585259,0.05374753,0.17583968,0.00000000,0.17656640,0.13722528,0.02063111,0.32327977
-5.96398199,0.56301329,0.01487109,0.04802512,0.15506837,0.00000000,0.15912268,0.12413910,0.01905048,0.29779557
-5.95797899,0.51648877,0.01389761,0.04312948,0.13680512,0.00000000,0.14415667,0.11316889,0.01772483,0.27613025
-5.95197599,0.47759902,0.01293556,0.03902886,0.12095022,0.00000000,0.13154068,0.10424134,0.01665327,0.25819718
-5.94597299,0.44603269,0.01198871,0.03568262,0.10737690,0.00000000,0.12112993,0.09725893,0.01583039,0.24386205
-5.93996998,0.42139430,0.01106116,0.03304254,0.09593695,0.00000000,0.11276578,0.09210271,0.01524658,0.23294685
-5.93396698,0.40321468,0.01015716,0.03105413,0.08646592,0.00000000,0.10627870,0.08863525,0.01488841,0.22523405
-5.92796398,0.39096127,0.00928104,0.02965795,0.07878798,0.00000000,0.10149093,0.08670347,0.01473906,0.22047083
-5.92196098,0.38404830,0.00843703,0.02879076,0.07272035,0.00000000,0.09821878,0.08614150,0.01477872,0.21837348
-5.91595798,0.38184682,0.00762912,0.02838671,0.06807709,0.00000000,0.09627483,0.08677353,0.01498507,0.21863182
-5.90995498,0.38369466,0.00686093,0.02837838,0.06467252,0.00000000,0.09546983,0.08841652,0.01533368,0.22091394
-5.90395198,0.38890648,0.00613557,0.02869780,0.06232400,0.00000000,0.09561458,0.09088298,0.01579858,0.22487118
-5.89794897,0.39678393,0.00545556,0.02927741,0.06085439,0.00000000,0.09652173,0.09398370,0.01635267,0.23014337
-5.89194597,0.40662615,0.00482275,0.03005093,0.06009405,0.00000000,0.09800761,0.09753054,0.01696826,0.23636458
-5.88594297,0.41774046,0.00423825,0.03095427,0.05988255,0.00000000,0.09989412,0.10133919,0.01761763,0.24316909
-5.87993997,0.42945336,0.00370249,0.03192635,0.06007005,0.00000000,0.10201072,0.10523198,0.01827351,0.25019774
-5.87393697,0.44112153,0.00321516,0.03290989,0.06051853,0.00000000,0.10419645,0.10904064,0.01890968,0.25710447
-5.86793397,0.45214283,0.00277531,0.03385215,0.06110278,0.00000000,0.10630196,0.11260904,0.01950146,0.26356287
-5.86193097,0.46196679,0.00238139,0.03470569,0.06171118,0.00000000,0.10819154,0.11579572,0.02002623,0.26927263
-5.85592796,0.47010443,0.00203133,0.03542891,0.06224634,0.00000000,0.10974506,0.11847627,0.02046389,0.27396555
-5.84992496,0.47613686,0.00172265,0.03598664,0.06262556,0.00000000,0.11085963,0.12054536,0.02079729,0.27741101
-5.84392196,0.47972255,0.00145255,0.03635052,0.06278107,0.00000000,0.11145106,0.12191843,0.02101256,0.27942049
-5.83791896,0.48060253,0.00121801,0.03649927,0.06266006,0.00000000,0.11145489,0.12253282,0.02109937,0.27985109
-5.83191596,0.47860369,0.00101588,0.03641881,0.06222445,0.00000000,0.11082699,0.12234849,0.02105108,0.27860778
