energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.33424289,0.00917192,0.01663197,1.10835740,1.42187670,0.03868703,2.01646706,0.46264488,0.12934277
-5.99399700,3.32715503,0.00968217,0.01675267,1.10177929,1.41746199,0.03892567,2.01349207,0.46017325,0.12910648
-5.98799400,3.31023066,0.01022698,0.01680784,1.09117892,1.40911077,0.03905644,2.00458572,0.45648378,0.12849642
-5.98199100,3.28474348,0.01080929,0.01679910,1.07700561,1.39740091,0.03909228,1.99050831,0.45177458,0.12755823
-5.97598799,3.25205281,0.01143122,0.01672893,1.05975605,1.38293649,0.03904735,1.97207321,0.44625405,0.12634058
-5.96998499,3.21354989,0.01209382,0.01660051,1.03995676,1.36632288,0.03893636,1.95011482,0.44013353,0.12489323
-5.96398199,3.17060433,0.01279691,0.01641763,1.01814623,1.34814233,0.03877398,1.92545642,0.43362009,0.12326521
-5.95797899,3.12451333,0.01353884,0.01618455,0.99485727,1.32893112,0.03857418,1.89887968,0.42690966,0.12150302
-5.95197599,3.07645574,0.01431641,0.01590583,0.97060061,1.30915955,0.03834964,1.87109696,0.42018080,0.11964904
-5.94597299,3.02745319,0.01512484,0.01558625,0.94585017,1.28921547,0.03811131,1.84272777,0.41358940,0.11774015
-5.93996998,2.97834000,0.01595770,0.01523061,0.92103080,1.26939234,0.03786791,1.81428045,0.40726451,0.11580668
-5.93396698,2.92974298,0.01680707,0.01484369,0.89650873,1.24988225,0.03762567,1.78613963,0.40130536,0.11387168
-5.92796398,2.88207183,0.01766362,0.01443009,0.87258516,1.23077403,0.03738819,1.75856018,0.39577987,0.11195059
-5.92196098,2.83552055,0.01851686,0.01399420,0.84949306,1.21205672,0.03715634,1.73166751,0.39072440,0.11005120
-5.91595798,2.79007907,0.01935538,0.01354012,0.82739718,1.19362780,0.03692838,1.70546425,0.38614502,0.10817409
-5.90995498,2.74555466,0.02016721,0.01307167,0.80639711,1.17530592,0.03670018,1.67984261,0.38201984,0.10631330
-5.90395198,2.70160136,0.02094011,0.01259232,0.78653299,1.15684713,0.03646557,1.65460181,0.37830264,0.10445738
-5.89794897,2.65775598,0.02166201,0.01210528,0.76779354,1.13796391,0.03621670,1.62946936,0.37492726,0.10259064
-5.89194597,2.61347865,0.02232134,0.01161346,0.75012587,1.11834575,0.03594459,1.60412532,0.37181276,0.10069454
-5.88594297,2.56819561,0.02290743,0.01111957,0.73344648,1.09768044,0.03563965,1.57822791,0.36886890,0.09874927
-5.87993997,2.52134232,0.02341080,0.01062617,0.71765283,1.07567472,0.03529221,1.55143951,0.36600195,0.09673527
-5.87393697,2.47240461,0.02382354,0.01013571,0.70263498,1.05207357,0.03489311,1.52345162,0.36312022,0.09463476
-5.86793397,2.42095602,0.02413946,0.00965064,0.68828668,1.02667694,0.03443415,1.49400755,0.36013939,0.09243312
-5.86193097,2.36668980,0.02435433,0.00917340,0.67451548,0.99935354,0.03390856,1.46292216,0.35698729,0.09012015
