energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,2.90079816,0.78622414,0.00000000,1.59466354,1.47543627,0.48272700,0.00000000
-5.99399700,2.81336767,0.75424216,0.00000000,1.56062184,1.41736129,0.47445522,0.00000000
-5.98799400,2.71417416,0.71998585,0.00000000,1.51803485,1.35504204,0.46354512,0.00000000
-5.98199100,2.60446501,0.68381505,0.00000000,1.46767330,1.28909488,0.45020221,0.00000000
-5.97598799,2.48573350,0.64612596,0.00000000,1.41048215,1.22021797,0.43469848,0.00000000
-5.96998499,2.35968043,0.60734247,0.00000000,1.34755435,1.14917525,0.41736432,0.00000000
-5.96398199,2.22817037,0.56790673,0.00000000,1.28010101,1.07677878,0.39857908,0.00000000
-5.95797899,2.09318471,0.52826936,0.00000000,1.20941908,1.00387011,0.37876081,0.00000000
-5.95197599,1.95677332,0.48887955,0.00000000,1.13685813,0.93130143,0.35835552,0.00000000
-5.94597299,1.82100707,0.45017571,0.00000000,1.06378755,0.85991740,0.33782654,0.00000000
-5.93996998,1.68793272,0.41257684,0.00000000,0.99156529,0.79053827,0.31764421,0.00000000
-5.93396698,1.55953215,0.37647497,0.00000000,0.92150949,0.72394501,0.29827646,0.00000000
-5.92796398,1.43768702,0.34222906,0.00000000,0.85487355,0.66086695,0.28018028,0.00000000
-5.92196098,1.32414979,0.31016038,0.00000000,0.79282549,0.60197225,0.26379454,0.00000000
-5.91595798,1.22052172,0.28054952,0.00000000,0.73643182,0.54786135,0.24953403,0.00000000
-5.90995498,1.12823770,0.25363501,0.00000000,0.68664597,0.49906357,0.23778481,0.00000000
-5.90395198,1.04855788,0.22961350,0.00000000,0.64430118,0.45603641,0.22890090,0.00000000
-5.89794897,0.98256516,0.20864126,0.00000000,0.61010727,0.41916752,0.22320188,0.00000000
-5.89194597,0.93116775,0.19083684,0.00000000,0.58465095,0.38877868,0.22097148,0.00000000
-5.88594297,0.89510561,0.17628457,0.00000000,0.56839875,0.36513131,0.22245676,0.00000000
-5.87993997,0.87495937,0.16503864,0.00000000,0.56170195,0.34843297,0.22786762,0.00000000
-5.87393697,0.87116066,0.15712745,0.00000000,0.56480266,0.33884411,0.23737644,0.00000000
-5.86793397,0.88400229,0.15255785,0.00000000,0.57784033,0.33648457,0.25111757,0.00000000
-5.86193097,0.91364746,0.15131914,0.00000000,0.60085811,0.34143914,0.26918644,0.00000000
-5.85592796,0.96013683,0.15338651,0.00000000,0.63380841,0.35376189,0.29163826,0.00000000
-5.84992496,1.02339283,0.15872370,0.00000000,0.67655735,0.37347865,0.31848604,0.00000000
-5.84392196,1.10322091,0.16728485,0.00000000,0.72888790,0.40058770,0.34969808,0.00000000
-5.83791896,1.19930743,0.17901537,0.00000000,0.79050153,0.43505818,0.38519491,0.00000000
-5.83191596,1.31121449,0.19385192,0.00000000,0.86101863,0.47682667,0.42484583,0.00000000
-5.82591296,1.43837227,0.21172143,0.00000000,0.93997783,0.52579179,0.46846527,0.00000000
-5.81990995,1.58006932,0.23253937,0.00000000,1.02683460,0.58180723,0.51580923,0.00000000
-5.81390695,1.73544216,0.25620742,0.00000000,1.12095977,0.64467381,0.56657212,0.00000000
-5.80790395,1.90346507,0.28261061,0.00000000,1.22163828,0.71413085,0.62038431,0.00000000
-5.80190095,2.08294136,0.31161435,0.00000000,1.32806904,0.78984770,0.67681092,0.00000000
-5.79589795,2.27249754,0.34306148,0.00000000,1.43936625,0.87141592,0.73535197,0.00000000
-5.78989495,2.47058158,0.37676960,0.00000000,1.55456290,0.95834301,0.79544443,0.00000000
-5.78389195,2.67546646,0.41252901,0.00000000,1.67261687,1.05004821,0.85646637,0.00000000
-5.77788894,2.88525994,0.45010149,0.00000000,1.79242004,1.14586096,0.91774343,0.00000000
-5.77188594,3.09792138,0.48922000,0.00000000,1.91281056,1.24502278,0.97855770,0.00000000
-5.76588294,3.31128583,0.52958970,0.00000000,2.03258835,1.34669261,1.03815906,0.00000000
-5.75987994,3.52309564,0.57089021,0.00000000,2.15053377,1.44995613,1.09577880,0.00000000
-5.75387694,3.73103894,0.61277916,0.00000000,2.26542890,1.55383889,1.15064529,0.00000000
-5.74787394,3.93279433,0.65489719,0.00000000,2.37608104,1.65732320,1.20200127,0.00000000
-5.74187094,4.12608048,0.69687404,0.00000000,2.48134768,1.75936824,1.24912228,0.00000000
-5.73586793,4.30870896,0.73833573,0.00000000,2.58016192,1.85893297,1.29133557,0.00000000
