energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,11.80575897,0.01842012,1.80424210,0.16894386,11.94357914,6.96886071,0.13608653,1.85770075
-5.99399700,11.81353612,0.01889951,1.77055886,0.17270957,11.78462224,6.98203112,0.13770145,1.89648891
-5.98799400,11.78357090,0.01937157,1.72886050,0.17637209,11.57657048,6.97180359,0.13900958,1.93313393
-5.98199100,11.71735425,0.01983169,1.67978747,0.17988782,11.32294036,6.93911628,0.14000266,1.96731646
-5.97598799,11.61677087,0.02027489,1.62408684,0.18320543,11.02784784,6.88516551,0.14067428,1.99869786
-5.96998499,11.48400703,0.02069575,1.56259098,0.18626657,10.69589274,6.81134578,0.14101944,2.02691730
-5.96398199,11.32146143,0.02108838,1.49619507,0.18900719,10.33203863,6.71919059,0.14103425,2.05159239
-5.95797899,11.13166319,0.02144644,1.42583405,0.19135940,9.94149260,6.61031683,0.14071576,2.07232372
-5.95197599,10.91720035,0.02176324,1.35245997,0.19325394,9.52958928,6.48637519,0.14006198,2.08870314
-5.94597299,10.68066153,0.02203185,1.27702036,0.19462296,9.10168250,6.34900851,0.13907199,2.10032560
-5.93996998,10.42459237,0.02224528,1.20043836,0.19540309,8.66304815,6.19981933,0.13774625,2.10680393
-5.93396698,10.15146743,0.02239671,1.12359518,0.19553859,8.21880034,6.04034743,0.13608702,2.10778595
-5.92796398,9.86367707,0.02247972,1.04731522,0.19498442,7.77382281,5.87205728,0.13409887,2.10297293
-5.92196098,9.56352800,0.02248854,0.97235426,0.19370907,7.33271621,5.69633483,0.13178919,2.09213840
-5.91595798,9.25325540,0.02241829,0.89939079,0.19169695,6.89976138,5.51449253,0.12916882,2.07514621
-5.90995498,8.93504377,0.02226522,0.82902057,0.18895031,6.47889798,5.32778084,0.12625247,2.05196678
-5.90395198,8.61105330,0.02202688,0.76175413,0.18549039,6.07371690,5.13740445,0.12305921,2.02269058
-5.89794897,8.28344833,0.02170232,0.69801713,0.18135791,5.68746463,4.94454090,0.11961275,1.98753788
-5.89194597,7.95442466,0.02129211,0.63815319,0.17661283,5.32305720,4.75035967,0.11594154,1.94686408
-5.88594297,7.62623232,0.02079849,0.58242859,0.17133321,4.98310085,4.55603953,0.11207876,1.90116024
-5.87993997,7.30119142,0.02022526,0.53103871,0.16561349,4.66991672,4.36278242,0.10806205,1.85104843
-5.87393697,6.98169860,0.01957773,0.48411532,0.15956203,4.38556679,4.17182246,0.10393302,1.79727205
-5.86793397,6.67022299,0.01886263,0.44173458,0.15329808,4.13187806,3.98442886,0.09973668,1.74068128
