energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.83331598,0.01930486,0.13839528,0.83708764,0.47678710,0.99619426,0.00000000,0.52755176,0.33419071
-5.99399700,1.83919269,0.01957894,0.13629771,0.84645859,0.47762269,1.00681129,0.00000000,0.53699215,0.33574715
-5.98799400,1.84400290,0.01974178,0.13474190,0.85557738,0.47883394,1.01631353,0.00000000,0.54622376,0.33654289
-5.98199100,1.84811273,0.01978884,0.13375147,0.86435679,0.48058257,1.02484023,0.00000000,0.55525292,0.33666232
-5.97598799,1.85191122,0.01971845,0.13334364,0.87270241,0.48303066,1.03253940,0.00000000,0.56408197,0.33620123
-5.96998499,1.85579253,0.01953187,0.13352898,0.88051344,0.48633409,1.03955825,0.00000000,0.57270585,0.33526309
-5.96398199,1.86014001,0.01923325,0.13431149,0.88768503,0.49063655,1.04603471,0.00000000,0.58110963,0.33395526
-5.95797899,1.86531273,0.01882939,0.13568900,0.89411198,0.49606459,1.05209072,0.00000000,0.58926716,0.33238546
-5.95197599,1.87163506,0.01832954,0.13765392,0.89969353,0.50272389,1.05782720,0.00000000,0.59714092,0.33065847
-5.94597299,1.87938945,0.01774506,0.14019411,0.90433900,0.51069671,1.06332128,0.00000000,0.60468311,0.32887334
-5.93996998,1.88881246,0.01708901,0.14329402,0.90797360,0.52004076,1.06862545,0.00000000,0.61183785,0.32712111
-5.93396698,1.90009383,0.01637571,0.14693590,0.91054426,0.53078915,1.07376871,0.00000000,0.61854439,0.32548305
-5.92796398,1.91337812,0.01562028,0.15110097,0.91202466,0.54295154,1.07875941,0.00000000,0.62474105,0.32402954
-5.92196098,1.92876833,0.01483811,0.15577065,0.91241929,0.55651602,1.08358938,0.00000000,0.63036964,0.32281953
-5.91595798,1.94633090,0.01404445,0.16092750,0.91176601,0.57145158,1.08823897,0.00000000,0.63537994,0.32190045
-5.90995498,1.96610108,0.01325385,0.16655614,0.91013674,0.58771083,1.09268238,0.00000000,0.63973402,0.32130855
-5.90395198,1.98808817,0.01247984,0.17264373,0.90763632,0.60523256,1.09689297,0.00000000,0.64340992,0.32106964
-5.89794897,2.01227973,0.01173454,0.17918024,0.90439926,0.62394406,1.10084790,0.00000000,0.64640448,0.32119994
-5.89194597,2.03864427,0.01102834,0.18615833,0.90058451,0.64376268,1.10453180,0.00000000,0.64873500,0.32170713
-5.88594297,2.06713198,0.01036975,0.19357288,0.89636863,0.66459673,1.10793902,0.00000000,0.65043960,0.32259129
-5.87993997,2.09767334,0.00976523,0.20142019,0.89193743,0.68634542,1.11107447,0.00000000,0.65157608,0.32384588
-5.87393697,2.13017559,0.00921917,0.20969681,0.88747673,0.70889800,1.11395281,0.00000000,0.65221940,0.32545844
-5.86793397,2.16451746,0.00873390,0.21839817,0.88316266,0.73213213,1.11659606,0.00000000,0.65245791,0.32741122
-5.86193097,2.20054249,0.00830983,0.22751703,0.87915214,0.75591166,1.11903003,0.00000000,0.65238837,0.32968148
-5.85592796,2.23805186,0.00794560,0.23704176,0.87557404,0.78008428,1.12127968,0.00000000,0.65211025,0.33224174
-5.84992496,2.27679736,0.00763832,0.24695478,0.87252163,0.80447914,1.12336405,0.00000000,0.65171960,0.33505985
-5.84392196,2.31647553,0.00738384,0.25723102,0.87004684,0.82890504,1.12529103,0.00000000,0.65130290,0.33809901
-5.83791896,2.35672395,0.00717703,0.26783668,0.86815672,0.85314939,1.12705274,0.00000000,0.65093140,0.34131783
-5.83191596,2.39712034,0.00701212,0.27872837,0.86681236,0.87697847,1.12862187,0.00000000,0.65065630,0.34467054
-5.82591296,2.43718532,0.00688298,0.28985264,0.86593051,0.90013904,1.12994944,0.00000000,0.65050523,0.34810738
-5.81990995,2.47638924,0.00678344,0.30114605,0.86538788,0.92236179,1.13096449,0.00000000,0.65048029,0.35157533
-5.81390695,2.51416335,0.00670757,0.31253580,0.86502792,0.94336634,1.13157571,0.00000000,0.65055792,0.35501909
-5.80790395,2.54991500,0.00664990,0.32394080,0.86466994,0.96286806,1.13167527,0.00000000,0.65069069,0.35838254
-5.80190095,2.58304680,0.00660567,0.33527340,0.86411994,0.98058629,1.13114469,0.00000000,0.65081095,0.36161048
-5.79589795,2.61297864,0.00657092,0.34644141,0.86318283,0.99625378,1.12986261,0.00000000,0.65083627,0.36465064
-5.78989495,2.63917182,0.00654268,0.35735051,0.86167529,1.00962683,1.12771386,0.00000000,0.65067629,0.36745605
-5.78389195,2.66115406,0.00651897,0.36790689,0.85943861,1.02049568,1.12459956,0.00000000,0.65024066,0.36998735
-5.77788894,2.67854380,0.00649885,0.37801990,0.85635086,1.02869452,1.12044747,0.00000000,0.64944761,0.37221524
-5.77188594,2.69107277,0.00648235,0.38760466,0.85233782,1.03411062,1.11522200,0.00000000,0.64823254,0.37412266
-5.76588294,2.69860512,0.00647041,0.39658441,0.84738179,1.03669196,1.10893309,0.00000000,0.64655614,0.37570670
-5.75987994,2.70115201,0.00646477,0.40489254,0.84152817,1.03645293,1.10164347,0.00000000,0.64441153,0.37698005
-5.75387694,2.69888073,0.00646780,0.41247409,0.83488901,1.03347760,1.09347357,0.00000000,0.64182979,0.37797182
-5.74787394,2.69211736,0.00648234,0.41928676,0.82764369,1.02792045,1.08460371,0.00000000,0.63888368,0.37872774
-5.74187094,2.68134285,0.00651150,0.42530134,0.82003624,1.02000434,1.07527323,0.00000000,0.63568900,0.37930949
-5.73586793,2.66718223,0.00655846,0.43050149,0.81236969,1.01001571,1.06577645,0.00000000,0.63240361,0.37979338
-5.72986493,2.65038744,0.00662627,0.43488306,0.80499750,0.99829729,1.05645543,0.00000000,0.62922399,0.38026817
-5.72386193,2.63181435,0.00671768,0.43845287,0.79831243,0.98523854,1.04768984,0.00000000,0.62637939,0.38083223
