energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
1.06553277,3.06439626,1.70948736,0.21838212,0.06816853,1.41592034,0.50156891,0.03073606
1.07153577,3.16316234,1.74968632,0.22430487,0.07156222,1.45669953,0.51544115,0.03174211
1.07753877,3.25874465,1.78518602,0.22985930,0.07498118,1.49795016,0.52796064,0.03265256
1.08354177,3.34964319,1.81510461,0.23495130,0.07837301,1.53921421,0.53884686,0.03345062
1.08954477,3.43444939,1.83873494,0.23949891,0.08168954,1.57998804,0.54787306,0.03412233
1.09554777,3.51187482,1.85555515,0.24343359,0.08488825,1.61973564,0.55486982,0.03465678
1.10155078,3.58077952,1.86523456,0.24670119,0.08793348,1.65790463,0.55972750,0.03504627
1.10755378,3.64019891,1.86763500,0.24926273,0.09079760,1.69394429,0.56239734,0.03528640
1.11355678,3.68936827,1.86280762,0.25109493,0.09346193,1.72732473,0.56289135,0.03537605
1.11955978,3.72774381,1.85098553,0.25219044,0.09591752,1.75755630,0.56128111,0.03531740
1.12556278,3.75501909,1.83257252,0.25255776,0.09816546,1.78420809,0.55769530,0.03511576
1.13156578,3.77113618,1.80812835,0.25222096,0.10021709,1.80692478,0.55231629,0.03477942
1.13756878,3.77629045,1.77835108,0.25121898,0.10209360,1.82544075,0.54537563,0.03431944
1.14357179,3.77092866,1.74405697,0.24960472,0.10382546,1.83959083,0.53714884,0.03374938
1.14957479,3.75574003,1.70615858,0.24744382,0.10545137,1.84931718,0.52794927,0.03308502
1.15557779,3.73164015,1.66564158,0.24481314,0.10701690,1.85467174,0.51812145,0.03234400
1.16158079,3.69974814,1.62354103,0.24179908,0.10857280,1.85581438,0.50803391,0.03154546
1.16758379,3.66135771,1.58091759,0.23849561,0.11017304,1.85300662,0.49807163,0.03070969
1.17358679,3.61790275,1.53883434,0.23500224,0.11187274,1.84660138,0.48862840,0.02985773
1.17958979,3.57091883,1.49833476,0.23142179,0.11372582,1.83702906,0.48009907,0.02901096
1.18559280,3.52200174,1.46042228,0.22785819,0.11578281,1.82478082,0.47287202,0.02819074
1.19159580,3.47276454,1.42604194,0.22441429,0.11808856,1.81038964,0.46732184,0.02741803
1.19759880,3.42479462,1.39606448,0.22118966,0.12068015,1.79441006,0.46380266,0.02671300
1.20360180,3.37961227,1.37127302,0.21827865,0.12358502,1.77739755,0.46264193,0.02609474
1.20960480,3.33863221,1.35235277,0.21576851,0.12681940,1.75988824,0.46413507,0.02558089
1.21560780,3.30312925,1.33988357,0.21373783,0.13038707,1.74237996,0.46854093,0.02518747
1.22161081,3.27420935,1.33433541,0.21225518,0.13427858,1.72531526,0.47607821,0.02492855
1.22761381,3.25278679,1.33606683,0.21137814,0.13847092,1.70906710,0.48692289,0.02481613
1.23361681,3.23956821,1.34532585,0.21115253,0.14292760,1.69392770,0.50120657,0.02485997
1.23961981,3.23504363,1.36225328,0.21161200,0.14759933,1.68010095,0.51901581,0.02506751
1.24562281,3.23948468,1.38688793,0.21277802,0.15242509,1.66769858,0.54039233,0.02544384
1.25162581,3.25294954,1.41917336,0.21465999,0.15733369,1.65674016,0.56533386,0.02599163
1.25762881,3.27529419,1.45896562,0.21725570,0.16224570,1.64715685,0.59379560,0.02671122
1.26363182,3.30618907,1.50604141,0.22055207,0.16707577,1.63879872,0.62569214,0.02760062
1.26963482,3.34514011,1.56010634,0.22452588,0.17173519,1.63144510,0.66089938,0.02865566
1.27563782,3.39151294,1.62080261,0.22914478,0.17613459,1.62481762,0.69925663,0.02987000
1.28164082,3.44455906,1.68771571,0.23436828,0.18018678,1.61859528,0.74056840,0.03123530
1.28764382,3.50344253,1.76037986,0.24014876,0.18380953,1.61243075,0.78460587,0.03274131
1.29364682,3.56726581,1.83828192,0.24643239,0.18692819,1.60596728,0.83110796,0.03437597
1.29964982,3.63509381,1.92086350,0.25316005,0.18947809,1.59885529,0.87978194,0.03612556
1.30565283,3.70597473,2.00752159,0.26026802,0.19140660,1.59076803,0.93030350,0.03797476
1.31165583,3.77895722,2.09760756,0.26768859,0.19267473,1.58141539,0.98231659,0.03990674
1.31765883,3.85310306,2.19042512,0.27535050,0.19325820,1.57055539,1.03543302,0.04190334
1.32366183,3.92749532,2.28522759,0.28317922,0.19314807,1.55800271,1.08923218,0.04394509
1.32966483,4.00124207,2.38121511,0.29109707,0.19235062,1.54363398,1.14326103,0.04601139
1.33566783,4.07347602,2.47753244,0.29902337,0.19088683,1.52738956,1.19703483,0.04808059
1.34167084,4.14335104,2.57326828,0.30687438,0.18879116,1.50927194,1.25003883,0.05013021
1.34767384,4.21003635,2.66745649,0.31456341,0.18610997,1.48934087,1.30173118,0.05213709
1.35367684,4.27270985,2.75908034,0.32200095,0.18289948,1.46770565,1.35154746,0.05407764
1.35967984,4.33055168,2.84707994,0.32909497,0.17922339,1.44451518,1.39890688,0.05592810
1.36568284,4.38273952,2.93036364,0.33575139,0.17515043,1.41994635,1.44322023,0.05766491
1.37168584,4.42844677,3.00782320,0.34187491,0.17075172,1.39419178,1.48389971,0.05926498
1.37768884,4.46684466,3.07835311,0.34737001,0.16609831,1.36744741,1.52037026,0.06070620
1.38369185,4.49710901,3.14087331,0.35214242,0.16125882,1.33990105,1.55208234,0.06196779
1.38969485,4.51843210,3.19435504,0.35610078,0.15629741,1.31172237,1.57852566,0.06303081
1.39569785,4.53003951,3.23784877,0.35915864,0.15127215,1.28305506,1.59924336,0.06387860
1.40170085,4.53121156,3.27051320,0.36123670,0.14623376,1.25401162,1.61384618,0.06449723
1.40770385,4.52130844,3.29164397,0.36226515,0.14122483,1.22467090,1.62202591,0.06487597
1.41370685,4.49979778,3.30070090,0.36218611,0.13627958,1.19507857,1.62356762,0.06500761
1.41970985,4.46628322,3.29733210,0.36095600,0.13142400,1.16525029,1.61835996,0.06488885
1.42571286,4.42053209,3.28139383,0.35854775,0.12667638,1.13517727,1.60640305,0.06452049
1.43171586,4.36250063,3.25296469,0.35495262,0.12204826,1.10483374,1.58781359,0.06390761
1.43771886,4.29235482,3.21235334,0.35018174,0.11754551,1.07418564,1.56282670,0.06305959
1.44372186,4.21048531,3.16009891,0.34426701,0.11316968,1.04320000,1.53179451,0.06199008
1.44972486,4.11751527,3.09696379,0.33726148,0.10891935,1.01185414,1.49518128,0.06071677
1.45572786,4.01430012,3.02391884,0.32923903,0.10479150,0.98014420,1.45355538,0.05926108
1.46173087,3.90191883,2.94212134,0.32029340,0.10078274,0.94809235,1.40757814,0.05764783
1.46773387,3.78165675,2.85288660,0.31053657,0.09689040,0.91575224,1.35799023,0.05590465
1.47373687,3.65498064,2.75765410,0.30009645,0.09311345,0.88321235,1.30559592,0.05406145
1.47973987,3.52350664,2.65794987,0.28911419,0.08945310,0.85059721,1.25124584,0.05214977
1.48574287,3.38896293,2.55534634,0.27774085,0.08591325,0.81806644,1.19581890,0.05020211
1.49174587,3.25314843,2.45142158,0.26613396,0.08250067,0.78581175,1.14020395,0.04825123
1.49774887,3.11788951,2.34771951,0.25445374,0.07922497,0.75405232,1.08528186,0.04632947
1.50375188,2.98499670,2.24571275,0.24285947,0.07609842,0.72302887,1.03190851,0.04446813
1.50975488,2.85622311,2.14676947,0.23150581,0.07313572,0.69299690,0.98089915,0.04269683
1.51575788,2.73322629,2.05212538,0.22053947,0.07035358,0.66421964,0.93301457,0.04104301
1.52176088,2.61753491,1.96286191,0.21009624,0.06777038,0.63696115,0.88894923,0.03953145
1.52776388,2.51052122,1.87989079,0.20029843,0.06540584,0.61147986,0.84932152,0.03818390
1.53376688,2.41338001,1.80394542,0.19125280,0.06328070,0.58802314,0.81466618,0.03701880
1.53976988,2.32711418,1.73557870,0.18304912,0.06141652,0.56682283,0.78542873,0.03605109
1.54577289,2.25252683,1.67516683,0.17575916,0.05983554,0.54809204,0.76196188,0.03529204
1.55177589,2.19021933,1.62291820,0.16943629,0.05856065,0.53202314,0.74452352,0.03474920
1.55777889,2.14059453,1.57888652,0.16411549,0.05761537,0.51878683,0.73327628,0.03442641
1.56378189,2.10386421,1.54298696,0.15981386,0.05702389,0.50853214,0.72828822,0.03432382
1.56978489,2.08005973,1.51501417,0.15653136,0.05681117,0.50138704,0.72953458,0.03443799
1.57578789,2.06904473,1.49466113,0.15425196,0.05700291,0.49745943,0.73690041,0.03476200
1.58179090,2.07052900,1.48153773,0.15294492,0.05762557,0.49683821,0.75018396,0.03528555
1.58779390,2.08408276,1.47518832,0.15256623,0.05870620,0.49959413,0.76910076,0.03599514
1.59379690,2.10915064,1.47510752,0.15306016,0.06027225,0.50578024,0.79328851,0.03687431
1.59979990,2.14506511,1.48075399,0.15436087,0.06235119,0.51543173,0.82231276,0.03790374
1.60580290,2.19105915,1.49156181,0.15639401,0.06497005,0.52856514,0.85567351,0.03906164
1.61180590,2.24627827,1.50694969,0.15907842,0.06815479,0.54517695,0.89281277,0.04032394
1.61780890,2.30979208,1.52632797,0.16232770,0.07192960,0.56524154,0.93312332,0.04166471
1.62381191,2.38060574,1.54910397,0.16605190,0.07631612,0.58870879,0.97595843,0.04305655
1.62981491,2.45767162,1.57468597,0.17015911,0.08133257,0.61550148,1.02064280,0.04447107
1.63581791,2.53990159,1.60248631,0.17455709,0.08699296,0.64551269,1.06648433,0.04587938
1.64182091,2.62618004,1.63192408,0.17915484,0.09330618,0.67860356,1.11278674,0.04725271
1.64782391,2.71537788,1.66242776,0.18386409,0.10027529,0.71460154,1.15886265,0.04856302
1.65382691,2.80636737,1.69343809,0.18860082,0.10789681,0.75329948,1.20404674,0.04978359
1.65982991,2.89803770,1.72441152,0.19328651,0.11616016,0.79445553,1.24770862,0.05088968
1.66583292,2.98931083,1.75482413,0.19784936,0.12504721,0.83779425,1.28926500,0.05185916
1.67183592,3.07915717,1.78417618,0.20222530,0.13453199,0.88300861,1.32819069,0.05267298
1.67783892,3.16661058,1.81199711,0.20635868,0.14458055,0.92976323,1.36402802,0.05331570
1.68384192,3.25078195,1.83785078,0.21020283,0.15515091,0.97769837,1.39639441,0.05377584
1.68984492,3.33087097,1.86134087,0.21372026,0.16619318,1.02643483,1.42498777,0.05404612
1.69584792,3.40617543,1.88211596,0.21688254,0.17764980,1.07557937,1.44958973,0.05412354
1.70185093,3.47609775,1.89987428,0.21966999,0.18945583,1.12473041,1.47006648,0.05400938
1.70785393,3.54014851,1.91436775,0.22207103,0.20153939,1.17348389,1.48636764,0.05370897
1.71385693,3.59794698,1.92540519,0.22408134,0.21382208,1.22143887,1.49852299,0.05323141
1.71985993,3.64921868,1.93285461,0.22570286,0.22621959,1.26820283,1.50663773,0.05258914
1.72586293,3.69379037,1.93664440,0.22694263,0.23864222,1.31339625,1.51088635,0.05179736
1.73186593,3.73158292,1.93676352,0.22781171,0.25099561,1.35665672,1.51150565,0.05087346
1.73786893,3.76260255,1.93326066,0.22832400,0.26318149,1.39764204,1.50878722,0.04983639
1.74387194,3.78693108,1.92624240,0.22849525,0.27509847,1.43603280,1.50306982,0.04870599
1.74987494,3.80471583,1.91587051,0.22834220,0.28664303,1.47153408,1.49473176,0.04750235
1.75587794,3.81615970,1.90235847,0.22788190,0.29771055,1.50387659,1.48418374,0.04624527
1.76188094,3.82151188,1.88596721,0.22713132,0.30819650,1.53281746,1.47186203,0.04495374
1.76788394,3.82105967,1.86700031,0.22610713,0.31799781,1.55814055,1.45822210,0.04364551
1.77388694,3.81512149,1.84579857,0.22482574,0.32701425,1.57965684,1.44373267,0.04233681
1.77988994,3.80404127,1.82273406,0.22330352,0.33515003,1.59720469,1.42887002,0.04104211
1.78589295,3.78818407,1.79820375,0.22155720,0.34231545,1.61065040,1.41411225,0.03977405
1.79189595,3.76793281,1.77262259,0.21960437,0.34842861,1.61988897,1.39993358,0.03854340
1.79789895,3.74368579,1.74641632,0.21746399,0.35341706,1.62484525,1.38679820,0.03735918
1.80390195,3.71585473,1.72001392,0.21515690,0.35721950,1.62547535,1.37515376,0.03622875
1.80990495,3.68486294,1.69383985,0.21270626,0.35978727,1.62176839,1.36542434,0.03515806
1.81590795,3.65114337,1.66830627,0.21013786,0.36108576,1.61374838,1.35800292,0.03415183
1.82191096,3.61513633,1.64380545,0.20748023,0.36109546,1.60147616,1.35324357,0.03321380
1.82791396,3.57728676,1.62070252,0.20476464,0.35981284,1.58505131,1.35145344,0.03234700
1.83391696,3.53804105,1.59932907,0.20202487,0.35725085,1.56461372,1.35288503,0.03155394
1.83991996,3.49784350,1.57997765,0.19929679,0.35343906,1.54034476,1.35772897,0.03083683
1.84592296,3.45713283,1.56289784,0.19661788,0.34842345,1.51246801,1.36610786,0.03019775
1.85192596,3.41633888,1.54829386,0.19402657,0.34226585,1.48124919,1.37807151,0.02963883
1.85792896,3.37588004,1.53632439,0.19156162,0.33504306,1.44699562,1.39359414,0.02916235
1.86393197,3.33616182,1.52710450,0.18926145,0.32684563,1.41005475,1.41257363,0.02877086
1.86993497,3.29757683,1.52070997,0.18716357,0.31777643,1.37081224,1.43483339,0.02846726
1.87593797,3.26050664,1.51718407,0.18530416,0.30794913,1.32968935,1.46012670,0.02825491
1.88194097,3.22532553,1.51654642,0.18371769,0.29748641,1.28713985,1.48814365,0.02813763
1.88794397,3.19240625,1.51880383,0.18243690,0.28651829,1.24364671,1.51852052,0.02811984
1.89394697,3.16212751,1.52396263,0.18149274,0.27518044,1.19971842,1.55085119,0.02820654
1.89994997,3.13488290,1.53204180,0.18091465,0.26361251,1.15588531,1.58470020,0.02840341
1.90595298,3.11109060,1.54308612,0.18073083,0.25195672,1.11269589,1.61961692,0.02871683
1.91195598,3.09120311,1.55717872,0.18096872,0.24035645,1.07071317,1.65515007,0.02915386
1.91795898,3.07571623,1.57445186,0.18165534,0.22895509,1.03051109,1.69086204,0.02972223
1.92396198,3.06517615,1.59509527,0.18281769,0.21789498,0.99267095,1.72634234,0.03043030
1.92996498,3.06018383,1.61936101,0.18448298,0.20731651,0.95777774,1.76121935,0.03128691
1.93596798,3.06139570,1.64756432,0.18667866,0.19735726,0.92641628,1.79517011,0.03230121
1.94197099,3.06951987,1.68007965,0.18943218,0.18815115,0.89916689,1.82792750,0.03348241
1.94797399,3.08530718,1.71733177,0.19277051,0.17982760,0.87660055,1.85928454,0.03483945
1.95397699,3.10953693,1.75978165,0.19671927,0.17251060,0.85927322,1.88909584,0.03638063
1.95997999,3.14299698,1.80790740,0.20130159,0.16631759,0.84771926,1.91727596,0.03811313
1.96598299,3.18645867,1.86218074,0.20653663,0.16135824,0.84244374,1.94379510,0.04004251
1.97198599,3.24064707,1.92303973,0.21243789,0.15773295,0.84391370,1.96867223,0.04217214
1.97798899,3.30620748,1.99085885,0.21901134,0.15553126,0.85254830,1.99196622,0.04450263
1.98399200,3.38366946,2.06591777,0.22625340,0.15482997,0.86870811,2.01376540,0.04703128
1.98999500,3.47340983,2.14837012,0.23414901,0.15569115,0.89268356,2.03417613,0.04975150
