energy_ev,total_up,Ag_p_up,Ag_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.33518171,0.71990619,2.19362470,0.42365951,0.27100797,0.01703289,0.07940294,0.08835166,0.43350473
-5.99399700,3.23649950,0.70262517,2.11221166,0.42267269,0.26707303,0.01691201,0.07825350,0.08638560,0.42193278
-5.98799400,3.13089171,0.68314447,2.02794715,0.41958269,0.26210869,0.01670941,0.07675356,0.08417647,0.40950286
-5.98199100,3.01972306,0.66173483,1.94187628,0.41443868,0.25619306,0.01642957,0.07492915,0.08176823,0.39634282
-5.97598799,2.90440190,0.63870142,1.85503729,0.40732602,0.24941686,0.01607838,0.07281174,0.07920528,0.38258645
-5.96998499,2.78635165,0.61437771,1.76844174,0.39836385,0.24188130,0.01566296,0.07043756,0.07653147,0.36837074
-5.96398199,2.66698361,0.58911859,1.68305692,0.38770169,0.23369562,0.01519152,0.06784672,0.07378925,0.35383326
-5.95797899,2.54767168,0.56329281,1.59979040,0.37551521,0.22497470,0.01467307,0.06508231,0.07101889,0.33910973
-5.95197599,2.42972905,0.53727484,1.51947694,0.36200136,0.21583645,0.01411727,0.06218929,0.06825790,0.32433183
-5.94597299,2.31438725,0.51143653,1.44286752,0.34737297,0.20639940,0.01353413,0.05921350,0.06554046,0.30962521
-5.93996998,2.20277770,0.48613853,1.37062050,0.33185324,0.19678026,0.01293380,0.05620052,0.06289712,0.29510780
-5.93396698,2.09591567,0.46172206,1.30329476,0.31567009,0.18709170,0.01232628,0.05319465,0.06035447,0.28088830
-5.92796398,1.99468706,0.43850098,1.24134456,0.29905077,0.17744030,0.01172124,0.05023790,0.05793498,0.26706500
-5.92196098,1.89983777,0.41675457,1.18511621,0.28221688,0.16792482,0.01112775,0.04736911,0.05565694,0.25372483
-5.91595798,1.81196593,0.39672126,1.13484626,0.26537989,0.15863474,0.01055416,0.04462316,0.05353446,0.24094261
-5.90995498,1.73151695,0.37859346,1.09066130,0.24873744,0.14964908,0.01000791,0.04203038,0.05157750,0.22878063
-5.90395198,1.65878160,0.36251376,1.05257941,0.23247034,0.14103563,0.00949542,0.03961605,0.04979199,0.21728842
-5.89794897,1.59389706,0.34857251,1.02051317,0.21674044,0.13285051,0.00902205,0.03740016,0.04818000,0.20650275
-5.89194597,1.53685117,0.33680712,0.99427448,0.20168937,0.12513801,0.00859202,0.03539728,0.04673994,0.19644791
-5.88594297,1.48748984,0.32720283,0.97358124,0.18743801,0.11793082,0.00820848,0.03361669,0.04546684,0.18713617
-5.87993997,1.44552761,0.31969515,0.95806590,0.17408675,0.11125051,0.00787351,0.03206255,0.04435259,0.17856850
-5.87393697,1.41056132,0.31417382,0.94728596,0.16171642,0.10510833,0.00758827,0.03073439,0.04338637,0.17073547
