energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.39894990,0.01274446,0.01059823,0.67269199,0.29717577,0.33675393,0.08437205,0.00159579,0.99589198
-5.99399700,1.50236326,0.01311042,0.01168484,0.71347680,0.32420825,0.35076455,0.09280772,0.00180447,1.06776891
-5.98799400,1.61326596,0.01342398,0.01289968,0.75625571,0.35378252,0.36459852,0.10217801,0.00204642,1.14452784
-5.98199100,1.73171297,0.01367703,0.01424180,0.80090701,0.38603227,0.37810704,0.11249768,0.00232263,1.22618849
-5.97598799,1.85780947,0.01386358,0.01570947,0.84734736,0.42110035,0.39117378,0.12377575,0.00263390,1.31280933
-5.96998499,1.99169064,0.01397979,0.01729977,0.89552706,0.45913127,0.40371585,0.13601320,0.00298074,1.40447449
-5.96398199,2.13349572,0.01402400,0.01900830,0.94542241,0.50026236,0.41568308,0.14920057,0.00336335,1.50127665
-5.95797899,2.28333700,0.01399671,0.02082879,0.99702565,0.54461350,0.42705582,0.16331553,0.00378142,1.60329603
-5.95197599,2.44126498,0.01390045,0.02275282,1.05033268,0.59227580,0.43784131,0.17832047,0.00423412,1.71057679
-5.94597299,2.60723118,0.01373959,0.02476956,1.10532927,0.64329972,0.44806884,0.19416046,0.00472002,1.82310132
-5.93996998,2.78105010,0.01352007,0.02686560,1.16197643,0.69768292,0.45778392,0.21076137,0.00523694,1.94076392
-5.93396698,2.96236244,0.01324917,0.02902484,1.22019557,0.75535848,0.46704187,0.22802857,0.00578201,2.06334508
-5.92796398,3.15060131,0.01293514,0.03122851,1.27985440,0.81618396,0.47590096,0.24584616,0.00635153,2.19048760
-5.92196098,3.34496352,0.01258686,0.03345529,1.34075430,0.87993203,0.48441573,0.26407686,0.00694103,2.32167609
-5.91595798,3.54438771,0.01221348,0.03568150,1.40261986,0.94628300,0.49263064,0.28256258,0.00754524,2.45622103
-5.90995498,3.74754095,0.01182410,0.03788146,1.46509139,1.01482001,0.50057441,0.30112585,0.00815816,2.59324858
-5.90395198,3.95281518,0.01142741,0.04002789,1.52772082,1.08502717,0.50825541,0.31957190,0.00877309,2.73169704
-5.89794897,4.15833442,0.01103142,0.04209245,1.58997146,1.15629118,0.51565817,0.33769156,0.00938276,2.87032072
-5.89194597,4.36197318,0.01064321,0.04404632,1.65122193,1.22790640,0.52274142,0.35526486,0.00997941,3.00770156
-5.88594297,4.56138630,0.01026872,0.04586088,1.71077406,1.29908381,0.52943743,0.37206516,0.01055497,3.14226852
-5.87993997,4.75404951,0.00991263,0.04750837,1.76786499,1.36896354,0.53565292,0.38786383,0.01110120,3.27232455
-5.87393697,4.93730995,0.00957828,0.04896259,1.82168272,1.43663082,0.54127136,0.40243526,0.01160987,3.39608037
-5.86793397,5.10844510,0.00926763,0.05019959,1.87138505,1.50113509,0.54615657,0.41556204,0.01207300,3.51169429
-5.86193097,5.26472835,0.00898134,0.05119832,1.91612082,1.56151153,0.55015738,0.42704021,0.01248297,3.61731657
-5.85592796,5.40349900,0.00871880,0.05194116,1.95505313,1.61680458,0.55311325,0.43668433,0.01283280,3.71113710
-5.84992496,5.52223421,0.00847834,0.05241448,1.98738332,1.66609246,0.55486041,0.44433220,0.01311631,3.79143458
-5.84392196,5.61862042,0.00825731,0.05260895,2.01237502,1.70851197,0.55523840,0.44984920,0.01332827,3.85662543
-5.83791896,5.69062139,0.00805237,0.05251984,2.02937726,1.74328260,0.55409665,0.45313187,0.01346461,3.90531066
-5.83191596,5.73654055,0.00785962,0.05214718,2.03784581,1.76972917,0.55130081,0.45411088,0.01352249,3.93631893
-5.82591296,5.75507492,0.00767487,0.05149571,2.03736185,1.78730187,0.54673855,0.45275298,0.01350042,3.94874402
-5.81990995,5.74535886,0.00749384,0.05057482,2.02764726,1.79559322,0.54032472,0.44906218,0.01339834,3.94197543
-5.81390695,5.70699549,0.00731237,0.04939824,2.00857600,1.79435108,0.53200546,0.44307982,0.01321757,3.91572069
-5.80790395,5.64007496,0.00712658,0.04798371,1.98018096,1.78348724,0.52176135,0.43488378,0.01296086,3.87001867
-5.80190095,5.54517831,0.00693307,0.04635251,1.94265623,1.76308121,0.50960923,0.42458667,0.01263228,3.80524311
-5.79589795,5.42336727,0.00672901,0.04452893,1.89635445,1.73337916,0.49560287,0.41233311,0.01223713,3.72209650
-5.78989495,5.27615982,0.00651227,0.04253962,1.84177956,1.69478787,0.47983236,0.39829630,0.01178177,3.62159419
-5.78389195,5.10549292,0.00628143,0.04041296,1.77957514,1.64786412,0.46242227,0.38267381,0.01127351,3.50503969
-5.77788894,4.91367356,0.00603586,0.03817842,1.71050872,1.59329985,0.44352871,0.36568290,0.01072034,3.37399182
-5.77188594,4.70332011,0.00577567,0.03586585,1.63545289,1.53190364,0.42333542,0.34755543,0.01013079,3.23022521
-5.76588294,4.47729622,0.00550171,0.03350487,1.55536371,1.46457942,0.40204904,0.32853256,0.00951364,3.07568545
-5.75987994,4.23863981,0.00521545,0.03112426,1.47125737,1.39230302,0.37989379,0.30885941,0.00887777,2.91244086
-5.75387694,3.99048964,0.00491894,0.02875143,1.38418603,1.31609756,0.35710574,0.28877987,0.00823188,2.74263243
-5.74787394,3.73601225,0.00461469,0.02641196,1.29521354,1.23700865,0.33392693,0.26853169,0.00758432,2.56842382
-5.74187094,3.47833170,0.00430555,0.02412924,1.20539210,1.15608006,0.31059954,0.24834201,0.00694293,2.39195325
-5.73586793,3.22046439,0.00399461,0.02192415,1.11574046,1.07433094,0.28736034,0.22842345,0.00631484,2.21528870
-5.72986493,2.96526101,0.00368507,0.01981489,1.02722452,0.99273504,0.26443557,0.20897083,0.00570639,2.04038790
-5.72386193,2.71535713,0.00338016,0.01781688,0.94074068,0.91220269,0.24203648,0.19015867,0.00512305,1.86906416
-5.71785893,2.47313350,0.00308301,0.01594275,0.85710246,0.83356590,0.22035555,0.17213936,0.00456930,1.70295884
-5.71185593,2.24068683,0.00279658,0.01420240,0.77703062,0.75756683,0.19956360,0.15504217,0.00404869,1.54352091
-5.70585293,2.01981110,0.00252362,0.01260315,0.70114674,0.68484981,0.17980775,0.13897289,0.00356381,1.39199369
-5.69984992,1.81198905,0.00226659,0.01114993,0.62997028,0.61595676,0.16121018,0.12401425,0.00311629,1.24940868
-5.69384692,1.61839335,0.00202765,0.00984551,0.56391875,0.55132601,0.14386789,0.11022680,0.00270696,1.11658583
-5.68784392,1.43989610,0.00180865,0.00869082,0.50331074,0.49129397,0.12785304,0.09765043,0.00233584,0.99413976
-5.68184092,1.27708551,0.00161116,0.00768515,0.44837130,0.43609948,0.11321410,0.08630613,0.00200226,0.88249074
-5.67583792,1.13028827,0.00143643,0.00682653,0.39923910,0.38589022,0.09997748,0.07619814,0.00170499,0.78187971
-5.66983492,0.99959589,0.00128547,0.00611191,0.35597488,0.34073079,0.08814963,0.06731619,0.00144231,0.69238593
-5.66383192,0.88489338,0.00115909,0.00553751,0.31857056,0.30061181,0.07771936,0.05963775,0.00121215,0.61394641
-5.65782891,0.78588894,0.00105790,0.00509895,0.28695850,0.26545963,0.06866036,0.05313031,0.00101218,0.54637586
-5.65182591,0.70214301,0.00098238,0.00479146,0.26102049,0.23514619,0.06093368,0.04775338,0.00083988,0.48938640
-5.64582291,0.63309570,0.00093291,0.00461001,0.24059590,0.20949855,0.05449018,0.04346039,0.00069268,0.44260596
-5.63981991,0.57809144,0.00090980,0.00454938,0.22548890,0.18830781,0.04927273,0.04020025,0.00056799,0.40559501
-5.63381691,0.53640049,0.00091326,0.00460422,0.21547431,0.17133709,0.04521813,0.03791855,0.00046326,0.37786092
