energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.37854154,0.04118570,0.34239321,0.95018074,0.00000000,0.64030228,0.49505172
-5.99399700,2.47864049,0.04177104,0.35857833,0.98805157,0.00000000,0.67894505,0.51403474
-5.98799400,2.58560213,0.04262107,0.37540412,1.02929029,0.00000000,0.71981253,0.53425822
-5.98199100,2.69750805,0.04371298,0.39265985,1.07300064,0.00000000,0.76224871,0.55543084
-5.97598799,2.81223449,0.04501899,0.41010712,1.11820071,0.00000000,0.80553671,0.57721767
-5.96998499,2.92750414,0.04650683,0.42748467,1.16384885,0.00000000,0.84891532,0.59924726
-5.96398199,3.04094367,0.04814035,0.44451410,1.20887161,0.00000000,0.89159727,0.62112012
-5.95797899,3.15014537,0.04988019,0.46090639,1.25219291,0.00000000,0.93278859,0.64241849
-5.95197599,3.25273102,0.05168451,0.47636904,1.29276361,0.00000000,0.97170847,0.66271684
-5.94597299,3.34641593,0.05350978,0.49061362,1.32959042,0.00000000,1.00760918,0.68159305
-5.93996998,3.42907108,0.05531166,0.50336337,1.36176334,0.00000000,1.03979525,0.69863974
-5.93396698,3.49878102,0.05704591,0.51436071,1.38848048,0.00000000,1.06764146,0.71347540
-5.92796398,3.55389567,0.05866925,0.52337431,1.40906957,0.00000000,1.09060881,0.72575492
-5.92196098,3.59307406,0.06014034,0.53020552,1.42300521,0.00000000,1.10825819,0.73517913
-5.91595798,3.61531845,0.06142067,0.53469392,1.42992132,0.00000000,1.12026114,0.74150302
-5.90995498,3.61999773,0.06247541,0.53672176,1.42961844,0.00000000,1.12640741,0.74454235
-5.90395198,3.60685940,0.06327421,0.53621731,1.42206547,0.00000000,1.12660915,0.74417841
-5.89794897,3.57602988,0.06379186,0.53315684,1.40739603,0.00000000,1.12090152,0.74036085
-5.89194597,3.52800338,0.06400890,0.52756530,1.38589962,0.00000000,1.10944003,0.73310839
-5.88594297,3.46362018,0.06391203,0.51951572,1.35800813,0.00000000,1.09249455,0.72250759
-5.87993997,3.38403542,0.06349439,0.50912738,1.32427829,0.00000000,1.07044048,0.70870969
-5.87393697,3.29067998,0.06275567,0.49656281,1.28537089,0.00000000,1.04374740,0.69192569
-5.86793397,3.18521515,0.06170201,0.48202383,1.24202783,0.00000000,1.01296580,0.67241997
-5.86193097,3.06948315,0.06034583,0.46574672,1.19504788,0.00000000,0.97871231,0.65050268
