energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,8.09560228,-8.31195944,0.10879166,-0.11371786,0.73379119,-0.93001033,0.02257127,-0.02892783,0.00000000,-0.00000000,4.72703213,-4.58911096,1.45241795,-1.32299445,0.12821224,-0.10467801,3.93210557,-3.98311924
-5.99399700,8.07511313,-8.36712439,0.10600313,-0.11634967,0.73335492,-0.93122147,0.02252841,-0.02903520,0.00000000,-0.00000000,4.73733445,-4.64620236,1.45348215,-1.32803339,0.13026995,-0.10594259,3.91980214,-4.01841908
-5.98799400,8.04176215,-8.40452550,0.10286672,-0.11896463,0.73312513,-0.93028101,0.02245205,-0.02906262,0.00000000,-0.00000000,4.74165069,-4.69127138,1.45307482,-1.33091416,0.13198304,-0.10707042,3.89919108,-4.04518673
-5.98199100,7.99659569,-8.42340039,0.09942833,-0.12151021,0.73323154,-0.92727162,0.02234813,-0.02900795,0.00000000,-0.00000000,4.74103005,-4.72393262,1.45121979,-1.33160437,0.13336090,-0.10805215,3.87081444,-4.06282419
-5.97598799,7.94098595,-8.42337850,0.09574060,-0.12393269,0.73381774,-0.92230972,0.02222385,-0.02887049,0.00000000,-0.00000000,4.73675924,-4.74412711,1.44797240,-1.33010396,0.13442065,-0.10888085,3.83540223,-4.07094458
-5.96998499,7.87657489,-8.40449785,0.09186099,-0.12617833,0.73503648,-0.91554282,0.02208738,-0.02865106,0.00000000,-0.00000000,4.73032050,-4.75213258,1.44341389,-1.32644471,0.13518604,-0.10955251,3.79384267,-4.06938675
-5.96398199,7.80521077,-8.36720629,0.08784995,-0.12819453,0.73704428,-0.90714631,0.02194757,-0.02835204,0.00000000,-0.00000000,4.72334112,-4.74856130,1.43764582,-1.32068870,0.13568629,-0.11006646,3.74714834,-4.05822070
-5.95797899,7.72888080,-8.31234869,0.08376897,-0.12993112,0.73999582,-0.89731991,0.02181358,-0.02797740,0.00000000,-0.00000000,4.71753629,-4.73434616,1.43078508,-1.31292592,0.13595485,-0.11042559,3.69641992,-4.03774401
-5.95197599,7.64964300,-8.24114141,0.07967885,-0.13134145,0.74403832,-0.88628413,0.02169457,-0.02753261,0.00000000,-0.00000000,4.71464771,-4.71071600,1.42295986,-1.30327151,0.13602800,-0.11063665,3.64280927,-4.00847006
-5.94597299,7.56956016,-8.15513641,0.07563802,-0.13238364,0.74930613,-0.87427686,0.02159933,-0.02702459,0.00000000,-0.00000000,4.71638027,-4.67916156,1.41430674,-1.29186278,0.13594365,-0.11071029,3.58748340,-3.97110911
-5.93996998,7.49063818,-8.05617735,0.07170123,-0.13302160,0.75591567,-0.86155024,0.02153600,-0.02646161,0.00000000,-0.00000000,4.72433906,-4.64139395,1.40496913,-1.27885635,0.13573995,-0.11066103,3.53159047,-3.92654357
-5.93396698,7.41477076,-7.94635007,0.06791839,-0.13322613,0.76396097,-0.84836799,0.02151180,-0.02585313,0.00000000,-0.00000000,4.73996895,-4.59929745,1.39509688,-1.26442558,0.13545422,-0.11050720,3.47622902,-3.87579884
-5.92796398,7.34369163,-7.82792975,0.06433378,-0.13297582,0.77350988,-0.83500308,0.02153280,-0.02520964,0.00000000,-0.00000000,4.76449898,-4.55487873,1.38484691,-1.24875841,0.13512172,-0.11027056,3.42242118,-3.82001131
-5.92196098,7.27893523,-7.70332699,0.06098554,-0.13225781,0.78460093,-0.82173574,0.02160375,-0.02454250,0.00000000,-0.00000000,4.79889331,-4.51021429,1.37438453,-1.23205561,0.13477478,-0.10997606,3.37109026,-3.76039501
-5.91595798,7.22180590,-7.57503432,0.05790541,-0.13106839,0.79724104,-0.80885164,0.02172794,-0.02386373,0.00000000,-0.00000000,4.84381072,-4.46739796,1.36388508,-1.21452941,0.13444179,-0.10965126,3.32304318,-3.69820821
-5.90995498,7.17335594,-7.44557472,0.05511876,-0.12941335,0.81140398,-0.79664010,0.02190716,-0.02318579,0.00000000,-0.00000000,4.89957387,-4.42849000,1.35353550,-1.19640236,0.13414653,-0.10932575,3.27895765,-3.63472120
-5.90395198,7.13437191,-7.31745283,0.05264479,-0.12730813,0.82702959,-0.78539202,0.02214169,-0.02252133,0.00000000,-0.00000000,4.96614993,-4.39546902,1.34353531,-1.17790626,0.13390748,-0.10903054,3.23937410,-3.57118618
-5.89794897,7.10536890,-7.19310962,0.05049699,-0.12477759,0.84402379,-0.77539735,0.02243033,-0.02188305,0.00000000,-0.00000000,5.04314330,-4.37018768,1.33409677,-1.15928082,0.13373730,-0.10879723,3.20469211,-3.50881006
-5.89194597,7.08659227,-7.07488063,0.04868363,-0.12185556,0.86225945,-0.76694191,0.02277048,-0.02128336,0.00000000,-0.00000000,5.12980112,-4.35433301,1.32544383,-1.14077203,0.13364246,-0.10865722,3.17517119,-3.44873061
-5.88594297,7.07802631,-6.96495782,0.04720831,-0.11858406,0.88157799,-0.76030342,0.02315832,-0.02073423,0.00000000,-0.00000000,5.22503201,-4.34939169,1.31780977,-1.12262987,0.13362302,-0.10864089,3.15093540,-3.39199622
-5.87993997,7.07940922,-6.86535498,0.04607068,-0.11501225,0.90179179,-0.75574651,0.02358892,-0.02024694,0.00000000,-0.00000000,5.32743770,-4.35662062,1.31143336,-1.10510531,0.13367252,-0.10877668,3.13198158,-3.33954955
-5.87393697,7.09025401,-6.77787641,0.04526694,-0.11119508,0.92268749,-0.75351695,0.02405649,-0.01983181,0.00000000,-0.00000000,5.43535701,-4.37702291,1.30655382,-1.08844643,0.13377816,-0.10909026,3.11819077,-3.29221471
-5.86793397,7.10987460,-6.70408890,0.04479043,-0.10719178,0.94403001,-0.75383491,0.02455460,-0.01949808,0.00000000,-0.00000000,5.54692113,-4.41132930,1.30340443,-1.07289382,0.13392104,-0.10960372,3.10934224,-3.25068810
-5.86193097,7.13741651,-6.64529690,0.04463210,-0.10306413,0.96556742,-0.75688771,0.02507637,-0.01925364,0.00000000,-0.00000000,5.66011835,-4.45998509,1.30220542,-1.05867512,0.13407676,-0.11033475,3.10512982,-3.21553248
-5.85592796,7.17189125,-6.60252110,0.04478085,-0.09887469,0.98703657,-0.76282212,0.02561480,-0.01910489,0.00000000,-0.00000000,5.77286619,-4.52314238,1.30315614,-1.04599917,0.13421607,-0.11129600,3.10517972,-3.18717405
-5.84992496,7.21221337,-6.57648076,0.04522379,-0.09468496,1.00816919,-0.77173665,0.02616290,-0.01905657,0.00000000,-0.00000000,5.88308813,-4.60065785,1.30642720,-1.03504975,0.13430592,-0.11249445,3.10906931,-3.16590219
-5.84392196,7.25723889,-6.56758020,0.04594641,-0.09055366,1.02869863,-0.78367434,0.02671400,-0.01911170,0.00000000,-0.00000000,5.98879175,-4.69209594,1.31215264,-1.02597937,0.13431055,-0.11393101,3.11634606,-3.15187172
