energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,2.53247069,0.04964688,0.00000000,1.47365502,0.76541187,0.03090579,1.77195834
-5.99399700,2.50193357,0.04861337,0.00000000,1.47692132,0.74310353,0.03032961,1.75613741
-5.98799400,2.46138937,0.04734973,0.00000000,1.47454651,0.71779343,0.02962501,1.73323766
-5.98199100,2.41139368,0.04586852,0.00000000,1.46647132,0.68988361,0.02880070,1.70356571
-5.97598799,2.35266589,0.04418722,0.00000000,1.45276394,0.65981030,0.02786821,1.66754806
-5.96998499,2.28606872,0.04232767,0.00000000,1.43361962,0.62803185,0.02684157,1.62571864
-5.96398199,2.21258488,0.04031528,0.00000000,1.40935644,0.59501679,0.02573679,1.57870393
-5.95797899,2.13329175,0.03817822,0.00000000,1.38040724,0.56123264,0.02457137,1.52720635
-5.95197599,2.04933508,0.03594657,0.00000000,1.34730812,0.52713570,0.02336379,1.47198648
-5.94597299,1.96190271,0.03365147,0.00000000,1.31068410,0.49316232,0.02213290,1.41384496
-5.93996998,1.87219906,0.03132429,0.00000000,1.27123247,0.45972160,0.02089749,1.35360455
-5.93396698,1.78142124,0.02899590,0.00000000,1.22970446,0.42718991,0.01967571,1.29209299
-5.92796398,1.69073733,0.02669595,0.00000000,1.18688590,0.39590702,0.01848472,1.23012710
-5.92196098,1.60126736,0.02445235,0.00000000,1.14357772,0.36617399,0.01734024,1.16849856
-5.91595798,1.51406715,0.02229074,0.00000000,1.10057664,0.33825243,0.01625628,1.10796147
-5.90995498,1.43011529,0.02023424,0.00000000,1.05865700,0.31236519,0.01524489,1.04922211
-5.90395198,1.35030318,0.01830314,0.00000000,1.01855385,0.28869804,0.01431598,0.99293057
-5.89794897,1.27542783,0.01651485,0.00000000,0.98094800,0.26740217,0.01347723,0.93967448
-5.89194597,1.20618741,0.01488383,0.00000000,0.94645318,0.24859708,0.01273405,0.88997454
-5.88594297,1.14317890,0.01342171,0.00000000,0.91560548,0.23237382,0.01208963,0.84428161
-5.87993997,1.08689768,0.01213740,0.00000000,0.88885516,0.21879806,0.01154498,0.80297515
-5.87393697,1.03773843,0.01103726,0.00000000,0.86656086,0.20791289,0.01109910,0.76636268
-5.86793397,0.99599706,0.01012532,0.00000000,0.84898604,0.19974119,0.01074907,0.73468007
-5.86193097,0.96187326,0.00940351,0.00000000,0.83629742,0.19428740,0.01049031,0.70809227
-5.85592796,0.93547337,0.00887185,0.00000000,0.82856544,0.19153859,0.01031675,0.68669443
-5.84992496,0.91681340,0.00852867,0.00000000,0.82576626,0.19146498,0.01022105,0.67051327
-5.84392196,0.90582211,0.00837073,0.00000000,0.82778529,0.19401973,0.01019482,0.65950846
-5.83791896,0.90234407,0.00839340,0.00000000,0.83442185,0.19913837,0.01022888,0.65357433
-5.83191596,0.90614298,0.00859072,0.00000000,0.84539497,0.20673788,0.01031346,0.65254172
-5.82591296,0.91690519,0.00895548,0.00000000,0.86035010,0.21671560,0.01043844,0.65618022
-5.81990995,0.93424392,0.00947929,0.00000000,0.87886658,0.22894835,0.01059354,0.66420108
