energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,4.55475051,-4.33452110,0.02414035,-0.02003929,0.83896861,-0.80727229,4.04052549,-3.64571818,0.66408150,-0.59112381,0.55588394,-0.55405134,0.37683543,-0.36551894,1.65231800,-1.61113120,0.00000000,-0.00000000
-5.99399700,4.58638736,-4.42191217,0.02491741,-0.02130160,0.84542588,-0.82638062,4.06948935,-3.75124840,0.67181475,-0.60373095,0.55777811,-0.55780941,0.38181382,-0.37866837,1.66171611,-1.63748986,0.00000000,-0.00000000
-5.98799400,4.60042219,-4.50038486,0.02558572,-0.02250555,0.84841729,-0.84324876,4.07925625,-3.84550788,0.67735335,-0.61515240,0.55807628,-0.56143543,0.38495833,-0.39066375,1.66511038,-1.66156523,0.00000000,-0.00000000
-5.98199100,4.59580523,-4.56823708,0.02614205,-0.02363261,0.84782713,-0.85758439,4.06930003,-3.92688177,0.68054057,-0.62517595,0.55654013,-0.56471016,0.38621372,-0.40131885,1.66200852,-1.68268620,0.00000000,-0.00000000
-5.97598799,4.57196551,-4.62376101,0.02658713,-0.02466535,0.84362659,-0.86910347,4.03950334,-3.99383315,0.68129607,-0.63358403,0.55298892,-0.56739334,0.38556931,-0.41045935,1.65209221,-1.70016407,0.00000000,-0.00000000
-5.96998499,4.52885683,-4.66531471,0.02692587,-0.02558813,0.83587976,-0.87754102,3.99018071,-4.04495511,0.67962357,-0.64016333,0.54730911,-0.56923600,0.38306180,-0.41792940,1.63523754,-1.71332351,0.00000000,-0.00000000
-5.96398199,4.46698423,-4.69139899,0.02716746,-0.02638785,0.82474600,-0.88266283,3.92208735,-4.07902473,0.67561503,-0.64471548,0.53946114,-0.56999372,0.37877647,-0.42359829,1.61152811,-1.72153551,0.00000000,-0.00000000
-5.95797899,4.38740920,-4.70073599,0.02732525,-0.02705457,0.81047879,-0.88427739,3.83641278,-4.09505654,0.66945105,-0.64706841,0.52948333,-0.56944023,0.37284688,-0.42736715,1.58126035,-1.72425096,0.00000000,-0.00000000
-5.95197599,4.29173329,-4.69234557,0.02741654,-0.02758217,0.79342069,-0.88224761,3.73475918,-4.09235285,0.66139725,-0.64708763,0.51749251,-0.56738064,0.36545292,-0.42917525,1.54494071,-1.72103300,0.00000000,-0.00000000
-5.94597299,4.18206058,-4.66561583,0.02746210,-0.02796885,0.77399471,-0.87650151,3.61910498,-4.07054872,0.65179690,-0.64468698,0.50368174,-0.56366383,0.35681723,-0.42900561,1.50327490,-1.71158688,0.00000000,-0.00000000
-5.93996998,4.06094042,-4.62036370,0.02748565,-0.02821758,0.75269231,-0.86704151,3.49175499,-4.02964881,0.64105987,-0.63983818,0.48831506,-0.55819319,0.34720016,-0.42688963,1.45714981,-1.69578551,0.00000000,-0.00000000
-5.93396698,3.93129308,-4.55688241,0.02751311,-0.02833634,0.73005846,-0.85395156,3.35527912,-3.97005409,0.62964839,-0.63257856,0.47171968,-0.55093531,0.33689343,-0.42291040,1.40760879,-1.67368959,0.00000000,-0.00000000
-5.92796398,3.79632138,-4.47597294,0.02757173,-0.02833826,0.70667449,-0.83740169,3.21244204,-3.89257660,0.61806035,-0.62301655,0.45427604,-0.54192619,0.32621274,-0.41720458,1.35582171,-1.64556107,0.00000000,-0.00000000
-5.92196098,3.65941234,-4.37895717,0.02768921,-0.02824154,0.68313926,-0.81764960,3.06612686,-3.79844090,0.60681063,-0.61133455,0.43640621,-0.53127461,0.31548954,-0.40996248,1.30305088,-1.61186925,0.00000000,-0.00000000
-5.91595798,3.52403301,-4.26767156,0.02789267,-0.02806924,0.66004966,-0.79503909,2.91925601,-3.68927158,0.59641150,-0.59778885,0.41856113,-0.51916252,0.30506240,-0.40142640,1.25061450,-1.57328886,0.00000000,-0.00000000
-5.90995498,3.39362497,-4.14444084,0.02820771,-0.02784881,0.63798117,-0.76999519,2.77471266,-3.56706691,0.58735291,-0.58270644,0.40120731,-0.50584235,0.29526822,-0.39188710,1.19984914,-1.53069021,0.00000000,-0.00000000
-5.90395198,3.27150186,-4.01203229,0.02865741,-0.02761150,0.61746939,-0.74301613,2.63526579,-3.43415912,0.58008350,-0.56647892,0.38481340,-0.49163140,0.28643361,-0.38167841,1.15207266,-1.48512151,0.00000000,-0.00000000
-5.89794897,3.16075410,-3.87359193,0.02926146,-0.02739160,0.59899333,-0.71466231,2.50350209,-3.29316271,0.57499328,-0.54955337,0.36983734,-0.47690356,0.27886675,-0.37117020,1.10854903,-1.43778389,0.00000000,-0.00000000
-5.89194597,3.06416435,-3.73256489,0.03003537,-0.02722548,0.58296115,-0.68554273,2.38176706,-3.14691273,0.57239878,-0.53242073,0.35671419,-0.46207850,0.27285000,-0.36075979,1.07045617,-1.39000016,0.00000000,-0.00000000
-5.88594297,2.98413668,-3.59260277,0.03098983,-0.02715057,0.56969901,-0.65629935,2.27211746,-2.99839529,0.57253129,-0.51560204,0.34584534,-0.44760906,0.26863344,-0.35086204,1.03885786,-1.34317827,0.00000000,-0.00000000
