energy_ev,total_up,In_p_up,In_d_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,2.69926748,0.22454972,0.00867409,2.45083256,1.04851663,1.30721027,0.00000000
-5.99399700,2.55524609,0.21295262,0.00827859,2.32680048,0.99113185,1.24058924,0.00000000
-5.98799400,2.40621696,0.20089373,0.00786079,2.19780328,0.93187464,1.17093813,0.00000000
-5.98199100,2.25418422,0.18855609,0.00742656,2.06558500,0.87156052,1.09928607,0.00000000
-5.97598799,2.10114930,0.17612694,0.00698189,1.93189244,0.81100501,1.02668714,0.00000000
-5.96998499,1.94907077,0.16379358,0.00653275,1.79844095,0.75100679,0.95419576,0.00000000
-5.96398199,1.79982781,0.15173929,0.00608501,1.66688281,0.69233260,0.88284363,0.00000000
-5.95797899,1.65518850,0.14013983,0.00564430,1.53877915,0.63570407,0.81361893,0.00000000
-5.95197599,1.51678377,0.12916031,0.00521596,1.41557607,0.58178710,0.74744852,0.00000000
-5.94597299,1.38608736,0.11895270,0.00480491,1.29858529,0.53118382,0.68518369,0.00000000
-5.93996998,1.26440223,0.10965392,0.00441564,1.18896975,0.48442726,0.62758950,0.00000000
-5.93396698,1.15285304,0.10138464,0.00405214,1.08773401,0.44197870,0.57533799,0.00000000
-5.92796398,1.05238449,0.09424855,0.00371785,0.99571947,0.40422741,0.52900491,0.00000000
-5.92196098,0.96376488,0.08833226,0.00341569,0.91360397,0.37149252,0.48906983,0.00000000
-5.91595798,0.88759403,0.08370562,0.00314805,0.84190540,0.34402670,0.45591891,0.00000000
-5.90995498,0.82431471,0.08042241,0.00291678,0.78098868,0.32202104,0.42985006,0.00000000
-5.90395198,0.77422652,0.07852131,0.00272325,0.73107565,0.30561091,0.41107959,0.00000000
-5.89794897,0.73750127,0.07802694,0.00256836,0.69225704,0.29488209,0.39974995,0.00000000
-5.89194597,0.71419884,0.07895110,0.00245261,0.66450603,0.28987693,0.39593778,0.00000000
-5.88594297,0.70428268,0.08129387,0.00237611,0.64769273,0.29060011,0.39966185,0.00000000
-5.87993997,0.70763411,0.08504466,0.00233869,0.64159896,0.29702358,0.41089026,0.00000000
-5.87393697,0.72406489,0.09018308,0.00233988,0.64593292,0.30909061,0.42954674,0.00000000
-5.86793397,0.75332740,0.09667968,0.00237903,0.66034324,0.32671866,0.45551561,0.00000000
-5.86193097,0.79512246,0.10449640,0.00245528,0.68443204,0.34980111,0.48864528,0.00000000
-5.85592796,0.84910424,0.11358684,0.00256767,0.71776683,0.37820778,0.52875043,0.00000000
-5.84992496,0.91488278,0.12389641,0.00271511,0.75989089,0.41178436,0.57561267,0.00000000
-5.84392196,0.99202387,0.13536216,0.00289643,0.81033215,0.45035102,0.62898009,0.00000000
-5.83791896,1.08004711,0.14791261,0.00311042,0.86861049,0.49370030,0.68856594,0.00000000
-5.83191596,1.17842222,0.16146750,0.00335579,0.93424338,0.54159468,0.75404653,0.00000000
-5.82591296,1.28656455,0.17593741,0.00363117,1.00675017,0.59376406,0.82505915,0.00000000
-5.81990995,1.40383025,0.19122356,0.00393516,1.08565499,0.64990365,0.90120003,0.00000000
-5.81390695,1.52951190,0.20721761,0.00426625,1.17048859,0.70967240,0.98202300,0.00000000
-5.80790395,1.66283535,0.22380165,0.00462284,1.26078935,0.77269255,1.06703917,0.00000000
-5.80190095,1.80295845,0.24084845,0.00500320,1.35610375,0.83855030,1.15571803,0.00000000
-5.79589795,1.94897221,0.25822193,0.00540548,1.45598652,0.90679818,1.24749027,0.00000000
-5.78989495,2.09990505,0.27577790,0.00582766,1.56000089,0.97695890,1.34175246,0.00000000
-5.78389195,2.25473030,0.29336522,0.00626758,1.66771908,1.04853105,1.43787383,0.00000000
-5.77788894,2.41237714,0.31082719,0.00672289,1.77872319,1.12099638,1.53520497,0.00000000
-5.77188594,2.57174494,0.32800336,0.00719113,1.89260664,1.19382867,1.63308840,0.00000000
-5.76588294,2.73172054,0.34473157,0.00766966,2.00897623,1.26650372,1.73087057,0.00000000
-5.75987994,2.89119791,0.36085028,0.00815575,2.12745444,1.33851024,1.82791500,0.00000000
-5.75387694,3.04909940,0.37620109,0.00864658,2.24768208,1.40936105,1.92361580,0.00000000
-5.74787394,3.20439756,0.39063138,0.00913932,2.36932060,1.47860405,2.01741101,0.00000000
-5.74187094,3.35613631,0.40399699,0.00963113,2.49205398,1.54583244,2.10879500,0.00000000
-5.73586793,3.50345031,0.41616483,0.01011924,2.61558936,1.61069347,2.19732920,0.00000000
-5.72986493,3.64558132,0.42701537,0.01060098,2.73965631,1.67289525,2.28265037,0.00000000
-5.72386193,3.78189039,0.43644483,0.01107386,2.86400393,1.73221117,2.36447596,0.00000000
-5.71785893,3.91186506,0.44436711,0.01153557,2.98839577,1.78848147,2.44260586,0.00000000
-5.71185593,4.03512080,0.45071527,0.01198401,3.11260215,1.84161190,2.51692051,0.00000000
-5.70585293,4.15139660,0.45544260,0.01241734,3.23639000,1.89156932,2.58737512,0.00000000
-5.69984992,4.26054454,0.45852323,0.01283392,3.35951042,1.93837453,2.65399026,0.00000000
-5.69384692,4.36251409,0.45995220,0.01323236,3.48168452,1.98209265,2.71683928,0.00000000
-5.68784392,4.45733181,0.45974510,0.01361143,3.60258808,2.02282159,2.77603319,0.00000000
-5.68184092,4.54507779,0.45793729,0.01397006,3.72183626,2.06067936,2.83170392,0.00000000
-5.67583792,4.62586040,0.45458267,0.01430729,3.83896915,2.09579093,2.88398692,0.00000000
-5.66983492,4.69979082,0.44975220,0.01462219,3.95343965,2.12827558,2.93300425,0.00000000
-5.66383192,4.76695941,0.44353212,0.01491381,4.06460473,2.15823554,2.97884930,0.00000000
-5.65782891,4.82741529,0.43602199,0.01518116,4.17172125,2.18574673,3.02157415,0.00000000
-5.65182591,4.88115092,0.42733265,0.01542311,4.27394751,2.21085215,3.06118046,0.00000000
-5.64582291,4.92809278,0.41758410,0.01563843,4.37035092,2.23355855,3.09761461,0.00000000
-5.63981991,4.96809890,0.40690340,0.01582573,4.45992259,2.25383645,3.13076756,0.00000000
-5.63381691,5.00096373,0.39542268,0.01598352,4.54159854,2.27162369,3.16047945,0.00000000
-5.62781391,5.02643017,0.38327712,0.01611017,4.61428731,2.28683215,3.18654874,0.00000000
-5.62181091,5.04420801,0.37060311,0.01620405,4.67690303,2.29935729,3.20874556,0.00000000
-5.61580790,5.05399791,0.35753655,0.01626355,4.72840284,2.30908973,3.22682818,0.00000000
-5.60980490,5.05551921,0.34421114,0.01628717,4.76782694,2.31592818,3.24056185,0.00000000
-5.60380190,5.04853991,0.33075690,0.01627368,4.79433965,2.31979271,3.24973865,0.00000000
-5.59779890,5.03290689,0.31729872,0.01622216,4.80726920,2.32063752,3.25419723,0.00000000
-5.59179590,5.00857434,0.30395498,0.01613215,4.80614452,2.31846222,3.25384107,0.00000000
-5.58579290,4.97562855,0.29083633,0.01600377,4.79072686,2.31332092,3.24865416,0.00000000
-5.57978989,4.93430733,0.27804453,0.01583775,4.76103450,2.30532834,3.23871308,0.00000000
-5.57378689,4.88501289,0.26567134,0.01563557,4.71735914,2.29466272,3.22419471,0.00000000
-5.56778389,4.82831697,0.25379765,0.01539946,4.66027279,2.28156504,3.20537914,0.00000000
-5.56178089,4.76495804,0.24249270,0.01513242,4.59062453,2.26633484,3.18264741,0.00000000
-5.55577789,4.69583034,0.23181346,0.01483822,4.50952704,2.24932267,3.15647435,0.00000000
-5.54977489,4.62196531,0.22180422,0.01452134,4.41833307,2.23091967,3.12741683,0.00000000
-5.54377189,4.54450626,0.21249650,0.01418687,4.31860283,2.21154499,3.09609800,0.00000000
-5.53776888,4.46467747,0.20390907,0.01384042,4.21206344,2.19163157,3.06318849,0.00000000
-5.53176588,4.38374917,0.19604834,0.01348796,4.10056200,2.17161123,3.02938529,0.00000000
-5.52576288,4.30300008,0.18890897,0.01313567,3.98601420,2.15189971,2.99538956,0.00000000
-5.51975988,4.22367910,0.18247471,0.01278973,3.87035043,2.13288252,2.96188425,0.00000000
-5.51375688,4.14696780,0.17671945,0.01245618,3.75546158,2.11490211,2.92951254,0.00000000
-5.50775388,4.07394530,0.17160854,0.01214070,3.64314654,2.09824694,2.89885795,0.00000000
-5.50175088,4.00555672,0.16710010,0.01184841,3.53506334,2.08314280,2.87042683,0.00000000
-5.49574787,3.94258642,0.16314653,0.01158376,3.43268564,2.06974661,2.84463373,0.00000000
-5.48974487,3.88563671,0.15969596,0.01135034,3.33726620,2.05814271,2.82179013,0.00000000
-5.48374187,3.83511271,0.15669370,0.01115077,3.24980824,2.04834161,2.80209651,0.00000000
-5.47773887,3.79121350,0.15408358,0.01098664,3.17104561,2.04028110,2.78563809,0.00000000
-5.47173587,3.75392969,0.15180916,0.01085842,3.10143224,2.03382928,2.77238389,0.00000000
-5.46573287,3.72304725,0.14981477,0.01076551,3.04114076,2.02878948,2.76218907,0.00000000
-5.45972986,3.69815718,0.14804633,0.01070620,2.99007017,2.02490654,2.75480032,0.00000000
-5.45372686,3.67867059,0.14645199,0.01067779,2.94786193,2.02187435,2.74986389,0.00000000
-5.44772386,3.66383865,0.14498259,0.01067668,2.91392350,2.01934424,2.74693612,0.00000000
-5.44172086,3.65277669,0.14359189,0.01069848,2.88745840,2.01693419,2.74549596,0.00000000
-5.43571786,3.64449180,0.14223670,0.01073822,2.86750140,2.01423848,2.74495943,0.00000000
-5.42971486,3.63791307,0.14087689,0.01079050,2.85295750,2.01083783,2.74469545,0.00000000
-5.42371186,3.63192384,0.13947532,0.01084970,2.84264326,2.00630986,2.74404299,0.00000000
-5.41770885,3.62539494,0.13799775,0.01091016,2.83532891,2.00023969,2.74232895,0.00000000
-5.41170585,3.61721820,0.13641277,0.01096644,2.82977999,1.99223070,2.73888672,0.00000000
-5.40570285,3.60633924,0.13469175,0.01101345,2.82479685,1.98191520,2.73307474,0.00000000
-5.39969985,3.59178867,0.13280889,0.01104667,2.81925110,1.96896483,2.72429486,0.00000000
-5.39369685,3.57271081,0.13074134,0.01106227,2.81211758,1.95310045,2.71200985,0.00000000
-5.38769385,3.54838890,0.12846935,0.01105727,2.80250120,1.93410132,2.69575965,0.00000000
-5.38169085,3.51826614,0.12597659,0.01102960,2.78965780,1.91181302,2.67517572,0.00000000
-5.37568784,3.48196164,0.12325042,0.01097815,2.77300860,1.88615401,2.64999305,0.00000000
-5.36968484,3.43928074,0.12028227,0.01090279,2.75214798,1.85712028,2.62005919,0.00000000
-5.36368184,3.39021917,0.11706794,0.01080435,2.72684472,1.82478781,2.58533993,0.00000000
-5.35767884,3.33496076,0.11360790,0.01068452,2.69703683,1.78931265,2.54592117,0.00000000
-5.35167584,3.27386876,0.10990752,0.01054576,2.66282041,1.75092819,2.50200683,0.00000000
-5.34567284,3.20747076,0.10597712,0.01039118,2.62443343,1.70993982,2.45391259,0.00000000
-5.33966983,3.13643792,0.10183203,0.01022436,2.58223507,1.66671676,2.40205561,0.00000000
-5.33366683,3.06155896,0.09749234,0.01004919,2.53668163,1.62168134,2.34694043,0.00000000
-5.32766383,2.98371005,0.09298260,0.00986965,2.48830024,1.57529600,2.28914152,0.00000000
-5.32166083,2.90382150,0.08833135,0.00968968,2.43766125,1.52804848,2.22928303,0.00000000
-5.31565783,2.82284281,0.08357050,0.00951296,2.38535069,1.48043563,2.16801659,0.00000000
-5.30965483,2.74170716,0.07873456,0.00934273,2.33194362,1.43294661,2.10599791,0.00000000
-5.30365183,2.66129704,0.07385986,0.00918171,2.27797965,1.38604613,2.04386328,0.00000000
-5.29764882,2.58241221,0.06898362,0.00903191,2.22394134,1.34015840,1.98220681,0.00000000
-5.29164582,2.50574141,0.06414305,0.00889460,2.17023624,1.29565260,1.92155959,0.00000000
-5.28564282,2.43183895,0.05937444,0.00877024,2.11718334,1.25283043,1.86237145,0.00000000
-5.27963982,2.36110713,0.05471232,0.00865848,2.06500400,1.21191640,1.80499640,0.00000000
-5.27363682,2.29378523,0.05018868,0.00855818,2.01381794,1.17305134,1.74968218,0.00000000
-5.26763382,2.22994549,0.04583227,0.00846744,1.96364386,1.13628930,1.69656455,0.00000000
-5.26163082,2.16949612,0.04166809,0.00838376,1.91440484,1.10159818,1.64566648,0.00000000
-5.25562781,2.11219121,0.03771699,0.00830409,1.86593797,1.06886393,1.59690230,0.00000000
-5.24962481,2.05764709,0.03399539,0.00822501,1.81800752,1.03789823,1.55008659,0.00000000
-5.24362181,2.00536412,0.03051517,0.00814287,1.77032128,1.00844916,1.50494732,0.00000000
-5.23761881,1.95475313,0.02728375,0.00805396,1.72254893,0.98021449,1.46114270,0.00000000
-5.23161581,1.90516511,0.02430422,0.00795463,1.67434170,0.95285684,1.41828065,0.00000000
-5.22561281,1.85592279,0.02157563,0.00784151,1.62535248,0.92602007,1.37594030,0.00000000
-5.21960980,1.80635267,0.01909338,0.00771159,1.57525527,0.89934608,1.33369412,0.00000000
-5.21360680,1.75581611,0.01684970,0.00756240,1.52376330,0.87249127,1.29112984,0.00000000
-5.20760380,1.70373798,0.01483410,0.00739203,1.47064498,0.84514182,1.24787100,0.00000000
-5.20160080,1.64963182,0.01303395,0.00719928,1.41573696,0.81702727,1.20359527,0.00000000
-5.19559780,1.59312029,0.01143503,0.00698365,1.35895394,0.78793169,1.15804968,0.00000000
-5.18959480,1.53395030,0.01002203,0.00674537,1.30029479,0.75770202,1.11106217,0.00000000
-5.18359180,1.47200228,0.00877910,0.00648540,1.23984492,0.72625340,1.06254900,0.00000000
-5.17758879,1.40729340,0.00769027,0.00620532,1.17777497,0.69357121,1.01251786,0.00000000
-5.17158579,1.33997489,0.00673991,0.00590737,1.11433590,0.65971005,0.96106678,0.00000000
