energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.48580222,0.01874502,0.02046784,0.01681747,0.94299064,0.52715196,0.35322594
-5.99399700,1.56227572,0.01894619,0.02220913,0.01734335,0.99128077,0.56451250,0.36987896
-5.98799400,1.64484703,0.01910348,0.02416301,0.01788241,1.04331421,0.60498482,0.38787918
-5.98199100,1.73353539,0.01921869,0.02632283,0.01843740,1.09910765,0.64859789,0.40724522
-5.97598799,1.82825746,0.01929456,0.02867864,0.01901106,1.15861424,0.69531868,0.42797387
-5.96998499,1.92879804,0.01933447,0.03121687,0.01960583,1.22170488,0.74503954,0.45003274
-5.96398199,2.03478191,0.01934222,0.03392002,0.02022348,1.28815045,0.79756669,0.47335314
-5.95797899,2.14564907,0.01932173,0.03676642,0.02086477,1.35760600,0.85261081,0.49782374
-5.95197599,2.26063521,0.01927675,0.03973008,0.02152916,1.42959835,0.90978021,0.52328549
-5.94597299,2.37875927,0.01921066,0.04278069,0.02221449,1.50351814,0.96857764,0.54952818
-5.93996998,2.49881969,0.01912614,0.04588377,0.02291685,1.57861740,1.02840103,0.57628915
-5.93396698,2.61940064,0.01902507,0.04900100,0.02363041,1.65401332,1.08854875,0.60325432
-5.92796398,2.73888878,0.01890837,0.05209070,0.02434744,1.72869878,1.14822967,0.63006178
-5.92196098,2.85550094,0.01877593,0.05510856,0.02505838,1.80155970,1.20657770,0.65630799
-5.91595798,2.96732205,0.01862663,0.05800851,0.02575202,1.87139880,1.26267097,0.68155648
-5.90995498,3.07235249,0.01845841,0.06074372,0.02641579,1.93696540,1.31555470,0.70534874
-5.90395198,3.16856307,0.01826840,0.06326779,0.02703613,1.99698989,1.36426726,0.72721706
-5.89794897,3.25395555,0.01805313,0.06553599,0.02759891,2.05022177,1.40786836,0.74669863
-5.89194597,3.32662618,0.01780873,0.06750650,0.02808996,2.09546954,1.44546817,0.76335044
-5.88594297,3.38482937,0.01753124,0.06914173,0.02849555,2.13164070,1.47625616,0.77676426
-5.87993997,3.42703861,0.01721684,0.07040944,0.02880290,2.15777995,1.49952844,0.78658097
-5.87393697,3.45200172,0.01686215,0.07128385,0.02900073,2.17310387,1.51471219,0.79250361
-5.86793397,3.45878776,0.01646447,0.07174647,0.02907964,2.17703037,1.52138620,0.79430853
-5.86193097,3.44682335,0.01602202,0.07178681,0.02903255,2.16920147,1.51929642,0.79185407
-5.85592796,3.41591668,0.01553410,0.07140273,0.02885494,2.14949827,1.50836590,0.78508635
-5.84992496,3.36626799,0.01500125,0.07060059,0.02854507,2.11804762,1.48869855,0.77404192
-5.84392196,3.29846611,0.01442525,0.06939510,0.02810407,2.07521981,1.46057666,0.75884719
-5.83791896,3.21347135,0.01380921,0.06780887,0.02753591,2.02161792,1.42445223,0.73971468
-5.83191596,3.11258568,0.01315746,0.06587176,0.02684727,1.95805903,1.38093269,0.71693626
-5.82591296,2.99741169,0.01247543,0.06361998,0.02604735,1.88554853,1.33076161,0.69087383
-5.81990995,2.86980251,0.01176957,0.06109500,0.02514752,1.80524866,1.27479543,0.66194786
-5.81390695,2.73180501,0.01104707,0.05834243,0.02416102,1.71844294,1.21397719,0.63062442
-5.80790395,2.58559912,0.01031570,0.05541071,0.02310253,1.62649810,1.14930859,0.59740119
-5.80190095,2.43343581,0.00958354,0.05234990,0.02198772,1.53082520,1.08182155,0.56279330
-5.79589795,2.27757649,0.00885879,0.04921049,0.02083289,1.43284170,1.01255035,0.52731941
-5.78989495,2.12023628,0.00814947,0.04604226,0.01965451,1.33393581,0.94250560,0.49148867
-5.78389195,1.96353302,0.00746327,0.04289336,0.01846887,1.23543464,0.87265071,0.45578907
-5.77788894,1.80944381,0.00680737,0.03980946,0.01729174,1.13857687,0.80388187,0.42067748
-5.77188594,1.65977007,0.00618822,0.03683319,0.01613811,1.04449086,0.73701177,0.38657164
-5.76588294,1.51611173,0.00561151,0.03400362,0.01502192,0.95417849,0.67275743,0.35384427
-5.75987994,1.37985057,0.00508203,0.03135608,0.01395599,0.86850468,0.61173232,0.32281924
-5.75387694,1.25214244,0.00460366,0.02892202,0.01295183,0.78819252,0.55444233,0.29376981
-5.74787394,1.13391747,0.00417936,0.02672905,0.01201962,0.71382334,0.50128561,0.26691857
