energy_ev,total_up,Ag_p_up,Ag_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.27767058,0.42379615,1.41092776,0.58761949,0.35784186,0.00373930,0.36255253,0.05453725,1.25610534
-5.99399700,4.37307607,0.44208979,1.44599369,0.60525598,0.36603806,0.00372825,0.36839418,0.05416644,1.28838731
-5.98799400,4.46178450,0.45985322,1.47922602,0.62178240,0.37384587,0.00375561,0.37338877,0.05373571,1.31884165
-5.98199100,4.54374613,0.47703197,1.51060339,0.63720318,0.38124501,0.00382012,0.37754686,0.05325466,1.34743904
-5.97598799,4.61905218,0.49357888,1.54014901,0.65155328,0.38822014,0.00391973,0.38089553,0.05273458,1.37419016
-5.96998499,4.68792685,0.50945345,1.56792899,0.66489681,0.39476043,0.00405172,0.38347707,0.05218828,1.39914360
-5.96398199,4.75071636,0.52462116,1.59404967,0.67732491,0.40085920,0.00421282,0.38534721,0.05162979,1.42238309
-5.95797899,4.80787617,0.53905321,1.61865445,0.68895302,0.40651361,0.00439928,0.38657308,0.05107404,1.44402429
-5.95197599,4.85995768,0.55272653,1.64192028,0.69991771,0.41172459,0.00460701,0.38723100,0.05053650,1.46421158
-5.94597299,4.90759544,0.56562431,1.66405433,0.71037318,0.41649702,0.00483171,0.38740429,0.05003276,1.48311504
-5.93996998,4.95149548,0.57773686,1.68529075,0.72048749,0.42084026,0.00506898,0.38718117,0.04957819,1.50092776
-5.93396698,4.99242538,0.58906286,1.70588766,0.73043868,0.42476901,0.00531444,0.38665286,0.04918764,1.51786372
-5.92796398,5.03120584,0.59961085,1.72612442,0.74041067,0.42830443,0.00556387,0.38591191,0.04887516,1.53415603
-5.92196098,5.06870349,0.60940084,1.74629873,0.75058903,0.43147553,0.00581331,0.38505080,0.04865380,1.55005543
-5.91595798,5.10582429,0.61846572,1.76672362,0.76115661,0.43432059,0.00605920,0.38416075,0.04853559,1.56582882
-5.90995498,5.14350656,0.62685245,1.78772379,0.77228891,0.43688861,0.00629843,0.38333075,0.04853148,1.58175762
-5.90395198,5.18271279,0.63462277,1.80963116,0.78414930,0.43924052,0.00652848,0.38264671,0.04865148,1.59813539
-5.89794897,5.22441932,0.64185316,1.83277938,0.79688404,0.44145014,0.00674747,0.38219071,0.04890475,1.61526486
-5.89194597,5.26960322,0.64863412,1.85749710,0.81061719,0.44360453,0.00695423,0.38204018,0.04929990,1.63345367
-5.88594297,5.31922594,0.65506855,1.88410015,0.82544549,0.44580393,0.00714837,0.38226712,0.04984517,1.65300918
-5.87993997,5.37421382,0.66126929,1.91288266,0.84143349,0.44816089,0.00733027,0.38293717,0.05054877,1.67423204
-5.87393697,5.43543584,0.66735593,1.94410749,0.85860904,0.45079879,0.00750113,0.38410862,0.05141905,1.69740877
-5.86793397,5.50367945,0.67345095,1.97799652,0.87695948,0.45384964,0.00766297,0.38583133,0.05246478,1.72280371
-5.86193097,5.57962568,0.67967545,2.01472122,0.89642886,0.45745120,0.00781858,0.38814561,0.05369527,1.75065058
-5.85592796,5.66382506,0.68614470,2.05439441,0.91691641,0.46174363,0.00797154,0.39108114,0.05512042,1.78114432
-5.84992496,5.75667591,0.69296373,2.09706363,0.93827660,0.46686567,0.00812610,0.39465595,0.05675072,1.81443355
-5.84392196,5.85840671,0.70022334,2.14270698,0.96032111,0.47295049,0.00828718,0.39887562,0.05859701,1.85061433
-5.83791896,5.96906396,0.70799673,2.19123199,0.98282263,0.48012157,0.00846020,0.40373273,0.06067024,1.88972562
-5.83191596,6.08850693,0.71633693,2.24247774,1.00552079,0.48848848,0.00865106,0.40920656,0.06298100,1.93174697
-5.82591296,6.21640999,0.72527533,2.29622069,1.02813009,0.49814307,0.00886596,0.41526327,0.06553901,1.97659857
-5.81990995,6.35227297,0.73482138,2.35218406,1.05034951,0.50915589,0.00911129,0.42185639,0.06835240,2.02414393
-5.81390695,6.49543945,0.74496342,2.41005052,1.07187376,0.52157326,0.00939350,0.42892775,0.07142694,2.07419517
-5.80790395,6.64512223,0.75567074,2.46947778,1.09240541,0.53541495,0.00971890,0.43640877,0.07476526,2.12652060
-5.80190095,6.80043485,0.76689663,2.53011630,1.11166773,0.55067254,0.01009353,0.44422214,0.07836597,2.18085432
-5.79589795,6.96042754,0.77858242,2.59162822,1.12941727,0.56730860,0.01052301,0.45228371,0.08222278,2.23690738
-5.78989495,7.12412573,0.79066200,2.65370658,1.14545589,0.58525670,0.01101232,0.46050465,0.08632377,2.29437968
-5.78389195,7.29056894,0.80306681,2.71609364,1.15964127,0.60442212,0.01156570,0.46879369,0.09065070,2.35297218
-5.77788894,7.45884782,0.81573088,2.77859728,1.17189545,0.62468343,0.01218646,0.47705940,0.09517848,2.41239844
-5.77188594,7.62813733,0.82859550,2.84110436,1.18221089,0.64589461,0.01287686,0.48521248,0.09987488,2.47239490
