energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.55032251,0.00482589,0.00283343,0.27260813,0.00000000,0.45789435,0.17488010
-5.99399700,0.54264756,0.00572392,0.00282293,0.26718362,0.00000000,0.45860269,0.17072028
-5.98799400,0.54200493,0.00681089,0.00283936,0.26522146,0.00000000,0.46505681,0.16892943
-5.98199100,0.54903213,0.00810798,0.00288656,0.26699642,0.00000000,0.47796338,0.16967363
-5.97598799,0.56429697,0.00963637,0.00296818,0.27274684,0.00000000,0.49798863,0.17309326
-5.96998499,0.58827730,0.01141655,0.00308748,0.28266550,0.00000000,0.52573534,0.17929788
-5.96398199,0.62134078,0.01346746,0.00324724,0.29689086,0.00000000,0.56171904,0.18836126
-5.95797899,0.66372506,0.01580557,0.00344961,0.31549862,0.00000000,0.60634415,0.20031652
-5.95197599,0.71551895,0.01844387,0.00369600,0.33849389,0.00000000,0.65988033,0.21515166
-5.94597299,0.77664503,0.02139084,0.00398695,0.36580420,0.00000000,0.72243990,0.23280545
-5.93996998,0.84684442,0.02464939,0.00432206,0.39727364,0.00000000,0.79395703,0.25316403
-5.93396698,0.92566463,0.02821582,0.00469989,0.43265839,0.00000000,0.87416965,0.27605826
-5.92796398,1.01245104,0.03207897,0.00511793,0.47162413,0.00000000,0.96260505,0.30126224
-5.92196098,1.10634323,0.03621937,0.00557255,0.51374551,0.00000000,1.05857020,0.32849304
-5.91595798,1.20627666,0.04060879,0.00605902,0.55850815,0.00000000,1.16114778,0.35741201
-5.90995498,1.31099050,0.04520987,0.00657155,0.60531330,0.00000000,1.26919880,0.38762775
-5.90395198,1.41904222,0.04997616,0.00710334,0.65348551,0.00000000,1.38137252,0.41870096
-5.89794897,1.52882908,0.05485251,0.00764671,0.70228318,0.00000000,1.49612426,0.45015112
-5.89194597,1.63861646,0.05977579,0.00819325,0.75091211,0.00000000,1.61174112,0.48146513
-5.88594297,1.74657290,0.06467603,0.00873394,0.79854181,0.00000000,1.72637551,0.51210762
-5.87993997,1.85081083,0.06947785,0.00925945,0.84432411,0.00000000,1.83808591,0.54153281
-5.87393697,1.94943219,0.07410236,0.00976028,0.88741374,0.00000000,1.94488380,0.56919764
-5.86793397,2.04057735,0.07846915,0.01022706,0.92699004,0.00000000,2.04478536,0.59457559
-5.86193097,2.12247566,0.08249867,0.01065077,0.96227929,0.00000000,2.13586631,0.61717096
-5.85592796,2.19349594,0.08611465,0.01102303,0.99257657,0.00000000,2.21631771,0.63653283
-5.84992496,2.25219464,0.08924648,0.01133632,1.01726650,0.00000000,2.28450055,0.65226829
-5.84392196,2.29735984,0.09183166,0.01158420,1.03584190,0.00000000,2.33899695,0.66405440
-5.83791896,2.32804917,0.09381791,0.01176152,1.04791958,0.00000000,2.37865555,0.67164822
-5.83191596,2.34361994,0.09516513,0.01186456,1.05325266,0.00000000,2.40262933,0.67489472
-5.82591296,2.34375012,0.09584686,0.01189115,1.05173870,0.00000000,2.41040378,0.67373188
-5.81990995,2.32844925,0.09585140,0.01184073,1.04342353,0.00000000,2.40181448,0.66819310
-5.81390695,2.29805875,0.09518239,0.01171436,1.02850032,0.00000000,2.37705295,0.65840657
-5.80790395,2.25324163,0.09385882,0.01151466,1.00730426,0.00000000,2.33666073,0.64459169
-5.80190095,2.19496215,0.09191466,0.01124575,0.98030280,0.00000000,2.28151188,0.62705279
-5.79589795,2.12445625,0.08939783,0.01091308,0.94808213,0.00000000,2.21278472,0.60617032
-5.78989495,2.04319420,0.08636882,0.01052326,0.91133040,0.00000000,2.13192428,0.58239000
-5.78389195,1.95283719,0.08289892,0.01008389,0.87081837,0.00000000,2.04059708,0.55621035
