energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
1.07753877,4.40147872,0.11516806,1.18031424,0.68051483,2.10106800,0.10408996,0.00000000,0.10827355,0.39541206
1.08354177,4.50691132,0.11469793,1.23468553,0.67853673,2.14355638,0.10649507,0.00000000,0.11352120,0.40948867
1.08954477,4.60434543,0.11392130,1.28742062,0.67512258,2.18132219,0.10926973,0.00000000,0.11909597,0.42334912
1.09554777,4.69187850,0.11282409,1.33793672,0.67007312,2.21347435,0.11231543,0.00000000,0.12490302,0.43673923
1.10155078,4.76781528,0.11139752,1.38566712,0.66323315,2.23925590,0.11553746,0.00000000,0.13084463,0.44942379
1.10755378,4.83068857,0.10963817,1.43006865,0.65449402,2.25805292,0.11884576,0.00000000,0.13682120,0.46118881
1.11355678,4.87927394,0.10754801,1.47062878,0.64379470,2.26939905,0.12215557,0.00000000,0.14273234,0.47184315
1.11955978,4.91259863,0.10513434,1.50687230,0.63112156,2.27297628,0.12538786,0.00000000,0.14847810,0.48121963
1.12556278,4.92994526,0.10240976,1.53836771,0.61650714,2.26861207,0.12846970,0.00000000,0.15396027,0.48917560
1.13156578,4.93085100,0.09939209,1.56473301,0.60002789,2.25627355,0.13133451,0.00000000,0.15908374,0.49559319
1.13756878,4.91510280,0.09610425,1.58564109,0.58180115,2.23605923,0.13392224,0.00000000,0.16375800,0.50037921
1.14357179,4.88272940,0.09257419,1.60082449,0.56198147,2.20818880,0.13617952,0.00000000,0.16789862,0.50346479
1.14957479,4.83399060,0.08883467,1.61007959,0.54075657,2.17299154,0.13805986,0.00000000,0.17142876,0.50480490
1.15557779,4.76936458,0.08492309,1.61327007,0.51834279,2.13089400,0.13952371,0.00000000,0.17428063,0.50437773
1.16158079,4.68953346,0.08088121,1.61032960,0.49498056,2.08240724,0.14053870,0.00000000,0.17639682,0.50218406
1.16758379,4.59536789,0.07675486,1.60126372,0.47092962,2.02811420,0.14107982,0.00000000,0.17773153,0.49824650
1.17358679,4.48791072,0.07259351,1.58615079,0.44646441,1.96865747,0.14112951,0.00000000,0.17825157,0.49260885
1.17958979,4.36836019,0.06844986,1.56514192,0.42186956,1.90472771,0.14067796,0.00000000,0.17793705,0.48533532
1.18559280,4.23805268,0.06437931,1.53846001,0.39743552,1.83705297,0.13972315,0.00000000,0.17678193,0.47650980
1.19159580,4.09844529,0.06043941,1.50639755,0.37345463,1.76638883,0.13827104,0.00000000,0.17479410,0.46623507
1.19759880,3.95109802,0.05668924,1.46931345,0.35021727,1.69350944,0.13633555,0.00000000,0.17199527,0.45463179
1.20360180,3.79765561,0.05318874,1.42762863,0.32800854,1.61919937,0.13393855,0.00000000,0.16842037,0.44183755
1.20960480,3.63982884,0.04999799,1.38182064,0.30710501,1.54424608,0.13110971,0.00000000,0.16411683,0.42800546
1.21560780,3.47937515,0.04717648,1.33241700,0.28777189,1.46943279,0.12788612,0.00000000,0.15914337,0.41330270
1.22161081,3.31807825,0.04478232,1.27998762,0.27026025,1.39553150,0.12431190,0.00000000,0.15356865,0.39790864
1.22761381,3.15772663,0.04287135,1.22513612,0.25480438,1.32329604,0.12043752,0.00000000,0.14746964,0.38201259
1.23361681,3.00009067,0.04149627,1.16849035,0.24161916,1.25345466,0.11631897,0.00000000,0.14092980,0.36581131
1.23961981,2.84689838,0.04070564,1.11069201,0.23089731,1.18670228,0.11201679,0.00000000,0.13403721,0.34950598
1.24562281,2.69980965,0.04054286,1.05238579,0.22280649,1.12369202,0.10759486,0.00000000,0.12688259,0.33329891
1.25162581,2.56038926,0.04104501,0.99420792,0.21748616,1.06502606,0.10311906,0.00000000,0.11955725,0.31738992
