energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.25072755,0.00901937,0.17272098,0.00766884,0.00000000,0.67319803,0.00000000,0.57575375,0.24404511
-5.99399700,1.30959873,0.00955581,0.17903872,0.00800707,0.00000000,0.70729624,0.00000000,0.60418579,0.25444539
-5.98799400,1.36818496,0.01013882,0.18517948,0.00834670,0.00000000,0.74139704,0.00000000,0.63238847,0.26474739
-5.98199100,1.42639216,0.01077163,0.19115501,0.00868773,0.00000000,0.77541244,0.00000000,0.66026309,0.27495304
-5.97598799,1.48414807,0.01145664,0.19698190,0.00903053,0.00000000,0.80926248,0.00000000,0.68771241,0.28506848
-5.96998499,1.54139262,0.01219514,0.20267975,0.00937584,0.00000000,0.84287112,0.00000000,0.71463892,0.29510134
-5.96398199,1.59806766,0.01298696,0.20826912,0.00972465,0.00000000,0.87616174,0.00000000,0.74094304,0.30505797
-5.95797899,1.65410634,0.01383021,0.21376940,0.01007808,0.00000000,0.90905274,0.00000000,0.76652162,0.31494058
-5.95197599,1.70942279,0.01472109,0.21919684,0.01043729,0.00000000,0.94145306,0.00000000,0.79126663,0.32474454
-5.94597299,1.76390245,0.01565377,0.22456261,0.01080340,0.00000000,0.97325825,0.00000000,0.81506419,0.33445591
-5.93996998,1.81739360,0.01662031,0.22987119,0.01117732,0.00000000,1.00434691,0.00000000,0.83779400,0.34404936
-5.93396698,1.86970055,0.01761073,0.23511899,0.01155970,0.00000000,1.03457800,0.00000000,0.85932922,0.35348663
-5.92796398,1.92057887,0.01861308,0.24029350,0.01195078,0.00000000,1.06378898,0.00000000,0.87953674,0.36271554
-5.92196098,1.96973306,0.01961375,0.24537270,0.01235037,0.00000000,1.09179515,0.00000000,0.89827794,0.37166974
-5.91595798,2.01681673,0.02059769,0.25032514,0.01275772,0.00000000,1.11839006,0.00000000,0.91540988,0.38026913
-5.90995498,2.06143565,0.02154882,0.25511027,0.01317150,0.00000000,1.14334726,0.00000000,0.93078696,0.38842110
-5.90395198,2.10315342,0.02245049,0.25967945,0.01358976,0.00000000,1.16642335,0.00000000,0.94426291,0.39602236
-5.89794897,2.14149986,0.02328591,0.26397714,0.01400993,0.00000000,1.18736216,0.00000000,0.95569322,0.40296157
-5.89194597,2.17598168,0.02403871,0.26794266,0.01442881,0.00000000,1.20590018,0.00000000,0.96493783,0.40912235
-5.88594297,2.20609523,0.02469343,0.27151204,0.01484267,0.00000000,1.22177289,0.00000000,0.97186415,0.41438695
-5.87993997,2.23134072,0.02523603,0.27462021,0.01524725,0.00000000,1.23472186,0.00000000,0.97635021,0.41864004
-5.87393697,2.25123750,0.02565433,0.27720320,0.01563787,0.00000000,1.24450235,0.00000000,0.97828802,0.42177273
-5.86793397,2.26533965,0.02593841,0.27920037,0.01600954,0.00000000,1.25089115,0.00000000,0.97758686,0.42368661
-5.86193097,2.27325139,0.02608100,0.28055657,0.01635711,0.00000000,1.25369425,0.00000000,0.97417662,0.42429751
-5.85592796,2.27464161,0.02607765,0.28122415,0.01667533,0.00000000,1.25275412,0.00000000,0.96801086,0.42353905
-5.84992496,2.26925694,0.02592694,0.28116469,0.01695906,0.00000000,1.24795624,0.00000000,0.95906965,0.42136562
-5.84392196,2.25693286,0.02563056,0.28035051,0.01720337,0.00000000,1.23923467,0.00000000,0.94736202,0.41775482
-5.83791896,2.23760248,0.02519319,0.27876579,0.01740372,0.00000000,1.22657632,0.00000000,0.93292784,0.41270919
-5.83191596,2.21130258,0.02462245,0.27640744,0.01755607,0.00000000,1.21002382,0.00000000,0.91583919,0.40625726
-5.82591296,2.17817679,0.02392867,0.27328548,0.01765701,0.00000000,1.18967691,0.00000000,0.89620096,0.39845377
