energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.79248439,0.93301384,0.01702727,1.58392875,0.00000000,1.34179597,1.55949789
-5.99399700,3.68204720,0.87084484,0.01662009,1.56261086,0.00000000,1.30056777,1.52917212
-5.98799400,3.58066192,0.81255228,0.01626031,1.54381045,0.00000000,1.26391842,1.50077850
-5.98199100,3.48975314,0.75875988,0.01595309,1.52786708,0.00000000,1.23256688,1.47470316
-5.97598799,3.41060146,0.70998799,0.01570289,1.51510398,0.00000000,1.20714926,1.45131570
-5.96998499,3.34437705,0.66666082,0.01551358,1.50584439,0.00000000,1.18822185,1.43098695
-5.96398199,3.29217117,0.62911574,0.01538856,1.50042526,0.00000000,1.17626383,1.41410513
-5.95797899,3.25502185,0.59761354,0.01533089,1.49920712,0.00000000,1.17167867,1.40108867
-5.95197599,3.23393103,0.57234880,0.01534330,1.50257871,0.00000000,1.17479367,1.39239449
-5.94597299,3.22987074,0.55345940,0.01542819,1.51095579,0.00000000,1.18585694,1.38852064
-5.93996998,3.24377712,0.54103461,0.01558765,1.52477362,0.00000000,1.20503196,1.39000262
-5.93396698,3.27653178,0.53512119,0.01582331,1.54447331,0.00000000,1.23238964,1.39740334
-5.92796398,3.32893117,0.53572703,0.01613625,1.57048243,0.00000000,1.26789859,1.41129661
-5.92196098,3.40164542,0.54282240,0.01652685,1.60319101,0.00000000,1.31141413,1.43224504
-5.91595798,3.49516888,0.55633871,0.01699464,1.64292391,0.00000000,1.36266718,1.46077311
-5.90995498,3.60976539,0.57616506,0.01753812,1.68991145,0.00000000,1.42125394,1.49733686
-5.90395198,3.74541164,0.60214297,0.01815462,1.74425980,0.00000000,1.48662766,1.54229164
-5.89794897,3.90174219,0.63405970,0.01884020,1.80592298,0.00000000,1.55809338,1.59585961
-5.89194597,4.07799992,0.67164094,0.01958953,1.87467834,0.00000000,1.63480676,1.65809887
-5.88594297,4.27299527,0.71454335,0.02039587,1.95010706,0.00000000,1.71577770,1.72887586
-5.87993997,4.48507755,0.76234762,0.02125111,2.03158113,0.00000000,1.79987920,1.80784275
-5.87393697,4.71212064,0.81455292,0.02214578,2.11825790,0.00000000,1.88586172,1.89442119
-5.86793397,4.95152517,0.87057312,0.02306923,2.20908297,0.00000000,1.97237294,1.98779368
-5.86193097,5.20023823,0.92973547,0.02400977,2.30280168,0.00000000,2.05798245,2.08690342
-5.85592796,5.45479092,0.99128222,0.02495485,2.39797923,0.00000000,2.14121064,2.19046306
-5.84992496,5.71135318,1.05437541,0.02589136,2.49302884,0.00000000,2.22056095,2.29697259
-5.84392196,5.96580476,1.11810519,0.02680583,2.58624709,0.00000000,2.29455423,2.40474598
