energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.96728119,-3.41816625,2.00388562,-4.60139309,0.56064244,-0.90361252,0.00478839,-0.00636302,0.41476708,-1.39263886,0.80445954,-0.81009351,0.00000000,-0.00000000,0.37410963,-0.34959317,0.16002670,-0.15778236
-5.99399700,1.90075739,-3.44755806,1.92001711,-4.59402329,0.54491259,-0.92046101,0.00447708,-0.00612100,0.38931543,-1.41247160,0.78933654,-0.80616400,0.00000000,-0.00000000,0.36680859,-0.34490934,0.15565160,-0.15826123
-5.98799400,1.84180775,-3.46651982,1.84891209,-4.56787836,0.53136341,-0.93396761,0.00417241,-0.00584968,0.36799358,-1.42563849,0.77470437,-0.80249061,0.00000000,-0.00000000,0.35987323,-0.34088036,0.15140492,-0.15872132
-5.98199100,1.78965022,-3.47444217,1.78971144,-4.52248013,0.51975336,-0.94395105,0.00387733,-0.00555359,0.35066512,-1.43188144,0.76021289,-0.79896527,0.00000000,-0.00000000,0.35315107,-0.33751843,0.14723008,-0.15915269
-5.97598799,1.74336977,-3.47096255,1.74134259,-4.45777156,0.50979373,-0.95030661,0.00359429,-0.00523757,0.33710696,-1.43108337,0.74552015,-0.79549332,0.00000000,-0.00000000,0.34648778,-0.33483237,0.14307037,-0.15954942
-5.96998499,1.70196998,-3.45597883,1.70257687,-4.37412543,0.50116313,-0.95300740,0.00332523,-0.00490667,0.32702174,-1.42326902,0.73031189,-0.79200157,0.00000000,-0.00000000,0.33973638,-0.33282968,0.13887272,-0.15991040
-5.96398199,1.66442322,-3.42965303,1.67208637,-4.27233774,0.49352216,-0.95210302,0.00307170,-0.00456598,0.32005164,-1.40860134,0.71431863,-0.78844435,0.00000000,-0.00000000,0.33276561,-0.33151789,0.13459097,-0.16023979
-5.95797899,1.62971713,-3.39240508,1.64849813,-4.15360659,0.48652757,-0.94771574,0.00283484,-0.00422051,0.31579295,-1.38737371,0.69732955,-0.78480730,0.00000000,-0.00000000,0.32546697,-0.33090509,0.13018867,-0.16054704
-5.95197599,1.59689589,-3.34489721,1.63044370,-4.01949766,0.47984549,-0.94003428,0.00261553,-0.00387508,0.31381085,-1.35999852,0.67920275,-0.78110873,0.00000000,-0.00000000,0.31776021,-0.33099964,0.12564124,-0.16084648
-5.94597299,1.56509489,-3.28800987,1.61660256,-3.87189856,0.47316309,-0.92930575,0.00241447,-0.00353414,0.31365403,-1.32699263,0.65987146,-0.77739882,0.00000000,-0.00000000,0.30959704,-0.33180926,0.12093739,-0.16115656
-5.93996998,1.53356797,-3.22281075,1.60573854,-3.71296418,0.46619865,-0.91582599,0.00223224,-0.00320176,0.31486867,-1.28896034,0.63934617,-0.77375663,0.00000000,-0.00000000,0.30096295,-0.33333955,0.11607982,-0.16149874
-5.93396698,1.50170685,-3.15051837,1.59672846,-3.54505590,0.45870951,-0.89992883,0.00206946,-0.00288151,0.31701138,-1.24657474,0.61771284,-0.77028559,0.00000000,-0.00000000,0.29187726,-0.33559216,0.11108527,-0.16189619
-5.92796398,1.46905284,-3.07246240,1.58858287,-3.37067729,0.45049797,-0.88197478,0.00192687,-0.00257642,0.31966088,-1.20055806,0.59512757,-0.76710767,0.00000000,-0.00000000,0.28239142,-0.33856295,0.10598383,-0.16237236
-5.92196098,1.43530100,-2.99004238,1.58045911,-3.19240912,0.44141508,-0.86233967,0.00180538,-0.00228897,0.32242807,-1.15166198,0.57180818,-0.76435688,0.00000000,-0.00000000,0.27258584,-0.34224016,0.10081777,-0.16294948
-5.91595798,1.40029780,-2.90468697,1.57166712,-3.01284605,0.43136230,-0.84140373,0.00170624,-0.00202109,0.32496437,-1.10064844,0.54802344,-0.76217256,0.00000000,-0.00000000,0.26256547,-0.34660300,0.09563986,-0.16364722
-5.90995498,1.36403286,-2.81781531,1.56166888,-2.83453724,0.42029137,-0.81954152,0.00163105,-0.00177415,0.32696823,-1.04827170,0.52408071,-0.76069283,0.00000000,-0.00000000,0.25245459,-0.35162073,0.09051140,-0.16448146
-5.90395198,1.32662599,-2.73080201,1.55007224,-2.65993261,0.40820232,-0.79711306,0.00158183,-0.00154902,0.32818960,-0.99526221,0.50031256,-0.76004881,0.00000000,-0.00000000,0.24239090,-0.35725230,0.08550001,-0.16546335
-5.89794897,1.28831073,-2.64494692,1.53662047,-2.49133586,0.39514010,-0.77445645,0.00156108,-0.00134612,0.32843264,-0.94231258,0.47706338,-0.76035972,0.00000000,-0.00000000,0.23251958,-0.36344678,0.08067733,-0.16659866
-5.89194597,1.24941541,-2.56145036,1.52117846,-2.33086516,0.38118994,-0.75188219,0.00157181,-0.00116546,0.32755640,-0.89006606,0.45467647,-0.76172906,0.00000000,-0.00000000,0.22298738,-0.37014435,0.07611675,-0.16788748
-5.88594297,1.21034284,-2.48139421,1.50371673,-2.18042164,0.36647176,-0.72966911,0.00161751,-0.00100674,0.32547387,-0.83910749,0.43348226,-0.76424204,0.00000000,-0.00000000,0.21393718,-0.37727797,0.07189123,-0.16932428
-5.87993997,1.17154973,-2.40572874,1.48429440,-2.04166561,0.35113400,-0.70806197,0.00170215,-0.00086939,0.32214940,-0.78995690,0.41378807,-0.76796414,0.00000000,-0.00000000,0.20550319,-0.38477544,0.06807135,-0.17089828
-5.87393697,1.13352644,-2.33526479,1.46304194,-1.91599983,0.33534694,-0.68727053,0.00183015,-0.00075267,0.31759477,-0.74306549,0.39586978,-0.77294051,0.00000000,-0.00000000,0.19780692,-0.39256183,0.06472348,-0.17259406
-5.86793397,1.09677786,-2.27067070,1.44014459,-1.80455928,0.31929597,-0.66746987,0.00200627,-0.00065574,0.31186412,-0.69881377,0.37996548,-0.77919619,0.00000000,-0.00000000,0.19095416,-0.40056185,0.06190831,-0.17439249
