energy_ev,total_up,N_s_up,N_p_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,0.70681856,0.00367025,0.28866871,0.81420378,0.15909676,0.01872536,0.13529423
-5.99399700,0.76989699,0.00394097,0.31157725,0.87885855,0.17436507,0.02032119,0.14995368
-5.98799400,0.83636974,0.00420756,0.33531979,0.94543164,0.19065880,0.02196492,0.16577516
-5.98199100,0.90596861,0.00446685,0.35970440,1.01339901,0.20794694,0.02364579,0.18277970
-5.97598799,0.97841123,0.00471563,0.38453746,1.08223259,0.22619402,0.02535250,0.20098155
-5.96998499,1.05339903,0.00495072,0.40962492,1.15140498,0.24535892,0.02707333,0.22038579
-5.96398199,1.13061446,0.00516906,0.43477346,1.22039346,0.26539331,0.02879621,0.24098567
-5.95797899,1.20971741,0.00536775,0.45979131,1.28868343,0.28624005,0.03050881,0.26275983
-5.95197599,1.29034123,0.00554414,0.48448893,1.35577099,0.30783142,0.03219867,0.28566945
-5.94597299,1.37208851,0.00569585,0.50867945,1.42116487,0.33008735,0.03385320,0.30965540
-5.93996998,1.45452695,0.00582088,0.53217894,1.48438768,0.35291376,0.03545979,0.33463570
-5.93396698,1.53718568,0.00591762,0.55480660,1.54497671,0.37620109,0.03700588,0.36050334
-5.92796398,1.61955262,0.00598492,0.57638486,1.60248439,0.39982325,0.03847898,0.38712468
-5.92196098,1.70107296,0.00602206,0.59673961,1.65647863,0.42363690,0.03986680,0.41433851
-5.91595798,1.78114955,0.00602884,0.61570042,1.70654342,0.44748143,0.04115726,0.44195607
-5.90995498,1.85914519,0.00600554,0.63310108,1.75227977,0.47117953,0.04233858,0.46976201
-5.90395198,1.93438736,0.00595291,0.64878037,1.79330736,0.49453850,0.04339943,0.49751640
-5.89794897,2.00617537,0.00587219,0.66258314,1.82926701,0.51735244,0.04432898,0.52495793
-5.89194597,2.07379006,0.00576507,0.67436183,1.85982409,0.53940507,0.04511707,0.55180811
-5.88594297,2.13650598,0.00563361,0.68397832,1.88467308,0.56047344,0.04575435,0.57777654
-5.87993997,2.19360570,0.00548028,0.69130612,1.90354304,0.58033224,0.04623243,0.60256717
-5.87393697,2.24439605,0.00530785,0.69623300,1.91620405,0.59875870,0.04654407,0.62588515
-5.86793397,2.28822561,0.00511933,0.69866370,1.92247435,0.61553795,0.04668337,0.64744434
-5.86193097,2.32450299,0.00491795,0.69852295,1.92222789,0.63046852,0.04664595,0.66697506
-5.85592796,2.35271509,0.00470709,0.69575836,1.91540198,0.64336799,0.04642912,0.68423181
-5.84992496,2.37244465,0.00449018,0.69034326,1.90200459,0.65407839,0.04603207,0.69900069
-5.84392196,2.38338637,0.00427070,0.68227929,1.88212083,0.66247120,0.04545601,0.71110631
-5.83791896,2.38536070,0.00405204,0.67159844,1.85591827,0.66845177,0.04470426,0.72041770
-5.83191596,2.37832474,0.00383755,0.65836465,1.82365050,0.67196282,0.04378235,0.72685322
-5.82591296,2.36237963,0.00363037,0.64267462,1.78565865,0.67298709,0.04269804,0.73038404
-5.81990995,2.33777391,0.00343349,0.62465780,1.74237048,0.67154867,0.04146130,0.73103610
-5.81390695,2.30490250,0.00324960,0.60447557,1.69429688,0.66771323,0.04008423,0.72889050
-5.80790395,2.26430125,0.00308114,0.58231937,1.64202553,0.66158683,0.03858091,0.72408216
-5.80190095,2.21663705,0.00293021,0.55840802,1.58621184,0.65331359,0.03696726,0.71679683
-5.79589795,2.16269365,0.00279858,0.53298409,1.52756726,0.64307196,0.03526073,0.70726652
-5.78989495,2.10335372,0.00268759,0.50630955,1.46684522,0.63107001,0.03348004,0.69576349
-5.78389195,2.03957770,0.00259823,0.47866068,1.40482520,0.61753972,0.03164488,0.68259305
-5.77788894,1.97238012,0.00253105,0.45032251,1.34229530,0.60273048,0.02977546,0.66808534
-5.77188594,1.90280428,0.00248618,0.42158301,1.28003405,0.58690221,0.02789222,0.65258645
-5.76588294,1.83189630,0.00246332,0.39272709,1.21879218,0.57031818,0.02601539,0.63644920
-5.75987994,1.76067933,0.00246175,0.36403076,1.15927486,0.55323791,0.02416459,0.62002385
-5.75387694,1.69012902,0.00248034,0.33575560,1.10212538,0.53591046,0.02235849,0.60364917
-5.74787394,1.62115112,0.00251760,0.30814374,1.04791076,0.51856832,0.02061445,0.58764405
-5.74187094,1.55456196,0.00257166,0.28141354,0.99710994,0.50142220,0.01894820,0.57230003
-5.73586793,1.49107255,0.00264036,0.25575607,0.95010499,0.48465684,0.01737362,0.55787498
-5.72986493,1.43127669,0.00272129,0.23133257,0.90717574,0.46842810,0.01590245,0.54458805
-5.72386193,1.37564347,0.00281184,0.20827282,0.86849793,0.45286132,0.01454424,0.53261605
-5.71785893,1.32451429,0.00290929,0.18667458,0.83414488,0.43805103,0.01330614,0.52209132
-5.71185593,1.27810411,0.00301090,0.16660395,0.80409259,0.42406188,0.01219297,0.51310108
-5.70585293,1.23650678,0.00311393,0.14809662,0.77822784,0.41093084,0.01120717,0.50568815
-5.69984992,1.19970396,0.00321582,0.13115991,0.75635882,0.39867027,0.01034887,0.49985297
-5.69384692,1.16757692,0.00331418,0.11577549,0.73822786,0.38727181,0.00961606,0.49555673
-5.68784392,1.13992045,0.00340693,0.10190259,0.72352531,0.37671084,0.00900470,0.49272531
-5.68184092,1.11645830,0.00349232,0.08948147,0.71190417,0.36695104,0.00850893,0.49125395
-5.67583792,1.09685910,0.00356901,0.07843719,0.70299451,0.35794896,0.00812128,0.49101227
-5.66983492,1.08075206,0.00363613,0.06868328,0.69641717,0.34965828,0.00783295,0.49184946
-5.66383192,1.06774182,0.00369322,0.06012536,0.69179610,0.34203343,0.00763400,0.49359942
-5.65782891,1.05742176,0.00374032,0.05266446,0.68876886,0.33503248,0.00751364,0.49608565
-5.65182591,1.04938529,0.00377788,0.04620004,0.68699494,0.32861911,0.00746051,0.49912568
-5.64582291,1.04323498,0.00380675,0.04063256,0.68616168,0.32276352,0.00746292,0.50253504
-5.63981991,1.03858911,0.00382811,0.03586558,0.68598778,0.31744240,0.00750907,0.50613058
-5.63381691,1.03508599,0.00384338,0.03180749,0.68622442,0.31263795,0.00758732,0.50973320
-5.62781391,1.03238597,0.00385413,0.02837259,0.68665439,0.30833600,0.00768641,0.51317002
-5.62181091,1.03017156,0.00386202,0.02548195,0.68708927,0.30452353,0.00779565,0.51627595
-5.61580790,1.02814608,0.00386862,0.02306370,0.68736548,0.30118577,0.00790507,0.51889486
-5.60980490,1.02603127,0.00387539,0.02105310,0.68733931,0.29830311,0.00800562,0.52088043
-5.60380190,1.02356437,0.00388351,0.01939231,0.68688172,0.29584805,0.00808927,0.52209672
-5.59779890,1.02049524,0.00389389,0.01802998,0.68587320,0.29378254,0.00814914,0.52241869
-5.59179590,1.01658382,0.00390700,0.01692063,0.68419926,0.29205593,0.00817951,0.52173270
-5.58579290,1.01159858,0.00392294,0.01602411,0.68174689,0.29060355,0.00817593,0.51993707
-5.57978989,1.00531592,0.00394134,0.01530490,0.67840221,0.28934635,0.00813518,0.51694285
-5.57378689,0.99752100,0.00396138,0.01473150,0.67404962,0.28819146,0.00805531,0.51267467
-5.56778389,0.98800990,0.00398184,0.01427591,0.66857236,0.28703380,0.00793553,0.50707185
-5.56178089,0.97659302,0.00400118,0.01391315,0.66185454,0.28575857,0.00777619,0.50008958
-5.55577789,0.96309963,0.00401751,0.01362090,0.65378448,0.28424476,0.00757866,0.49170019
-5.54977489,0.94738329,0.00402880,0.01337922,0.64425902,0.28236916,0.00734525,0.48189447
-5.54377189,0.92932768,0.00403290,0.01317043,0.63318867,0.28001098,0.00707904,0.47068279
-5.53776888,0.90885255,0.00402767,0.01297900,0.62050299,0.27705664,0.00678378,0.45809609
-5.53176588,0.88591938,0.00401107,0.01279160,0.60615617,0.27340453,0.00646371,0.44418654
-5.52576288,0.86053623,0.00398129,0.01259711,0.59013210,0.26896951,0.00612347,0.42902776
-5.51975988,0.83276160,0.00393682,0.01238674,0.57244885,0.26368690,0.00576789,0.41271462
-5.51375688,0.80270684,0.00387650,0.01215419,0.55316218,0.25751567,0.00540190,0.39536249
-5.50775388,0.77053702,0.00379964,0.01189578,0.53236795,0.25044086,0.00503040,0.37710594
-5.50175088,0.73647018,0.00370599,0.01161057,0.51020325,0.24247494,0.00465811,0.35809696
-5.49574787,0.70077488,0.00359580,0.01130057,0.48684634,0.23365812,0.00428957,0.33850268
-5.48974487,0.66376627,0.00346979,0.01097084,0.46251533,0.22405771,0.00392897,0.31850269
-5.48374187,0.62580083,0.00332914,0.01062969,0.43746598,0.21376649,0.00358017,0.29828613
-5.47773887,0.58727019,0.00317544,0.01028882,0.41198862,0.20290025,0.00324663,0.27804856
-5.47173587,0.54859431,0.00301061,0.00996355,0.38640468,0.19159475,0.00293143,0.25798896
-5.46573287,0.51021436,0.00283688,0.00967303,0.36106299,0.18000211,0.00263727,0.23830667
-5.45972986,0.47258594,0.00265664,0.00944053,0.33633620,0.16828706,0.00236652,0.21919883
-5.45372686,0.43617274,0.00247245,0.00929375,0.31261774,0.15662304,0.00212124,0.20085805
-5.44772386,0.40144112,0.00228689,0.00926525,0.29031935,0.14518854,0.00190324,0.18347068
-5.44172086,0.36885584,0.00210249,0.00939281,0.26986942,0.13416370,0.00171421,0.16721562
-5.43571786,0.33887699,0.00192171,0.00971999,0.25171237,0.12372732,0.00155570,0.15226368
-5.42971486,0.31195831,0.00174686,0.01029657,0.23630874,0.11405448,0.00142927,0.13877755
-5.42371186,0.28854657,0.00158004,0.01117904,0.22413607,0.10531463,0.00133653,0.12691223
-5.41770885,0.26908201,0.00142312,0.01243104,0.21569021,0.09767023,0.00127923,0.11681592
-5.41170585,0.25399941,0.00127772,0.01412366,0.21148671,0.09127593,0.00125931,0.10863104
-5.40570285,0.24372938,0.00114522,0.01633559,0.21206179,0.08627801,0.00127891,0.10249546
-5.39969985,0.23869938,0.00102674,0.01915300,0.21797245,0.08281419,0.00134047,0.09854347
-5.39369685,0.23933392,0.00092313,0.02266917,0.22979498,0.08101337,0.00144664,0.09690654
-5.38769385,0.24605355,0.00083506,0.02698364,0.24812153,0.08099545,0.00160034,0.09771342
-5.38169085,0.25927191,0.00076295,0.03220094,0.27355395,0.08287075,0.00180466,0.10108967
-5.37568784,0.27939060,0.00070706,0.03842886,0.30669475,0.08673924,0.00206280,0.10715613
-5.36968484,0.30679159,0.00066748,0.04577604,0.34813450,0.09268912,0.00237798,0.11602657
-5.36368184,0.34182677,0.00064415,0.05434911,0.39843586,0.10079495,0.00275326,0.12780422
-5.35767884,0.38480497,0.00063690,0.06424914,0.45811406,0.11111525,0.00319146,0.14257727
-5.35167584,0.43597643,0.00064540,0.07556765,0.52761424,0.12368949,0.00369490,0.16041346
-5.34567284,0.49551521,0.00066926,0.08838214,0.60728606,0.13853472,0.00426527,0.18135387
-5.33966983,0.56350023,0.00070792,0.10275127,0.69735654,0.15564191,0.00490339,0.20540618
-5.33366683,0.63989558,0.00076073,0.11870994,0.79790208,0.17497219,0.00560905,0.23253772
-5.32766383,0.72453131,0.00082689,0.13626433,0.90882080,0.19645328,0.00638078,0.26266858
-5.32166083,0.81708557,0.00090548,0.15538723,1.02980692,0.21997623,0.00721569,0.29566531
-5.31565783,0.91706940,0.00099542,0.17601392,1.16032840,0.24539293,0.00810934,0.33133560
-5.30965483,1.02381531,0.00109543,0.19803880,1.29960958,0.27251442,0.00905564,0.36942422
-5.30365183,1.13647071,0.00120412,0.22131298,1.44662031,0.30111047,0.01004681,0.40961092
-5.29764882,1.25399721,0.00131988,0.24564332,1.60007282,0.33091035,0.01107336,0.45151030
-5.29164582,1.37517651,0.00144093,0.27079276,1.75842751,0.36160516,0.01212418,0.49467412
-5.28564282,1.49862333,0.00156537,0.29648243,1.91990839,0.39285162,0.01318669,0.53859621
-5.27963982,1.62280560,0.00169113,0.32239542,2.08252840,0.42427735,0.01424704,0.58271987
-5.27363682,1.74607165,0.00181605,0.34818224,2.24412463,0.45548753,0.01529037,0.62644785
-5.26763382,1.86668381,0.00193789,0.37346804,2.40240258,0.48607280,0.01630117,0.66915454
-5.26163082,1.98285750,0.00205438,0.39786121,2.55498841,0.51561802,0.01726361,0.71020015
-5.25562781,2.09280441,0.00216330,0.42096326,2.69948751,0.54371171,0.01816201,0.74894621
-5.24962481,2.19477842,0.00226251,0.44237956,2.83354722,0.56995577,0.01898122,0.78477203
-5.24362181,2.28712215,0.00234998,0.46173061,2.95492142,0.59397502,0.01970708,0.81709131
-5.23761881,2.36831260,0.00242392,0.47866330,3.06153433,0.61542626,0.02032682,0.84536827
-5.23161581,2.43700367,0.00248276,0.49286176,3.15154087,0.63400648,0.02082946,0.86913265
-5.22561281,2.49206395,0.00252523,0.50405729,3.22338093,0.64945985,0.02120615,0.88799286
-5.21960980,2.53260811,0.00255043,0.51203699,3.27582534,0.66158326,0.02145038,0.90164683
-5.21360680,2.55802050,0.00255778,0.51665054,3.30801138,0.67023021,0.02155825,0.90988995
-5.20760380,2.56797018,0.00254711,0.51781502,3.31946644,0.67531297,0.02152852,0.91261995
-5.20160080,2.56241660,0.00251864,0.51551745,3.31011880,0.67680299,0.02136263,0.90983835
-5.19559780,2.54160609,0.00247294,0.50981487,3.28029522,0.67472957,0.02106465,0.90164870
-5.18959480,2.50605926,0.00241098,0.50083212,3.23070563,0.66917701,0.02064110,0.88825154
-5.18359180,2.45655026,0.00233401,0.48875737,3.16241579,0.66028039,0.02010073,0.86993651
-5.17758879,2.39407886,0.00224358,0.47383549,3.07680937,0.64822030,0.01945421,0.84707196
-5.17158579,2.31983679,0.00214146,0.45635990,2.97554129,0.63321662,0.01871377,0.82009262
-5.16558279,2.23516990,0.00202959,0.43666290,2.86048451,0.61552194,0.01789284,0.78948580
-5.15957979,2.14153786,0.00191001,0.41510526,2.73367267,0.59541457,0.01700565,0.75577691
-5.15357679,2.04047295,0.00178482,0.39206526,2.59724104,0.57319163,0.01606678,0.71951464
-5.14757379,1.93353962,0.00165608,0.36792784,2.45336805,0.54916231,0.01509084,0.68125668
-5.14157079,1.82229630,0.00152581,0.34307419,2.30421975,0.52364160,0.01409205,0.64155614
-5.13556778,1.70826046,0.00139589,0.31787213,2.15189882,0.49694446,0.01308397,0.60094937
-5.12956478,1.59287807,0.00126804,0.29266772,1.99839992,0.46938065,0.01207919,0.55994534
-5.12356178,1.47749797,0.00114379,0.26777820,1.84557220,0.44125020,0.01108913,0.51901682
-5.11755878,1.36335164,0.00102445,0.24348653,1.69508989,0.41283957,0.01012389,0.47859354
-5.11155578,1.25153830,0.00091110,0.22003755,1.54843099,0.38441842,0.00919215,0.43905724
-5.10555278,1.14301539,0.00080459,0.19763571,1.40686418,0.35623700,0.00830110,0.40073864
-5.09954977,1.03859395,0.00070553,0.17644436,1.27144321,0.32852412,0.00745645,0.36391613
-5.09354677,0.93893847,0.00061431,0.15658649,1.14300833,0.30148558,0.00666251,0.32881602
