energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.84600612,0.11172713,0.00000000,0.35846729,0.00000000,0.27112558,0.24988017
-5.99399700,0.79373581,0.10282858,0.00000000,0.34164868,0.00000000,0.25797864,0.22655466
-5.98799400,0.74811826,0.09481422,0.00000000,0.32655343,0.00000000,0.24751136,0.20585144
-5.98199100,0.70976477,0.08779054,0.00000000,0.31347909,0.00000000,0.24002494,0.18785928
-5.97598799,0.67926493,0.08184906,0.00000000,0.30272490,0.00000000,0.23580468,0.17265468
-5.96998499,0.65717807,0.07706605,0.00000000,0.29458455,0.00000000,0.23511523,0.16030467
-5.96398199,0.64402303,0.07350242,0.00000000,0.28933832,0.00000000,0.23819534,0.15086903
-5.95797899,0.64026595,0.07120364,0.00000000,0.28724476,0.00000000,0.24525189,0.14440160
-5.95197599,0.64630631,0.07019970,0.00000000,0.28853206,0.00000000,0.25645334,0.14095066
-5.94597299,0.66246137,0.07050498,0.00000000,0.29338929,0.00000000,0.27192266,0.14055825
-5.93996998,0.68894928,0.07211806,0.00000000,0.30195771,0.00000000,0.29172982,0.14325832
-5.93396698,0.72587150,0.07502143,0.00000000,0.31432255,0.00000000,0.31588421,0.14907379
-5.92796398,0.77319500,0.07918100,0.00000000,0.33050525,0.00000000,0.34432721,0.15801259
-5.92196098,0.83073512,0.08454574,0.00000000,0.35045683,0.00000000,0.37692525,0.17006276
-5.91595798,0.89813998,0.09104716,0.00000000,0.37405239,0.00000000,0.41346396,0.18518693
-5.90995498,0.97487732,0.09859899,0.00000000,0.40108727,0.00000000,0.45364367,0.20331638
-5.90395198,1.06022495,0.10709707,0.00000000,0.43127509,0.00000000,0.49707685,0.22434499
-5.89794897,1.15326555,0.11641948,0.00000000,0.46424800,0.00000000,0.54328785,0.24812355
-5.89194597,1.25288697,0.12642713,0.00000000,0.49955925,0.00000000,0.59171544,0.27445469
-5.88594297,1.35778865,0.13696491,0.00000000,0.53668848,0.00000000,0.64171823,0.30308899
-5.87993997,1.46649478,0.14786332,0.00000000,0.57504950,0.00000000,0.69258338,0.33372252
-5.87393697,1.57737457,0.15894082,0.00000000,0.61400083,0.00000000,0.74353847,0.36599631
-5.86793397,1.68866954,0.17000682,0.00000000,0.65285864,0.00000000,0.79376644,0.39949791
-5.86193097,1.79852755,0.18086525,0.00000000,0.69091194,0.00000000,0.84242333,0.43376539
-5.85592796,1.90504291,0.19131875,0.00000000,0.72743965,0.00000000,0.88865842,0.46829374
-5.84992496,2.00630160,0.20117326,0.00000000,0.76172895,0.00000000,0.93163599,0.50254385
-5.84392196,2.10043005,0.21024300,0.00000000,0.79309449,0.00000000,0.97055815,0.53595375
-5.83791896,2.18564607,0.21835552,0.00000000,0.82089767,0.00000000,1.00468780,0.56795190
-5.83191596,2.26031001,0.22535679,0.00000000,0.84456534,0.00000000,1.03337085,0.59797224
-5.82591296,2.32297413,0.23111596,0.00000000,0.86360718,0.00000000,1.05605679,0.62547019
-5.81990995,2.37242833,0.23552975,0.00000000,0.87763115,0.00000000,1.07231674,0.64993940
-5.81390695,2.40774016,0.23852619,0.00000000,0.88635625,0.00000000,1.08185822,0.67092812
-5.80790395,2.42828755,0.24006746,0.00000000,0.88962216,0.00000000,1.08453591,0.68805483
-5.80190095,2.43378261,0.24015190,0.00000000,0.88739532,0.00000000,1.08035797,0.70102224
-5.79589795,2.42428561,0.23881485,0.00000000,0.87977119,0.00000000,1.06948758,0.70962908
-5.78989495,2.40020824,0.23612848,0.00000000,0.86697254,0.00000000,1.05223956,0.71377903
-5.78389195,2.36230602,0.23220038,0.00000000,0.84934394,0.00000000,1.02907232,0.71348644
-5.77788894,2.31166012,0.22717121,0.00000000,0.82734257,0.00000000,1.00057528,0.70887845
