energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.94712561,0.08958101,0.00000000,0.03404349,0.68823497,0.12654437,2.50211905,2.65715346,1.21798976
-5.99399700,4.99959565,0.08869498,0.00000000,0.03493687,0.69073410,0.12590287,2.54070693,2.69727069,1.24124136
-5.98799400,5.05386340,0.08796844,0.00000000,0.03578094,0.69455447,0.12507465,2.57894913,2.74310503,1.26391260
-5.98199100,5.11037533,0.08743971,0.00000000,0.03656999,0.69982809,0.12407496,2.61697597,2.79504518,1.28590280
-5.97598799,5.16951333,0.08714468,0.00000000,0.03729973,0.70665171,0.12292178,2.65491562,2.85335204,1.30711772
-5.96998499,5.23155479,0.08711510,0.00000000,0.03796713,0.71507791,0.12163514,2.69287744,2.91812507,1.32746627
-5.96398199,5.29663230,0.08737701,0.00000000,0.03857022,0.72510686,0.12023630,2.73093426,2.98927065,1.34685624
-5.95797899,5.36469545,0.08794921,0.00000000,0.03910792,0.73667947,0.11874692,2.76910436,3.06647499,1.36518933
-5.95197599,5.43547786,0.08884196,0.00000000,0.03957974,0.74967251,0.11718815,2.80733492,3.14918380,1.38235616
-5.94597299,5.50847215,0.09005591,0.00000000,0.03998561,0.76389607,0.11557985,2.84548794,3.23659060,1.39823146
-5.93996998,5.58291548,0.09158149,0.00000000,0.04032562,0.77909384,0.11393984,2.88333023,3.32763570,1.41267034
-5.93396698,5.65778773,0.09339862,0.00000000,0.04059986,0.79494630,0.11228336,2.92052847,3.42101677,1.42550591
-5.92796398,5.73182384,0.09547687,0.00000000,0.04080825,0.81107706,0.11062264,2.95665034,3.51521180,1.43654870
-5.92196098,5.80354091,0.09777616,0.00000000,0.04095044,0.82706214,0.10896671,2.99117229,3.60851428,1.44558834
-5.91595798,5.87127985,0.10024787,0.00000000,0.04102583,0.84244190,0.10732142,3.02349401,3.69907983,1.45239762
-5.90995498,5.93326045,0.10283637,0.00000000,0.04103354,0.85673526,0.10568969,3.05295946,3.78498283,1.45673879
-5.90395198,5.98764776,0.10548100,0.00000000,0.04097262,0.86945552,0.10407190,3.07888366,3.86428067,1.45837220
-5.89794897,6.03262690,0.10811822,0.00000000,0.04084213,0.88012725,0.10246652,3.10058400,3.93508314,1.45706674
-5.89194597,6.06648262,0.11068415,0.00000000,0.04064139,0.88830327,0.10087078,3.11741456,3.99562349,1.45261153
-5.88594297,6.08767967,0.11311701,0.00000000,0.04037028,0.89358113,0.09928147,3.12880165,4.04432800,1.44482841
-5.87993997,6.09493951,0.11535969,0.00000000,0.04002945,0.89561814,0.09769574,3.13427831,4.07988042,1.43358433
-5.87393697,6.08730915,0.11736207,0.00000000,0.03962063,0.89414437,0.09611183,3.13351594,4.10127798,1.41880282
-5.86793397,6.06421803,0.11908312,0.00000000,0.03914683,0.88897287,0.09452977,3.12635083,4.10787600,1.40047395
-5.86193097,6.02551944,0.12049266,0.00000000,0.03861259,0.88000678,0.09295182,3.11280382,4.09941869,1.37866187
-5.85592796,5.97151389,0.12157256,0.00000000,0.03802404,0.86724279,0.09138289,3.09309170,4.07605432,1.35350946
-5.84992496,5.90295249,0.12231751,0.00000000,0.03738901,0.85077109,0.08983058,3.06762931,4.03833379,1.32523955
-5.84392196,5.82101993,0.12273517,0.00000000,0.03671693,0.83077160,0.08830512,3.03702172,3.98719261,1.29415260
-5.83791896,5.72729732,0.12284574,0.00000000,0.03601873,0.80750685,0.08681901,3.00204682,3.92391698,1.26062066
-5.83191596,5.62370659,0.12268095,0.00000000,0.03530657,0.78131191,0.08538652,2.96362878,3.85009549,1.22507793
-5.82591296,5.51243921,0.12228256,0.00000000,0.03459357,0.75258181,0.08402296,2.92280365,3.76755907,1.18800821
-5.81990995,5.39587254,0.12170042,0.00000000,0.03389338,0.72175716,0.08274388,2.88067881,3.67831182,1.14992993
