energy_ev,total_up,Pt_p_up,Pt_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,8.02747970,3.17342250,4.16486774,2.56913006,0.01889284,0.15243304,1.71338059
-5.99399700,8.08908066,3.20488412,4.20292172,2.59308177,0.01924572,0.15072213,1.72940268
-5.98799400,8.12851645,3.22769747,4.22942392,2.61036834,0.01954270,0.14844688,1.74055732
-5.98199100,8.14415087,3.24100596,4.24347721,2.62035212,0.01978034,0.14562714,1.74648378
-5.97598799,8.13469627,3.24406196,4.24436800,2.62248529,0.01995675,0.14229051,1.74691112
-5.96998499,8.09928946,3.23626400,4.23160970,2.61634006,0.02007171,0.13847214,1.74166844
-5.96398199,8.03755447,3.21719005,4.20497932,2.60163564,0.02012689,0.13421422,1.73069166
-5.95797899,7.94964905,3.18662516,4.16454555,2.57826035,0.02012594,0.12956539,1.71402629
-5.95197599,7.83629253,3.14458207,4.11068651,2.54628799,0.02007450,0.12457991,1.69182645
-5.94597299,7.69877337,3.09131372,4.04409632,2.50598730,0.01998021,0.11931669,1.66435019
-5.93996998,7.53893587,3.02731687,3.96577982,2.45782406,0.01985259,0.11383816,1.63195149
-5.93396698,7.35914638,2.95332679,3.87703561,2.40245563,0.01970288,0.10820912,1.59506930
-5.92796398,7.16224011,2.87030281,3.77942781,2.34071798,0.01954383,0.10249545,1.55421425
-5.92196098,6.95145094,2.77940562,3.67474783,2.27360572,0.01938940,0.09676283,1.50995349
-5.91595798,6.73032684,2.68196710,3.56496759,2.20224611,0.01925448,0.09107552,1.46289440
-5.90995498,6.50263463,2.57945403,3.45218620,2.12786784,0.01915451,0.08549515,1.41366783
-5.90395198,6.27225776,2.47342726,3.33857236,2.05176636,0.01910513,0.08007959,1.36291126
-5.89794897,6.04309153,2.36549803,3.22630478,1.97526678,0.01912180,0.07488203,1.31125278
-5.89194597,5.81893979,2.25728340,3.11751325,1.89968636,0.01921945,0.06995011,1.25929617
-5.88594297,5.60341722,2.15036256,3.01422253,1.82629780,0.01941217,0.06532528,1.20760761
-5.87993997,5.39986089,2.04623577,2.91830144,1.75629509,0.01971287,0.06104232,1.15670444
-5.87393697,5.21125420,1.94628757,2.83141882,1.69076308,0.02013302,0.05712907,1.10704613
-5.86793397,5.04016577,1.85175551,2.75500807,1.63065196,0.02068251,0.05360630,1.05902773
-5.86193097,4.88870493,1.76370551,2.69024110,1.57675744,0.02136943,0.05048779,1.01297584
-5.85592796,4.75849472,1.68301436,2.63801243,1.52970726,0.02220001,0.04778055,0.96914710
-5.84992496,4.65066241,1.61035979,2.59893329,1.48995407,0.02317860,0.04548518,0.92772894
-5.84392196,4.56584679,1.54621791,2.57333543,1.45777481,0.02430767,0.04359637,0.88884260
-5.83791896,4.50422064,1.49086760,2.56128376,1.43327593,0.02558786,0.04210341,0.85254797
-5.83191596,4.46552620,1.44440126,2.56259637,1.41640399,0.02701812,0.04099084,0.81884990
-5.82591296,4.44912106,1.40674060,2.57687063,1.40696062,0.02859578,0.04023907,0.78770566
-5.81990995,4.45403131,1.37765662,2.60351346,1.40462091,0.03031674,0.03982503,0.75903306
-5.81390695,4.47900892,1.35679234,2.64177397,1.40895398,0.03217558,0.03972278,0.73271881
-5.80790395,4.52259021,1.34368686,2.69077670,1.41944469,0.03416570,0.03990410,0.70862675
-5.80190095,4.58315242,1.33779972,2.74955371,1.43551529,0.03627943,0.04033903,0.68660558
-5.79589795,4.65896588,1.33853413,2.81707403,1.45654609,0.03850814,0.04099631,0.66649568
