energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,4.15885806,0.24408558,0.00000000,0.08001280,2.41027807,1.83113598,1.29982143
-5.99399700,4.02668329,0.23370636,0.00000000,0.07798137,2.33640175,1.77688473,1.25973727
-5.98799400,3.88225352,0.22259699,0.00000000,0.07567640,2.25532169,1.71709321,1.21577365
-5.98199100,3.72883668,0.21096882,0.00000000,0.07315449,2.16889674,1.65315727,1.16893563
-5.97598799,3.56978754,0.19903660,0.00000000,0.07047581,2.07903942,1.58651989,1.12025680
-5.96998499,3.40844803,0.18701295,0.00000000,0.06770211,1.98765778,1.51862711,1.07076789
-5.96398199,3.24805143,0.17510317,0.00000000,0.06489485,1.89659933,1.45088522,1.02146661
-5.95797899,3.09163385,0.16350065,0.00000000,0.06211333,1.80759909,1.38462078,0.97328964
-5.95197599,2.94195587,0.15238287,0.00000000,0.05941299,1.72223352,1.32104498,0.92708785
-5.94597299,2.80143657,0.14190812,0.00000000,0.05684390,1.64188155,1.26122309,0.88360530
-5.93996998,2.67210178,0.13221307,0.00000000,0.05444951,1.56769409,1.20605033,0.84346294
-5.93396698,2.55554758,0.12341098,0.00000000,0.05226569,1.50057244,1.15623429,0.80714697
-5.92796398,2.45291934,0.11559073,0.00000000,0.05032005,1.44115613,1.11228450,0.77500235
-5.92196098,2.36490625,0.10881649,0.00000000,0.04863155,1.38981984,1.07450895,0.74723120
-5.91595798,2.29175031,0.10312798,0.00000000,0.04721049,1.34667917,1.04301725,0.72389592
-5.90995498,2.23326847,0.09854122,0.00000000,0.04605869,1.31160432,1.01773002,0.70492662
-5.90395198,2.18888629,0.09504977,0.00000000,0.04516998,1.28424076,0.99839353,0.69013219
-5.89794897,2.15768084,0.09262619,0.00000000,0.04453087,1.26403547,0.98459894,0.67921452
-5.89194597,2.13843074,0.09122381,0.00000000,0.04412147,1.25026760,0.97580484,0.67178495
-5.88594297,2.12967104,0.09077862,0.00000000,0.04391647,1.24208191,0.97136224,0.66738229
-5.87993997,2.12975055,0.09121132,0.00000000,0.04388618,1.23852373,0.97054085,0.66549161
-5.87393697,2.13688971,0.09242940,0.00000000,0.04399773,1.23857402,0.97255561,0.66556312
-5.86793397,2.14923692,0.09432926,0.00000000,0.04421616,1.24118332,0.97659265,0.66703044
-5.86193097,2.16492185,0.09679833,0.00000000,0.04450552,1.24530365,0.98183377,0.66932777
-5.85592796,2.18210451,0.09971733,0.00000000,0.04482987,1.24991735,0.98747893,0.67190544
-5.84992496,2.19901897,0.10296240,0.00000000,0.04515427,1.25406244,0.99276611,0.67424355
-5.84392196,2.21401134,0.10640736,0.00000000,0.04544554,1.25685401,0.99698838,0.67586357
-5.83791896,2.22557155,0.10992599,0.00000000,0.04567306,1.25750141,0.99950789,0.67633761
-5.83191596,2.23235896,0.11339431,0.00000000,0.04580928,1.25532133,0.99976681,0.67529553
-5.82591296,2.23322204,0.11669290,0.00000000,0.04583027,1.24974685,0.99729528,0.67242992
-5.81990995,2.22721229,0.11970918,0.00000000,0.04571604,1.24033280,0.99171654,0.66749901
-5.81390695,2.21359297,0.12233966,0.00000000,0.04545079,1.22675768,0.98274950,0.66032786
-5.80790395,2.19184302,0.12449206,0.00000000,0.04502311,1.20882270,0.97020897,0.65080789
-5.80190095,2.16165672,0.12608730,0.00000000,0.04442598,1.18644820,0.95400385,0.63889510
-5.79589795,2.12293947,0.12706121,0.00000000,0.04365679,1.15966800,0.93413361,0.62460708
-5.78989495,2.07580009,0.12736598,0.00000000,0.04271720,1.12862197,0.91068319,0.60801913
-5.78389195,2.02054010,0.12697123,0.00000000,0.04161302,1.09354722,0.88381671,0.58925963
-5.77788894,1.95764015,0.12586466,0.00000000,0.04035391,1.05476820,0.85377007,0.56850476
-5.77188594,1.88774402,0.12405225,0.00000000,0.03895313,1.01268596,0.82084269,0.54597277
-5.76588294,1.81164034,0.12155800,0.00000000,0.03742716,0.96776676,0.78538852,0.52191798
