energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.28554241,0.00074749,0.37768013,0.06943811,0.00236936,0.39686418,0.64434622,0.43680574
-5.99399700,1.34710240,0.00070081,0.40647061,0.07314550,0.00251186,0.40440226,0.68694993,0.46227393
-5.98799400,1.40584960,0.00065332,0.43492551,0.07652966,0.00264793,0.41055218,0.72822158,0.48701815
-5.98199100,1.46104810,0.00060556,0.46276339,0.07953122,0.00277591,0.41515859,0.76764898,0.51077228
-5.97598799,1.51203317,0.00055810,0.48972164,0.08209964,0.00289458,0.41808999,0.80475402,0.53329460
-5.96998499,1.55823773,0.00051141,0.51556563,0.08419550,0.00300329,0.41924542,0.83910865,0.55437711
-5.96398199,1.59921615,0.00046598,0.54009680,0.08579242,0.00310205,0.41856046,0.87034919,0.57385370
-5.95797899,1.63466418,0.00042222,0.56315942,0.08687891,0.00319166,0.41601242,0.89818840,0.59160685
-5.95197599,1.66443364,0.00038050,0.58464525,0.08745966,0.00327377,0.41162441,0.92242438,0.60757238
-5.94597299,1.68854110,0.00034113,0.60449618,0.08755653,0.00335100,0.40546791,0.94294598,0.62174186
-5.93996998,1.70716992,0.00030437,0.62270432,0.08720898,0.00342698,0.39766397,0.95973418,0.63416258
-5.93396698,1.72066533,0.00027044,0.63930964,0.08647405,0.00350642,0.38838263,0.97285947,0.64493500
-5.92796398,1.72952272,0.00023951,0.65439523,0.08542573,0.00359512,0.37784077,0.98247531,0.65420772
-5.92196098,1.73436979,0.00021170,0.66808044,0.08415391,0.00369995,0.36629834,0.98880794,0.66217022
-5.91595798,1.73594313,0.00018709,0.68051228,0.08276270,0.00382884,0.35405313,0.99214329,0.66904385
-5.90995498,1.73506076,0.00016577,0.69185560,0.08136839,0.00399072,0.34143420,0.99281168,0.67507133
-5.90395198,1.73259168,0.00014777,0.70228261,0.08009690,0.00419535,0.32879428,0.99117115,0.68050557
