energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.54588255,-2.20640497,0.00219108,-0.00159644,0.19012586,-0.13656137,0.38377897,-0.33515230,1.13844401,-1.04276599,0.48542213,-0.41643250,0.38186004,-0.26383717,0.82983224,-0.74702449,0.00000000,-0.00000000
-5.99399700,2.61611180,-2.26376114,0.00229089,-0.00169828,0.19875300,-0.14122481,0.39595670,-0.34352754,1.16411199,-1.06732021,0.50037732,-0.42802941,0.39940083,-0.27410288,0.84929134,-0.76519186,0.00000000,-0.00000000
-5.98799400,2.68849569,-2.32259546,0.00239084,-0.00180340,0.20776879,-0.14627351,0.40912335,-0.35255947,1.19071249,-1.09220845,0.51586917,-0.44004295,0.41750774,-0.28505152,0.86911850,-0.78357301,0.00000000,-0.00000000
-5.98199100,2.76301971,-2.38353073,0.00249051,-0.00191153,0.21713966,-0.15177695,0.42329149,-0.36240384,1.21838705,-1.11775947,0.53185870,-0.45258557,0.43609173,-0.29677566,0.88928432,-0.80231500,0.00000000,-0.00000000
-5.97598799,2.83951730,-2.44708600,0.00258948,-0.00202233,0.22681511,-0.15779451,0.43843197,-0.37319174,1.24721747,-1.14426553,0.54827062,-0.46574496,0.45503570,-0.30934851,0.90971093,-0.82152655,0.00000000,-0.00000000
-5.96998499,2.91767343,-2.51364918,0.00268731,-0.00213542,0.23672878,-0.16437239,0.45447342,-0.38502299,1.27722342,-1.17196881,0.56499491,-0.47957864,0.47419702,-0.32281945,0.93027409,-0.84127084,0.00000000,-0.00000000
-5.96398199,2.99703513,-2.58345558,0.00278364,-0.00225038,0.24680018,-0.17154115,0.47130357,-0.39796080,1.30836266,-1.20105025,0.58189019,-0.49410990,0.49341128,-0.33721035,0.95080730,-0.86156056,0.00000000,-0.00000000
-5.95797899,3.07702800,-2.65657343,0.00287812,-0.00236673,0.25693738,-0.17931370,0.48877204,-0.41202770,1.34053370,-1.23162120,0.59878860,-0.50932527,0.51249734,-0.35251305,0.97110768,-0.88235531,0.00000000,-0.00000000
-5.95197599,3.15697793,-2.73289671,0.00297045,-0.00248399,0.26704026,-0.18768409,0.50669480,-0.42720312,1.37358057,-1.26371814,0.61550201,-0.52517361,0.53126323,-0.36868793,0.99094335,-0.90356152,0.00000000,-0.00000000
-5.94597299,3.23613642,-2.81214561,0.00306043,-0.00260166,0.27700427,-0.19662698,0.52485978,-0.44342257,1.40729916,-1.29730063,0.63182925,-0.54156700,0.54951280,-0.38566375,1.01006164,-0.92503474,0.00000000,-0.00000000
-5.93996998,3.31370827,-2.89387416,0.00314792,-0.00271924,0.28672461,-0.20609801,0.54303347,-0.46057857,1.44144482,-1.33225239,0.64756393,-0.55838318,0.56705285,-0.40333875,1.02819796,-0.94658417,0.00000000,-0.00000000
-5.93396698,3.38888011,-2.97748455,0.00323285,-0.00283623,0.29610045,-0.21603488,0.56096831,-0.47852313,1.47574065,-1.36838526,0.66250251,-0.57546958,0.58370016,-0.42158310,1.04508462,-0.96797899,0.00000000,-0.00000000
-5.92796398,3.46084833,-3.06224713,0.00331527,-0.00295219,0.30503916,-0.22635921,0.57841036,-0.49707174,1.50988595,-1.40544574,0.67645218,-0.59264854,0.59928841,-0.44024226,1.06045937,-0.98895626,0.00000000,-0.00000000
-5.92196098,3.52884513,-3.14732503,0.00339524,-0.00306667,0.31346022,-0.23697909,0.59510706,-0.51600875,1.54356462,-1.44312366,0.68923826,-0.60972372,0.61367437,-0.45914158,1.07407323,-1.00922983,0.00000000,-0.00000000
-5.91595798,3.59216160,-3.23180201,0.00347292,-0.00317928,0.32129863,-0.24779215,0.61081476,-0.53509369,1.57645299,-1.48106244,0.70071066,-0.62648707,0.62674330,-0.47809146,1.08569740,-1.02849990,0.00000000,-0.00000000
-5.90995498,3.65016705,-3.31471227,0.00354847,-0.00328965,0.32850771,-0.25868903,0.62530562,-0.55406847,1.60822694,-1.51887047,0.71074920,-0.64272629,0.63841312,-0.49689326,1.09512896,-1.04646262,0.00000000,-0.00000000
-5.90395198,3.70232383,-3.39507084,0.00362207,-0.00339748,0.33506098,-0.26955717,0.63837384,-0.57266508,1.63856814,-1.55613299,0.71926755,-0.65823232,0.64863730,-0.51534541,1.10219538,-1.06281957,0.00000000,-0.00000000
-5.89794897,3.74819769,-3.47190335,0.00369388,-0.00350246,0.34095324,-0.28028465,0.64984088,-0.59061342,1.66716940,-1.59242408,0.72621560,-0.67280647,0.65740622,-0.53324961,1.10675777,-1.07728649,0.00000000,-0.00000000
-5.89194597,3.78746331,-3.54427393,0.00376400,-0.00360431,0.34620062,-0.29076390,0.65955951,-0.60764910,1.69373904,-1.62731829,0.73158030,-0.68626704,0.66474707,-0.55041693,1.10871285,-1.08960116,0.00000000,-0.00000000
-5.88594297,3.81990559,-3.61131056,0.00383246,-0.00370276,0.35083966,-0.30089523,0.66741682,-0.62352080,1.71800458,-1.66040148,0.73538491,-0.69845505,0.67072223,-0.56667332,1.10799390,-1.09953012,0.00000000,-0.00000000
-5.87993997,3.84541684,-3.67222690,0.00389918,-0.00379754,0.35492542,-0.31058991,0.67333586,-0.63799705,1.73971568,-1.69128073,0.73768671,-0.70923882,0.67542625,-0.58186471,1.10457069,-1.10687418,0.00000000,-0.00000000
-5.87393697,3.86399073,-3.72634029,0.00396395,-0.00388835,0.35852883,-0.31977274,0.67727617,-0.65087215,1.75864659,-1.71959300,0.73857350,-0.71851751,0.67898158,-0.59586108,1.09844862,-1.11147261,0.00000000,-0.00000000
-5.86793397,3.87571350,-3.77308561,0.00402641,-0.00397485,0.36173327,-0.32838398,0.67923316,-0.66197107,1.77459830,-1.74501255,0.73815887,-0.72622314,0.68153337,-0.60855978,1.08966722,-1.11320608,0.00000000,-0.00000000
-5.86193097,3.88075334,-3.81202484,0.00408609,-0.00405664,0.36463066,-0.33638057,0.67923639,-0.67115329,1.78740047,-1.76725690,0.73657673,-0.73232140,0.68324348,-0.61988772,1.07829808,-1.11199830,0.00000000,-0.00000000
-5.85592796,3.87934850,-3.84285254,0.00414233,-0.00413328,0.36731718,-0.34373664,0.67734700,-0.67831539,1.79691323,-1.78609157,0.73397511,-0.73681113,0.68428398,-0.62980247,1.06444256,-1.10781662,0.00000000,-0.00000000
-5.84992496,3.87179498,-3.86539732,0.00419437,-0.00420427,0.36988888,-0.35044327,0.67365428,-0.68339245,1.80302897,-1.80133343,0.73050978,-0.73972253,0.68483066,-0.63829237,1.04822903,-1.10067161,0.00000000,-0.00000000
-5.84392196,3.85843415,-3.87961980,0.00424131,-0.00426902,0.37243743,-0.35650754,0.66827163,-0.68635823,1.80567404,-1.81285284,0.72633774,-0.74111431,0.68505654,-0.64537551,1.02981004,-1.09061575,0.00000000,-0.00000000
-5.83791896,3.83964104,-3.88560728,0.00428218,-0.00432689,0.37504605,-0.36195100,0.66133207,-0.68722423,1.80481039,-1.82057469,0.72161100,-0.74106993,0.68512589,-0.65109780,1.00935917,-1.07774138,0.00000000,-0.00000000
-5.83191596,3.81581336,-3.88356561,0.00431595,-0.00437720,0.37778602,-0.36680754,0.65298339,-0.68603763,1.80043697,-1.82447828,0.71647080,-0.73969307,0.68518888,-0.65553023,0.98706784,-1.06217799,0.00000000,-0.00000000
-5.82591296,3.78736166,-3.87380870,0.00434159,-0.00441923,0.38071370,-0.37112090,0.64338315,-0.68287831,1.79259078,-1.82459623,0.71104246,-0.73710262,0.68537709,-0.65876534,0.96314183,-1.04408893,0.00000000,-0.00000000
-5.81990995,3.75470064,-3.85674608,0.00435808,-0.00445226,0.38386836,-0.37494190,0.63269371,-0.67785501,1.78134748,-1.82101246,0.70543119,-0.73342730,0.68579992,-0.66091323,0.93779770,-1.02366765,0.00000000,-0.00000000
-5.81390695,3.71824159,-3.83286890,0.00436448,-0.00447557,0.38727073,-0.37832546,0.62107740,-0.67110089,1.76682128,-1.81385917,0.69971867,-0.72880029,0.68654211,-0.66209720,0.91125898,-1.00113347,0.00000000,-0.00000000
-5.80790395,3.67838595,-3.80273480,0.00435998,-0.00448848,0.39092235,-0.38132774,0.60869201,-0.66276848,1.74916413,-1.80331305,0.69396081,-0.72335396,0.68766224,-0.66244913,0.88375230,-0.97672695,0.00000000,-0.00000000
-5.80190095,3.63551987,-3.76695199,0.00434393,-0.00449042,0.39480576,-0.38400334,0.59568668,-0.65302439,1.72856395,-1.78959056,0.68818659,-0.71721487,0.68919222,-0.66210500,0.85550339,-0.95070493,0.00000000,-0.00000000
-5.79589795,3.59000962,-3.72616302,0.00431583,-0.00448087,0.39888534,-0.38640276,0.58219844,-0.64204387,1.70524200,-1.77294252,0.68239787,-0.71049938,0.69113769,-0.66120044,0.82673308,-0.92333526,0.00000000,-0.00000000
-5.78989495,3.54219781,-3.68102847,0.00427544,-0.00445950,0.40310886,-0.38857036,0.56834934,-0.63000531,1.67944929,-1.75364791,0.67657042,-0.70330985,0.69347909,-0.65986667,0.79765342,-0.89489134,0.00000000,-0.00000000
-5.78389195,3.49240031,-3.63221112,0.00422272,-0.00442609,0.40740945,-0.39054264,0.55424437,-0.61708509,1.65146212,-1.73200718,0.67065584,-0.69573168,0.69617347,-0.65822693,0.76846403,-0.86564655,0.00000000,-0.00000000
-5.77788894,3.44090390,-3.58036082,0.00415788,-0.00438061,0.41170810,-0.39234715,0.53997024,-0.60345274,1.62157706,-1.70833503,0.66458447,-0.68783123,0.69915660,-0.65639339,0.73934880,-0.83586872,0.00000000,-0.00000000
-5.77188594,3.38796471,-3.52610060,0.00408136,-0.00432322,0.41591628,-0.39400189,0.52559497,-0.58926670,1.59010532,-1.68295304,0.65826904,-0.67965462,0.70234551,-0.65446478,0.71047318,-0.80581475,0.00000000,-0.00000000
-5.76588294,3.33380752,-3.47001434,0.00399381,-0.00425427,0.41993885,-0.39551533,0.51116838,-0.57467072,1.55736705,-1.65618220,0.65160905,-0.67122768,0.70564113,-0.65252466,0.68198203,-0.77572563,0.00000000,-0.00000000
-5.75987994,3.27862624,-3.41263636,0.00389609,-0.00417429,0.42367692,-0.39688692,0.49672337,-0.55979113,1.52368571,-1.62833575,0.64449563,-0.66255663,0.70893108,-0.65064041,0.65399833,-0.74582192,0.00000000,-0.00000000
