energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.02358124,0.04059021,0.00000000,0.04480103,0.47045974,0.36816967,0.19493202
-5.99399700,1.03232784,0.04094012,0.00000000,0.04588891,0.46859150,0.37625272,0.19622152
-5.98799400,1.04187875,0.04127539,0.00000000,0.04700979,0.46730229,0.38434249,0.19760533
-5.98199100,1.05240968,0.04161295,0.00000000,0.04815866,0.46670827,0.39245551,0.19910341
-5.97598799,1.06403527,0.04196973,0.00000000,0.04932706,0.46688957,0.40059319,0.20072289
-5.96998499,1.07680505,0.04236209,0.00000000,0.05050306,0.46788958,0.40873974,0.20245778
-5.96398199,1.09070197,0.04280533,0.00000000,0.05167148,0.46971555,0.41686083,0.20428914
-5.95797899,1.10564366,0.04331320,0.00000000,0.05281419,0.47234081,0.42490310,0.20618597
-5.95197599,1.12148621,0.04389745,0.00000000,0.05391063,0.47570804,0.43279438,0.20810654
-5.94597299,1.13803043,0.04456747,0.00000000,0.05493844,0.47973369,0.44044489,0.21000025
-5.93996998,1.15503027,0.04532991,0.00000000,0.05587418,0.48431326,0.44774934,0.21180982
-5.93396698,1.17220294,0.04618850,0.00000000,0.05669414,0.48932711,0.45458974,0.21347391
-5.92796398,1.18924047,0.04714389,0.00000000,0.05737525,0.49464652,0.46083905,0.21492973
-5.92196098,1.20582196,0.04819362,0.00000000,0.05789590,0.50013984,0.46636541,0.21611588
-5.91595798,1.22162613,0.04933218,0.00000000,0.05823687,0.50567822,0.47103679,0.21697498
-5.90995498,1.23634346,0.05055114,0.00000000,0.05838205,0.51114078,0.47472583,0.21745615
-5.90395198,1.24968742,0.05183941,0.00000000,0.05831919,0.51641903,0.47731481,0.21751718
-5.89794897,1.26140424,0.05318354,0.00000000,0.05804037,0.52142008,0.47870030,0.21712623
-5.89194597,1.27128069,0.05456808,0.00000000,0.05754246,0.52606882,0.47879741,0.21626307
-5.88594297,1.27914969,0.05597596,0.00000000,0.05682729,0.53030871,0.47754345,0.21491970
-5.87993997,1.28489330,0.05738894,0.00000000,0.05590164,0.53410139,0.47490071,0.21310047
-5.87393697,1.28844323,0.05878798,0.00000000,0.05477710,0.53742501,0.47085834,0.21082158
-5.86793397,1.28977877,0.06015367,0.00000000,0.05346970,0.54027153,0.46543318,0.20811001
-5.86193097,1.28892251,0.06146655,0.00000000,0.05199938,0.54264321,0.45866955,0.20500209
-5.85592796,1.28593414,0.06270747,0.00000000,0.05038933,0.54454842,0.45063800,0.20154161
-5.84992496,1.28090273,0.06385782,0.00000000,0.04866526,0.54599734,0.44143311,0.19777772
-5.84392196,1.27393830,0.06489982,0.00000000,0.04685459,0.54699753,0.43117045,0.19376270
-5.83791896,1.26516297,0.06581665,0.00000000,0.04498558,0.54755008,0.41998291,0.18954970
-5.83191596,1.25470256,0.06659267,0.00000000,0.04308652,0.54764627,0.40801653,0.18519065
-5.82591296,1.24267904,0.06721349,0.00000000,0.04118500,0.54726531,0.39542612,0.18073438
