energy_ev,total_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.75795209,0.84077799,0.22871172,0.00022646,0.56889109,0.02681381,0.00017474
-5.99399700,0.79758669,0.89099472,0.23550294,0.00026147,0.58978013,0.03076288,0.00019032
-5.98799400,0.84608559,0.95046537,0.24536446,0.00029975,0.61703924,0.03512421,0.00020831
-5.98199100,0.90339394,1.01911633,0.25824191,0.00034120,0.65065294,0.03989094,0.00022865
-5.97598799,0.96930280,1.09668360,0.27404466,0.00038564,0.69050298,0.04504769,0.00025123
-5.96998499,1.04343344,1.18269512,0.29264202,0.00043279,0.73635721,0.05056971,0.00027589
-5.96398199,1.12522629,1.27645917,0.31386039,0.00048228,0.78786159,0.05642233,0.00030242
-5.95797899,1.21393567,1.37706010,0.33748162,0.00053365,0.84453589,0.06256078,0.00033054
-5.95197599,1.30863077,1.48336206,0.36324272,0.00058634,0.90577371,0.06893027,0.00035994
-5.94597299,1.40820348,1.59402131,0.39083697,0.00063972,0.97084690,0.07546649,0.00039026
-5.93996998,1.51138302,1.70750715,0.41991677,0.00069307,1.03891465,0.08209656,0.00042108
-5.93396698,1.61675733,1.82213115,0.45009787,0.00074564,1.10903697,0.08874024,0.00045196
-5.92796398,1.72280054,1.93608389,0.48096515,0.00079662,1.18019228,0.09531160,0.00048243
-5.92196098,1.82790572,2.04747803,0.51207966,0.00084517,1.25129853,0.10172088,0.00051200
-5.91595798,1.93042178,2.15439625,0.54298672,0.00089048,1.32123715,0.10787671,0.00054020
-5.90995498,2.02869306,2.25494213,0.57322484,0.00093176,1.38887885,0.11368834,0.00056653
-5.90395198,2.12110021,2.34729191,0.60233506,0.00096825,1.45311036,0.11906808,0.00059054
-5.89794897,2.20610057,2.42974521,0.62987043,0.00099930,1.51286110,0.12393354,0.00061182
-5.89194597,2.28226668,2.50077226,0.65540525,0.00102431,1.56712865,0.12820992,0.00062998
-5.88594297,2.34832124,2.55905599,0.67854381,0.00104284,1.61500219,0.13183194,0.00064472
-5.87993997,2.40316735,2.60352712,0.69892828,0.00105455,1.65568304,0.13474552,0.00065577
-5.87393697,2.44591286,2.63339080,0.71624550,0.00105925,1.68850158,0.13690916,0.00066296
-5.86793397,2.47588818,2.64814408,0.73023258,0.00105688,1.71293015,0.13829478,0.00066618
-5.86193097,2.49265714,2.64758351,0.74068113,0.00104754,1.72859154,0.13888828,0.00066541
-5.85592796,2.49602065,2.63180296,0.74744008,0.00103146,1.73526315,0.13868955,0.00066070
-5.84992496,2.48601370,2.60118211,0.75041713,0.00100902,1.73287682,0.13771209,0.00065216
-5.84392196,2.46289591,2.55636653,0.74957884,0.00098069,1.72151467,0.13598231,0.00064000
-5.83791896,2.42713666,2.49824048,0.74494954,0.00094707,1.70140144,0.13353842,0.00062445
-5.83191596,2.37939561,2.42789402,0.73660908,0.00090882,1.67289378,0.13042905,0.00060583
-5.82591296,2.32049965,2.34658607,0.72468972,0.00086669,1.63646721,0.12671179,0.00058447
-5.81990995,2.25141749,2.25570511,0.70937215,0.00082144,1.59270119,0.12245145,0.00056075
-5.81390695,2.17323279,2.15672924,0.69088092,0.00077388,1.54226321,0.11771837,0.00053506
-5.80790395,2.08711698,2.05118714,0.66947934,0.00072479,1.48589211,0.11258674,0.00050780
-5.80190095,1.99430254,1.94062136,0.64546400,0.00067497,1.42438139,0.10713295,0.00047939
-5.79589795,1.89605745,1.82655492,0.61915908,0.00062515,1.35856289,0.10143411,0.00045021
-5.78989495,1.79366158,1.71046231,0.59091039,0.00057605,1.28929103,0.09556675,0.00042065
-5.78389195,1.68838513,1.59374517,0.56107950,0.00052833,1.21742815,0.08960562,0.00039107
-5.77788894,1.58146977,1.47771318,0.53003773,0.00048259,1.14383085,0.08362283,0.00036180
-5.77188594,1.47411225,1.36356998,0.49816038,0.00043937,1.06933776,0.07768707,0.00033315
-5.76588294,1.36745092,1.25240415,0.46582105,0.00039917,0.99475862,0.07186319,0.00030539
-5.75987994,1.26255482,1.14518461,0.43338638,0.00036246,0.92086482,0.06621178,0.00027876
-5.75387694,1.16041540,1.04276025,0.40121106,0.00032962,0.84838152,0.06078912,0.00025348
-5.74787394,1.06194073,0.94586285,0.36963337,0.00030106,0.77798120,0.05564717,0.00022973
-5.74187094,0.96795196,0.85511297,0.33897133,0.00027713,0.71027876,0.05083373,0.00020767
-5.73586793,0.87918183,0.77102785,0.30951936,0.00025819,0.64582811,0.04639266,0.00018742
-5.72986493,0.79627506,0.69403088,0.28154579,0.00024459,0.58512020,0.04236423,0.00016909
-5.72386193,0.71979018,0.62446178,0.25529092,0.00023670,0.52858237,0.03878544,0.00015278
-5.71785893,0.65020273,0.56258705,0.23096596,0.00023491,0.47657893,0.03569040,0.00013856
-5.71185593,0.58790925,0.50861002,0.20875248,0.00023963,0.42941282,0.03311056,0.00012649
-5.70585293,0.53323188,0.46268004,0.18880255,0.00025128,0.38732806,0.03107502,0.00011663
-5.69984992,0.48642302,0.42490029,0.17123939,0.00027030,0.35051288,0.02961064,0.00010901
-5.69384692,0.44766984,0.39533388,0.15615835,0.00029716,0.31910309,0.02874198,0.00010369
-5.68784392,0.41709812,0.37400796,0.14362813,0.00033229,0.29318556,0.02849121,0.00010068
-5.68184092,0.39477512,0.36091558,0.13369209,0.00037615,0.27280149,0.02887772,0.00010002
-5.67583792,0.38071126,0.35601521,0.12636950,0.00042912,0.25794916,0.02991759,0.00010171
-5.66983492,0.37486029,0.35922792,0.12165659,0.00049154,0.24858596,0.03162288,0.00010578
-5.66383192,0.37711798,0.37043243,0.11952728,0.00056365,0.24462966,0.03400076,0.00011221
-5.65782891,0.38731929,0.38945820,0.11993358,0.00064557,0.24595864,0.03705246,0.00012097
-5.65182591,0.40523421,0.41607706,0.12280559,0.00073728,0.25241124,0.04077212,0.00013205
-5.64582291,0.43056264,0.44999381,0.12805115,0.00083858,0.26378436,0.04514565,0.00014536
-5.63981991,0.46292859,0.49083658,0.13555518,0.00094906,0.27983130,0.05014948,0.00016083
-5.63381691,0.50187451,0.53814755,0.14517887,0.00106808,0.30025933,0.05574956,0.00017834
-5.62781391,0.54685610,0.59137490,0.15675884,0.00119478,0.32472727,0.06190039,0.00019773
-5.62181091,0.59723856,0.64986677,0.17010645,0.00132802,0.35284340,0.06854439,0.00021881
-5.61580790,0.65229476,0.71286802,0.18500754,0.00146644,0.38416422,0.07561152,0.00024136
-5.60980490,0.71120614,0.77952049,0.20122259,0.00160840,0.41819448,0.08301941,0.00026512
-5.60380190,0.77306677,0.84886730,0.21848776,0.00175206,0.45438871,0.09067383,0.00028978
-5.59779890,0.83689111,0.91986154,0.23651671,0.00189539,0.49215474,0.09846971,0.00031500
-5.59179590,0.90162556,0.99137964,0.25500346,0.00203618,0.53085938,0.10629268,0.00034043
-5.58579290,0.96616404,1.06223925,0.27362627,0.00217216,0.56983623,0.11402106,0.00036566
-5.57978989,1.02936709,1.13122125,0.29205258,0.00230097,0.60839585,0.12152833,0.00039028
-5.57378689,1.09008436,1.19709544,0.30994486,0.00242029,0.64583776,0.12868598,0.00041390
-5.56778389,1.14717962,1.25864895,0.32696729,0.00252790,0.68146442,0.13536668,0.00043607
-5.56178089,1.19955752,1.31471641,0.34279307,0.00262170,0.71459627,0.14144759,0.00045641
-5.55577789,1.24619098,1.36421059,0.35711201,0.00269984,0.74458766,0.14681373,0.00047454
-5.54977489,1.28614828,1.40615240,0.36963819,0.00276073,0.77084290,0.15136133,0.00049009
-5.54377189,1.31861840,1.43969866,0.38011740,0.00280311,0.79283168,0.15500085,0.00050278
-5.53776888,1.34293376,1.46416669,0.38833392,0.00282612,0.81010334,0.15765970,0.00051235
-5.53176588,1.35858908,1.47905429,0.39411636,0.00282928,0.82229924,0.15928448,0.00051861
-5.52576288,1.36525558,1.48405440,0.39734242,0.00281253,0.82916266,0.15984254,0.00052143
-5.51975988,1.36278977,1.47906347,0.39794211,0.00277624,0.83054569,0.15932303,0.00052075
-5.51375688,1.35123641,1.46418343,0.39589950,0.00272118,0.82641295,0.15773704,0.00051659
-5.50775388,1.33082548,1.43971685,0.39125266,0.00264851,0.81684167,0.15511722,0.00050905
-5.50175088,1.30196321,1.40615569,0.38409202,0.00255972,0.80201831,0.15151653,0.00049825
-5.49574787,1.26521764,1.36416407,0.37455703,0.00245659,0.78223173,0.14700643,0.00048443
-5.48974487,1.22129926,1.31455589,0.36283138,0.00234112,0.75786327,0.14167451,0.00046785
-5.48374187,1.17103767,1.25826823,0.34913687,0.00221549,0.72937411,0.13562162,0.00044882
-5.47773887,1.11535525,1.19633178,0.33372634,0.00208197,0.69729047,0.12895873,0.00042770
-5.47173587,1.05523890,1.12983951,0.31687579,0.00194286,0.66218733,0.12180354,0.00040485
-5.46573287,0.99171115,1.05991490,0.29887617,0.00180042,0.62467127,0.11427709,0.00038067
-5.45972986,0.92580160,0.98768097,0.28002508,0.00165681,0.58536315,0.10650042,0.00035555
-5.45372686,0.85851992,0.91423122,0.26061875,0.00151406,0.54488130,0.09859146,0.00032988
-5.44772386,0.79083128,0.84060358,0.24094448,0.00137401,0.50382582,0.09066222,0.00030403
-5.44172086,0.72363497,0.76775802,0.22127399,0.00123827,0.46276455,0.08281642,0.00027834
-5.43571786,0.65774675,0.69655847,0.20185764,0.00110821,0.42222100,0.07514750,0.00025312
-5.42971486,0.59388545,0.62775937,0.18291987,0.00098496,0.38266476,0.06773725,0.00022866
-5.42371186,0.53266372,0.56199694,0.16465584,0.00086937,0.34450428,0.06065485,0.00020519
-5.41770885,0.47458311,0.49978511,0.14722923,0.00076205,0.30808235,0.05395649,0.00018291
-5.41170585,0.42003319,0.44151566,0.13077132,0.00066339,0.27367403,0.04768541,0.00016196
-5.40570285,0.36929420,0.38746230,0.11538118,0.00057353,0.24148684,0.04187241,0.00014245
-5.39969985,0.32254294,0.33778801,0.10112680,0.00049244,0.21166317,0.03653669,0.00012446
-5.39369685,0.27986123,0.29255497,0.08804714,0.00041993,0.18428431,0.03168703,0.00010802
-5.38769385,0.24124627,0.25173647,0.07615480,0.00035566,0.15937600,0.02732315,0.00009313
-5.38169085,0.20662238,0.21523011,0.06543918,0.00029918,0.13691491,0.02343729,0.00007975
-5.37568784,0.17585352,0.18287159,0.05587003,0.00024997,0.11683587,0.02001579,0.00006784
-5.36968484,0.14875593,0.15444854,0.04740107,0.00020747,0.09903937,0.01704079,0.00005732
-5.36368184,0.12511058,0.12971399,0.03997367,0.00017107,0.08339903,0.01449183,0.00004811
-5.35767884,0.10467483,0.10839888,0.03352035,0.00014016,0.06976883,0.01234739,0.00004011
-5.35167584,0.08719323,0.09022345,0.02796805,0.00011413,0.05798985,0.01058636,0.00003322
-5.34567284,0.07240697,0.07490727,0.02324115,0.00009241,0.04789629,0.00918928,0.00002733
-5.33966983,0.06006208,0.06217769,0.01926399,0.00007445,0.03932077,0.00813948,0.00002233
-5.33366683,0.04991614,0.05177678,0.01596313,0.00005975,0.03209876,0.00742401,0.00001812
-5.32766383,0.04174353,0.04346663,0.01326901,0.00004785,0.02607219,0.00703433,0.00001461
-5.32166083,0.03533933,0.03703328,0.01111739,0.00003834,0.02109213,0.00696687,0.00001170
-5.31565783,0.03052190,0.03228908,0.00945022,0.00003085,0.01702084,0.00722328,0.00000930
-5.30965483,0.02713416,0.02907384,0.00821623,0.00002508,0.01373296,0.00781049,0.00000735
-5.30365183,0.02504392,0.02725486,0.00737120,0.00002076,0.01111617,0.00874058,0.00000577
-5.29764882,0.02414308,0.02672585,0.00687781,0.00001766,0.00907126,0.01003029,0.00000449
-5.29164582,0.02434614,0.02740501,0.00670539,0.00001559,0.00751183,0.01170039,0.00000348
-5.28564282,0.02558787,0.02923229,0.00682933,0.00001441,0.00636359,0.01377480,0.00000267
-5.27963982,0.02782046,0.03216614,0.00723037,0.00001399,0.00556346,0.01627936,0.00000204
-5.27363682,0.03101017,0.03617956,0.00789370,0.00001424,0.00505844,0.01924051,0.00000155
-5.26763382,0.03513361,0.04125593,0.00880803,0.00001506,0.00480444,0.02268368,0.00000117
-5.26163082,0.04017376,0.04738441,0.00996448,0.00001641,0.00476500,0.02663152,0.00000087
-5.25562781,0.04611587,0.05455527,0.01135552,0.00001824,0.00491005,0.03110204,0.00000065
-5.24962481,0.05294335,0.06275521,0.01297386,0.00002050,0.00521470,0.03610659,0.00000048
-5.24362181,0.06063371,0.07196273,0.01481139,0.00002316,0.00565812,0.04164796,0.00000035
-5.23761881,0.06915485,0.08214384,0.01685817,0.00002618,0.00622243,0.04771848,0.00000026
-5.23161581,0.07846159,0.09324819,0.01910151,0.00002955,0.00689185,0.05429829,0.00000018
-5.22561281,0.08849286,0.10520578,0.02152523,0.00003321,0.00765182,0.06135396,0.00000013
-5.21960980,0.09916942,0.11792441,0.02410901,0.00003714,0.00848835,0.06883738,0.00000009
-5.21360680,0.11039242,0.13128811,0.02682803,0.00004129,0.00938749,0.07668520,0.00000007
