energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.89963539,0.03472313,0.15569633,0.81156181,0.22859279,0.73916968,0.00000000,0.53395908,0.24521826
-5.99399700,2.06437222,0.03774547,0.16699137,0.89182570,0.25012455,0.80853308,0.00000000,0.57748849,0.26402514
-5.98799400,2.23622985,0.04095142,0.17838276,0.97719988,0.27290107,0.88190893,0.00000000,0.62231999,0.28341405
-5.98199100,2.41373549,0.04430680,0.18975162,1.06709547,0.29671937,0.95875411,0.00000000,0.66807344,0.30318261
-5.97598799,2.59533256,0.04777506,0.20098419,1.16084468,0.32135648,1.03847136,0.00000000,0.71436985,0.32312577
-5.96998499,2.77940336,0.05131797,0.21197486,1.25770572,0.34657218,1.12041510,0.00000000,0.76084021,0.34303937
-5.96398199,2.96429258,0.05489636,0.22262901,1.35686938,0.37211225,1.20389824,0.00000000,0.80713364,0.36272360
-5.95797899,3.14833125,0.05847087,0.23286528,1.45746712,0.39771235,1.28819991,0.00000000,0.85292476,0.38198623
-5.95197599,3.32986048,0.06200279,0.24261749,1.55858082,0.42310220,1.37257392,0.00000000,0.89791977,0.40064538
-5.94597299,3.50725447,0.06545481,0.25183587,1.65925391,0.44801028,1.45625805,0.00000000,0.94186103,0.41853198
-5.93996998,3.67894227,0.06879185,0.26048757,1.75850396,0.47216863,1.53848385,0.00000000,0.98452995,0.43549159
-5.93396698,3.84342801,0.07198171,0.26855661,1.85533638,0.49531794,1.61848698,0.00000000,1.02574814,0.45138586
-5.92796398,3.99930923,0.07499570,0.27604297,1.94875911,0.51721255,1.69551783,0.00000000,1.06537664,0.46609332
-5.92196098,4.14529316,0.07780921,0.28296115,2.03779807,0.53762538,1.76885245,0.00000000,1.10331349,0.47950978
-5.91595798,4.28021101,0.08040198,0.28933801,2.12151303,0.55635258,1.83780345,0.00000000,1.13948974,0.49154821
-5.90995498,4.40303014,0.08275846,0.29521027,2.19901369,0.57321782,1.90173089,0.00000000,1.17386417,0.50213835
-5.90395198,4.51286437,0.08486782,0.30062155,2.26947551,0.58807607,1.96005287,0.00000000,1.20641711,0.51122598
-5.89794897,4.60898236,0.08672393,0.30561928,2.33215507,0.60081670,2.01225562,0.00000000,1.23714372,0.51877202
-5.89194597,4.69081444,0.08832513,0.31025152,2.38640450,0.61136596,2.05790304,0.00000000,1.26604706,0.52475160
-5.88594297,4.75795782,0.08967396,0.31456392,2.43168465,0.61968854,2.09664519,0.00000000,1.29313162,0.52915310
-5.87993997,4.81018025,0.09077671,0.31859702,2.46757660,0.62578839,2.12822575,0.00000000,1.31839735,0.53197735
-5.87393697,4.84742226,0.09164290,0.32238383,2.49379111,0.62970845,2.15248793,0.00000000,1.34183489,0.53323691
-5.86793397,4.86979781,0.09228473,0.32594810,2.51017579,0.63152963,2.16937888,0.00000000,1.36342198,0.53295562
-5.86193097,4.87759317,0.09271653,0.32930312,2.51671961,0.63136871,2.17895202,0.00000000,1.38312146,0.53116833
-5.85592796,4.87126410,0.09295412,0.33245124,2.51355452,0.62937544,2.18136738,0.00000000,1.40088094,0.52792080
-5.84992496,4.85143089,0.09301431,0.33538402,2.50095411,0.62572871,2.17688963,0.00000000,1.41663399,0.52326981
-5.84392196,4.81887122,0.09291438,0.33808322,2.47932921,0.62063205,2.16588377,0.00000000,1.43030311,0.51728334
-5.83791896,4.77451071,0.09267164,0.34052222,2.44922048,0.61430848,2.14880850,0.00000000,1.44180397,0.51004082
-5.83191596,4.71941104,0.09230309,0.34266818,2.41128814,0.60699480,2.12620736,0.00000000,1.45105095,0.50163336
-5.82591296,4.65475569,0.09182516,0.34448455,2.36629909,0.59893569,2.09869768,0.00000000,1.45796365,0.49216386
