energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
0.41120560,2.86540545,0.33922515,0.19679614,0.01717319,1.15712852,0.98503056,0.14242810,0.03454713,1.12827524
0.41720860,2.82285021,0.33777452,0.19575308,0.01834271,1.11987556,0.95039882,0.14054699,0.03196495,1.13316536
0.42321161,2.79793843,0.33770456,0.19572926,0.01969570,1.08927046,0.92132206,0.13955997,0.02958592,1.14582746
0.42921461,2.79156344,0.33907456,0.19679182,0.02120938,1.06580776,0.89819443,0.13950096,0.02742753,1.16649065
0.43521761,2.80414057,0.34190074,0.19897562,0.02285810,1.04979665,0.88125577,0.14038029,0.02550301,1.19518196
0.44122061,2.83558712,0.34615384,0.20228096,0.02461335,1.04135524,0.87058736,0.14218399,0.02382120,1.23171723
0.44722361,2.88531749,0.35175864,0.20667232,0.02644397,1.04041044,0.86611239,0.14487372,0.02238654,1.27569829
0.45322661,2.95225375,0.35859558,0.21207833,0.02831647,1.04670362,0.86760126,0.14838763,0.02119923,1.32651666
0.45922961,3.03485141,0.36650425,0.21839300,0.03019550,1.05980171,0.87468122,0.15264182,0.02025552,1.38336371
0.46523262,3.13113973,0.37528883,0.22547797,0.03204453,1.07911316,0.88685020,0.15753267,0.01954798,1.44524735
0.47123562,3.23877536,0.38472498,0.23316603,0.03382654,1.10390836,0.90349417,0.16293964,0.01906596,1.51101463
0.47723862,3.35510739,0.39456806,0.24126559,0.03550492,1.13334367,0.92390749,0.16872878,0.01879602,1.57937976
0.48324162,3.47725191,0.40456221,0.24956599,0.03704429,1.16648817,0.94731537,0.17475654,0.01872238,1.64895664
0.48924462,3.60217347,0.41444982,0.25784355,0.03841151,1.20235230,0.97289789,0.18087394,0.01882741,1.71829494
0.49524762,3.72677058,0.42398094,0.26586804,0.03957653,1.23991729,0.99981454,0.18693082,0.01909208,1.78591847
0.50125063,3.84796256,0.43292230,0.27340950,0.04051326,1.27816443,1.02722853,0.19278012,0.01949638,1.85036468
0.50725363,3.96277452,0.44106533,0.28024496,0.04120027,1.31610326,1.05433013,0.19828196,0.02001968,1.91022380
0.51325663,4.06841778,0.44823299,0.28616502,0.04162148,1.35279763,1.08035816,0.20330740,0.02064112,1.96417651
0.51925963,4.16236289,0.45428499,0.29097999,0.04176653,1.38738897,1.10461902,0.20774183,0.02133985,2.01102855
0.52526263,4.24240298,0.45912137,0.29452526,0.04163109,1.41911595,1.12650276,0.21148767,0.02209528,2.04974147
0.53126563,4.30670524,0.46268407,0.29666598,0.04121694,1.44733004,1.14549560,0.21446654,0.02288729,2.07945813
0.53726863,4.35384924,0.46495683,0.29730058,0.04053176,1.47150667,1.16118881,0.21662067,0.02369637,2.09952239
0.54327164,4.38285102,0.46596322,0.29636328,0.03958889,1.49125168,1.17328365,0.21791361,0.02450375,2.10949235
0.54927464,4.39317246,0.46576310,0.29382533,0.03840676,1.50630320,1.18159242,0.21833017,0.02529147,2.10914670
0.55527764,4.38471630,0.46444783,0.28969514,0.03700824,1.51652900,1.18603589,0.21787573,0.02604252,2.09848429
0.56128064,4.35780736,0.46213430,0.28401708,0.03541986,1.52191987,1.18663725,0.21657485,0.02674086,2.07771700
0.56728364,4.31316135,0.45895843,0.27686936,0.03367095,1.52257924,1.18351307,0.21446936,0.02737151,2.04725640
0.57328664,4.25184283,0.45506817,0.26836071,0.03179267,1.51870987,1.17686174,0.21161601,0.02792070,2.00769489
0.57928964,4.17521440,0.45061656,0.25862633,0.02981709,1.51059823,1.16695005,0.20808374,0.02837589,1.95978220
0.58529265,4.08487937,0.44575503,0.24782316,0.02777628,1.49859715,1.15409828,0.20395083,0.02872596,1.90439816
0.59129565,3.98262029,0.44062723,0.23612461,0.02570147,1.48310772,1.13866472,0.19930178,0.02896131,1.84252301
0.59729865,3.87033573,0.43536363,0.22371511,0.02362225,1.46456090,1.12102995,0.19422444,0.02907399,1.77520620
0.60330165,3.74997768,0.43007705,0.21078450,0.02156596,1.44339976,1.10158160,0.18880706,0.02905790,1.70353500
0.60930465,3.62349168,0.42485914,0.19752268,0.01955715,1.42006265,1.08070003,0.18313568,0.02890887,1.62860391
