energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,2.94397127,0.00315541,0.48820542,1.52186105,0.00000000,0.94199964,0.35813374,0.76495581,0.76362436
-5.99399700,2.90388714,0.00331131,0.47371320,1.50055998,0.00000000,0.93004408,0.35438548,0.77508878,0.75713041
-5.98799400,2.86068866,0.00348014,0.45871924,1.47787875,0.00000000,0.91709171,0.35064171,0.78532345,0.74932702
-5.98199100,2.81526903,0.00366184,0.44347708,1.45430093,0.00000000,0.90343546,0.34702518,0.79573610,0.74032542
-5.97598799,2.76845551,0.00385594,0.42822051,1.43027821,0.00000000,0.88935896,0.34364608,0.80636792,0.73022942
-5.96998499,2.72099033,0.00406151,0.41315862,1.40621892,0.00000000,0.87512876,0.34059919,0.81721999,0.71913455
-5.96398199,2.67351615,0.00427713,0.39847193,1.38247852,0.00000000,0.86098739,0.33796172,0.82825012,0.70712803
-5.95797899,2.62656627,0.00450090,0.38430978,1.35935271,0.00000000,0.84714732,0.33579172,0.83937197,0.69428933
-5.95197599,2.58055991,0.00473044,0.37078891,1.33707322,0.00000000,0.83378638,0.33412731,0.85045645,0.68069142
-5.94597299,2.53580257,0.00496294,0.35799337,1.31580652,0.00000000,0.82104479,0.33298644,0.86133549,0.66640236
-5.93996998,2.49249116,0.00519527,0.34597551,1.29565548,0.00000000,0.80902400,0.33236758,0.87180819,0.65148736
-5.93396698,2.45072375,0.00542401,0.33475819,1.27666394,0.00000000,0.79778753,0.33225084,0.88164916,0.63601090
-5.92796398,2.41051336,0.00564563,0.32433781,1.25882394,0.00000000,0.78736382,0.33259995,0.89061862,0.62003900
-5.92196098,2.37180511,0.00585655,0.31468828,1.24208541,0.00000000,0.77775095,0.33336462,0.89847408,0.60364139
-5.91595798,2.33449611,0.00605334,0.30576547,1.22636778,0.00000000,0.76892318,0.33448354,0.90498297,0.58689359
-5.90995498,2.29845709,0.00623283,0.29751219,1.21157301,0.00000000,0.76083876,0.33588768,0.90993565,0.56987868
-5.90395198,2.26355482,0.00639229,0.28986330,1.19759945,0.00000000,0.75344892,0.33750390,0.91315830,0.55268884
-5.89794897,2.22967452,0.00652951,0.28275083,1.18435589,0.00000000,0.74670725,0.33925869,0.91452490,0.53542641
-5.89194597,2.19674092,0.00664297,0.27610895,1.17177496,0.00000000,0.74057912,0.34108197,0.91396788,0.51820468
-5.88594297,2.16473733,0.00673190,0.26987846,1.15982530,0.00000000,0.73505053,0.34291068,0.91148664,0.50114807
-5.87993997,2.13372144,0.00679640,0.26401082,1.14852171,0.00000000,0.73013577,0.34469213,0.90715366,0.48439191
-5.87393697,2.10383722,0.00683743,0.25847134,1.13793286,0.00000000,0.72588350,0.34638684,0.90111769,0.46808165
-5.86793397,2.07532219,0.00685681,0.25324170,1.12818572,0.00000000,0.72238058,0.34797086,0.89360367,0.45237158
