energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,0.98789206,0.02676255,0.00238853,0.28732277,0.51191281,0.01369474,0.39152243
-5.99399700,1.07620454,0.02822437,0.00263567,0.31535410,0.55745536,0.01305998,0.42759267
-5.98799400,1.16996701,0.02976719,0.00289344,0.34476904,0.60616654,0.01242466,0.46614242
-5.98199100,1.26798003,0.03137547,0.00315863,0.37522887,0.65739423,0.01179846,0.50667984
-5.97598799,1.36887302,0.03302911,0.00342762,0.40634233,0.71039886,0.01118955,0.54864356
-5.96998499,1.47112628,0.03470372,0.00369641,0.43767203,0.76436507,0.01060443,0.59141127
-5.96398199,1.57310006,0.03637113,0.00396076,0.46874320,0.81841686,0.01004789,0.63431105
-5.95797899,1.67307034,0.03800009,0.00421623,0.49905442,0.87163595,0.00952297,0.67663536
-5.95197599,1.76927016,0.03955718,0.00445836,0.52809018,0.92308304,0.00903109,0.71765718
-5.94597299,1.85993527,0.04100786,0.00468273,0.55533474,0.97182104,0.00857219,0.75664798
-5.93996998,1.94335244,0.04231760,0.00488513,0.58028686,1.01693976,0.00814491,0.79289670
-5.93396698,2.01790838,0.04345313,0.00506167,0.60247469,1.05758088,0.00774686,0.82572921
-5.92796398,2.08213742,0.04438361,0.00520892,0.62147033,1.09296223,0.00737487,0.85452729
-5.92196098,2.13476573,0.04508181,0.00532398,0.63690328,1.12240038,0.00702525,0.87874640
-5.91595798,2.17475011,0.04552515,0.00540462,0.64847229,1.14533054,0.00669409,0.89793142
-5.90995498,2.20130967,0.04569659,0.00544933,0.65595493,1.16132282,0.00637747,0.91172968
-5.90395198,2.21394880,0.04558534,0.00545735,0.65921456,1.17009412,0.00607171,0.91990069
-5.89794897,2.21247060,0.04518729,0.00542872,0.65820439,1.17151515,0.00577353,0.92232204
-5.89194597,2.19698004,0.04450524,0.00536428,0.65296833,1.16561237,0.00548018,0.91899139
-5.88594297,2.16787691,0.04354888,0.00526562,0.64363877,1.15256460,0.00518958,0.91002440
-5.87993997,2.12583902,0.04233448,0.00513500,0.63043135,1.13269480,0.00490030,0.89564876
-5.87393697,2.07179653,0.04088441,0.00497535,0.61363702,1.10645726,0.00461163,0.87619467
-5.86793397,2.00689894,0.03922640,0.00479007,0.59361192,1.07442102,0.00432352,0.85208234
-5.86193097,1.93247618,0.03739272,0.00458302,0.57076539,1.03725037,0.00403653,0.82380705
-5.85592796,1.84999589,0.03541920,0.00435831,0.54554685,0.99568323,0.00375175,0.79192261
-5.84992496,1.76101872,0.03334421,0.00412028,0.51843216,0.95050855,0.00347071,0.75702393
