energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.82961690,0.43313374,0.32787582,0.01191321,0.08965327,0.64440847,0.51456381,0.00312979,0.89921342
-5.99399700,1.77606886,0.42029666,0.32391661,0.01282014,0.08590871,0.62944851,0.49474132,0.00297793,0.87072743
-5.98799400,1.72444668,0.40772671,0.32069312,0.01378658,0.08212656,0.61491048,0.47533463,0.00283514,0.84312428
-5.98199100,1.67585382,0.39567157,0.31840831,0.01480853,0.07834644,0.60117188,0.45664636,0.00270166,0.81699933
-5.97598799,1.63129906,0.38435146,0.31723988,0.01588039,0.07460580,0.58856753,0.43896475,0.00257778,0.79289864
-5.96998499,1.59166320,0.37395237,0.31733392,0.01699495,0.07093854,0.57737960,0.42255382,0.00246375,0.77130219
-5.96398199,1.55767344,0.36462121,0.31879996,0.01814342,0.06737383,0.56783057,0.40764555,0.00235978,0.75261085
-5.95797899,1.52988585,0.35646294,0.32170758,0.01931552,0.06393540,0.56007914,0.39443423,0.00226604,0.73713750
-5.95197599,1.50867624,0.34953978,0.32608476,0.02049960,0.06064119,0.55421907,0.38307290,0.00218257,0.72510222
-5.94597299,1.49423875,0.34387211,0.33191766,0.02168287,0.05750336,0.55028070,0.37367190,0.00210933,0.71663143
-5.93996998,1.48659176,0.33944103,0.33915208,0.02285159,0.05452855,0.54823485,0.36629929,0.00204615,0.71176056
-5.93396698,1.48558993,0.33619225,0.34769627,0.02399138,0.05171850,0.54799868,0.36098293,0.00199278,0.71043992
-5.92796398,1.49094134,0.33404088,0.35742486,0.02508748,0.04907073,0.54944306,0.35771376,0.00194886,0.71254297
-5.92196098,1.50222834,0.33287704,0.36818392,0.02612511,0.04657947,0.55240094,0.35645012,0.00191396,0.71787661
-5.91595798,1.51893092,0.33257172,0.37979664,0.02708977,0.04423654,0.55667630,0.35712257,0.00188756,0.72619262
-5.90995498,1.54045116,0.33298278,0.39206955,0.02796760,0.04203222,0.56205317,0.35963904,0.00186913,0.73719980
-5.90395198,1.56613771,0.33396073,0.40479894,0.02874568,0.03995616,0.56830436,0.36388984,0.00185806,0.75057615
-5.89794897,1.59530920,0.33535413,0.41777726,0.02941236,0.03799801,0.57519961,0.36975239,0.00185374,0.76598054
-5.89194597,1.62727572,0.33701444,0.43079926,0.02995753,0.03614804,0.58251275,0.37709552,0.00185555,0.78306361
-5.88594297,1.66135763,0.33880011,0.44366761,0.03037285,0.03439759,0.59002787,0.38578298,0.00186283,0.80147727
-5.87993997,1.69690141,0.34058000,0.45619786,0.03065196,0.03273925,0.59754425,0.39567628,0.00187493,0.82088294
-5.87393697,1.73329201,0.34223600,0.46822261,0.03079062,0.03116702,0.60487999,0.40663685,0.00189117,0.84095802
-5.86793397,1.76996183,0.34366478,0.47959471,0.03078679,0.02967626,0.61187454,0.41852732,0.00191086,0.86140077
-5.86193097,1.80639631,0.34477894,0.49018948,0.03064065,0.02826357,0.61838989,0.43121227,0.00193327,0.88193353
-5.85592796,1.84213634,0.34550732,0.49990597,0.03035461,0.02692652,0.62431081,0.44455835,0.00195764,0.90230439
-5.84992496,1.87677795,0.34579481,0.50866713,0.02993314,0.02566346,0.62954414,0.45843395,0.00198316,0.92228745
-5.84392196,1.90996960,0.34560155,0.51641918,0.02938272,0.02447314,0.63401731,0.47270861,0.00200900,0.94168190
-5.83791896,1.94140763,0.34490183,0.52313010,0.02871156,0.02335452,0.63767628,0.48725228,0.00203427,0.96031014
-5.83191596,1.97083057,0.34368248,0.52878749,0.02792943,0.02230650,0.64048311,0.50193449,0.00205803,0.97801519
-5.82591296,1.99801260,0.34194121,0.53339594,0.02704735,0.02132776,0.64241335,0.51662371,0.00207933,0.99465770
-5.81990995,2.02275701,0.33968468,0.53697405,0.02607732,0.02041665,0.64345331,0.53118693,0.00209722,1.01011278
-5.81390695,2.04488998,0.33692661,0.53955136,0.02503204,0.01957117,0.64359758,0.54548953,0.00211071,1.02426694
-5.80790395,2.06425522,0.33368590,0.54116532,0.02392457,0.01878904,0.64284681,0.55939561,0.00211890,1.03701537
-5.80190095,2.08070981,0.32998488,0.54185843,0.02276809,0.01806784,0.64120582,0.57276871,0.00212090,1.04825971
-5.79589795,2.09412145,0.32584773,0.54167578,0.02157560,0.01740521,0.63868233,0.58547301,0.00211592,1.05790652
-5.78989495,2.10436739,0.32129915,0.54066300,0.02035970,0.01679913,0.63528614,0.59737500,0.00210330,1.06586643
-5.78389195,2.11133489,0.31636330,0.53886479,0.01913238,0.01624824,0.63102899,0.60834547,0.00208250,1.07205423
-5.77788894,2.11492330,0.31106302,0.53632386,0.01790482,0.01575214,0.62592491,0.61826192,0.00205315,1.07638954
-5.77188594,2.11504734,0.30541938,0.53308053,0.01668731,0.01531179,0.61999117,0.62701111,0.00201505,1.07879835
-5.76588294,2.11164152,0.29945149,0.52917269,0.01548912,0.01492979,0.61324964,0.63449171,0.00196822,1.07921500
-5.75987994,2.10466513,0.29317659,0.52463623,0.01431845,0.01461073,0.60572854,0.64061703,0.00191285,1.07758465
-5.75387694,2.09410743,0.28661042,0.51950560,0.01318241,0.01436143,0.59746438,0.64531743,0.00184936,1.07386591
