energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.17116054,0.33338676,0.48541606,0.13732669,0.00033176,0.35693575,0.00000000
-5.99399700,1.10358864,0.30869409,0.46125139,0.12727605,0.00032126,0.33659853,0.00000000
-5.98799400,1.03893129,0.28448254,0.43838173,0.11799364,0.00031043,0.31731113,0.00000000
-5.98199100,0.97780319,0.26096506,0.41703091,0.10956898,0.00029932,0.29928900,0.00000000
-5.97598799,0.92072132,0.23832486,0.39738522,0.10207610,0.00028798,0.28271554,0.00000000
-5.96998499,0.86810288,0.21671412,0.37959319,0.09557221,0.00027642,0.26774128,0.00000000
-5.96398199,0.82026539,0.19625376,0.36376588,0.09009658,0.00026469,0.25448375,0.00000000
-5.95797899,0.77742842,0.17703422,0.34997764,0.08566978,0.00025282,0.24302792,0.00000000
-5.95197599,0.73971690,0.15911704,0.33826716,0.08229335,0.00024084,0.23342713,0.00000000
-5.94597299,0.70716548,0.14253709,0.32863868,0.07994969,0.00022880,0.22570429,0.00000000
-5.93996998,0.67972382,0.12730537,0.32106343,0.07860245,0.00021674,0.21985347,0.00000000
-5.93396698,0.65726263,0.11341216,0.31548121,0.07819728,0.00020470,0.21584171,0.00000000
-5.92796398,0.63958026,0.10083028,0.31180211,0.07866292,0.00019274,0.21361089,0.00000000
-5.92196098,0.62640979,0.08951853,0.30990847,0.07991272,0.00018092,0.21307998,0.00000000
-5.91595798,0.61742669,0.07942489,0.30965715,0.08184649,0.00016930,0.21414726,0.00000000
-5.90995498,0.61225688,0.07048961,0.31088213,0.08435263,0.00015794,0.21669282,0.00000000
-5.90395198,0.61048546,0.06264799,0.31339761,0.08731071,0.00014689,0.22058122,0.00000000
-5.89794897,0.61166585,0.05583287,0.31700146,0.09059412,0.00013620,0.22566437,0.00000000
-5.89194597,0.61532953,0.04997674,0.32147935,0.09407302,0.00012594,0.23178454,0.00000000
-5.88594297,0.62099623,0.04501348,0.32660915,0.09761740,0.00011613,0.23877759,0.00000000
-5.87993997,0.62818443,0.04087977,0.33216590,0.10110017,0.00010683,0.24647639,0.00000000
-5.87393697,0.63642204,0.03751617,0.33792698,0.10440021,0.00009805,0.25471423,0.00000000
-5.86793397,0.64525702,0.03486793,0.34367749,0.10740530,0.00008982,0.26332836,0.00000000
-5.86193097,0.65426760,0.03288551,0.34921558,0.11001477,0.00008214,0.27216345,0.00000000
-5.85592796,0.66307186,0.03152489,0.35435755,0.11214189,0.00007503,0.28107484,0.00000000
-5.84992496,0.67133621,0.03074774,0.35894256,0.11371587,0.00006847,0.28993156,0.00000000
-5.84392196,0.67878264,0.03052139,0.36283664,0.11468329,0.00006247,0.29861907,0.00000000
-5.83791896,0.68519429,0.03081866,0.36593598,0.11500908,0.00005700,0.30704134,0.00000000
-5.83191596,0.69041911,0.03161763,0.36816920,0.11467698,0.00005205,0.31512259,0.00000000
-5.82591296,0.69437159,0.03290131,0.36949858,0.11368937,0.00004760,0.32280824,0.00000000
