energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,4.09994560,2.48304130,0.35091673,0.45655368,0.01026191,1.76036020,0.00000000
-5.99399700,4.14344978,2.48852597,0.35931667,0.45675024,0.01037175,1.79481429,0.00000000
-5.98799400,4.17829768,2.48689628,0.36716478,0.45529567,0.01044909,1.82801749,0.00000000
-5.98199100,4.20560421,2.47879430,0.37448210,0.45226330,0.01049454,1.86071506,0.00000000
-5.97598799,4.22656237,2.46491118,0.38129206,0.44774210,0.01050903,1.89368591,0.00000000
-5.96998499,4.24239081,2.44595951,0.38761794,0.44183381,0.01049374,1.92770916,0.00000000
-5.96398199,4.25428163,2.42264660,0.39348032,0.43465002,0.01045009,1.96352992,0.00000000
-5.95797899,4.26335063,2.39565005,0.39889479,0.42630937,0.01037964,2.00182526,0.00000000
-5.95197599,4.27059179,2.36559616,0.40386993,0.41693481,0.01028408,2.04317196,0.00000000
-5.94597299,4.27683791,2.33304217,0.40840573,0.40665109,0.01016517,2.08801716,0.00000000
-5.93996998,4.28272877,2.29846273,0.41249239,0.39558244,0.01002470,2.13665320,0.00000000
-5.93396698,4.28868810,2.26224105,0.41610975,0.38385050,0.00986448,2.18919763,0.00000000
-5.92796398,4.29491022,2.22466481,0.41922721,0.37157254,0.00968628,2.24557945,0.00000000
-5.92196098,4.30135673,2.18592682,0.42180422,0.35886000,0.00949182,2.30553202,0.00000000
-5.91595798,4.30776335,2.14613012,0.42379144,0.34581728,0.00928275,2.36859336,0.00000000
-5.90995498,4.31365657,2.10529718,0.42513231,0.33254089,0.00906065,2.43411364,0.00000000
-5.90395198,4.31837919,2.06338248,0.42576524,0.31911890,0.00882699,2.50127001,0.00000000
-5.89794897,4.32112373,2.02028784,0.42562616,0.30563070,0.00858319,2.56908809,0.00000000
-5.89194597,4.32097202,1.97587960,0.42465133,0.29214700,0.00833057,2.63646944,0.00000000
-5.88594297,4.31693927,1.93000686,0.42278045,0.27873016,0.00807040,2.70222401,0.00000000
-5.87993997,4.30802058,1.88251971,0.41995969,0.26543467,0.00780388,2.76510624,0.00000000
-5.87393697,4.29323769,1.83328665,0.41614475,0.25230787,0.00753220,2.82385346,0.00000000
-5.86793397,4.27168394,1.78221034,0.41130360,0.23939076,0.00725650,2.87722495,0.00000000
-5.86193097,4.24256531,1.72924095,0.40541882,0.22671889,0.00697792,2.92404024,0.00000000
-5.85592796,4.20523569,1.67438636,0.39848951,0.21432331,0.00669761,2.96321491,0.00000000
-5.84992496,4.15922491,1.61771899,0.39053252,0.20223141,0.00641675,2.99379258,0.00000000
-5.84392196,4.10425828,1.55937880,0.38158299,0.19046775,0.00613650,3.01497191,0.00000000
-5.83791896,4.04026702,1.49957248,0.37169420,0.17905472,0.00585805,3.02612749,0.00000000
-5.83191596,3.96738922,1.43856899,0.36093664,0.16801307,0.00558262,3.02682399,0.00000000
-5.82591296,3.88596176,1.37669173,0.34939644,0.15736225,0.00531139,3.01682335,0.00000000
-5.81990995,3.79650376,1.31430788,0.33717310,0.14712060,0.00504552,2.99608479,0.00000000
-5.81390695,3.69969295,1.25181560,0.32437676,0.13730540,0.00478613,2.96475814,0.00000000
-5.80790395,3.59633617,1.18962973,0.31112507,0.12793270,0.00453428,2.92317114,0.00000000
-5.80190095,3.48733612,1.12816686,0.29753985,0.11901716,0.00429089,2.87181146,0.00000000
-5.79589795,3.37365597,1.06783069,0.28374362,0.11057178,0.00405680,2.81130473,0.00000000
-5.78989495,3.25628390,1.00899816,0.26985629,0.10260763,0.00383266,2.74238978,0.00000000
-5.78389195,3.13619947,0.95200744,0.25599208,0.09513358,0.00361899,2.66589223,0.00000000
-5.77788894,3.01434326,0.89714795,0.24225678,0.08815622,0.00341610,2.58269794,0.00000000
-5.77188594,2.89159129,0.84465315,0.22874552,0.08167973,0.00322413,2.49372722,0.00000000
-5.76588294,2.76873517,0.79469615,0.21554114,0.07570600,0.00304303,2.39991113,0.00000000
-5.75987994,2.64646848,0.74738831,0.20271309,0.07023483,0.00287256,2.30217031,0.00000000
-5.75387694,2.52537963,0.70278066,0.19031699,0.06526430,0.00271233,2.20139728,0.00000000
-5.74787394,2.40595102,0.66086807,0.17839476,0.06079117,0.00256180,2.09844226,0.00000000
-5.74187094,2.28856380,0.62159548,0.16697524,0.05681147,0.00242030,1.99410277,0.00000000
-5.73586793,2.17350742,0.58486605,0.15607535,0.05332105,0.00228710,1.88911686,0.00000000
-5.72986493,2.06099291,0.55055049,0.14570150,0.05031614,0.00216140,1.78415955,0.00000000
-5.72386193,1.95116866,0.51849695,0.13585128,0.04779389,0.00204236,1.67984218,0.00000000
-5.71785893,1.84413732,0.48854117,0.12651531,0.04575277,0.00192917,1.57671401,0.00000000
-5.71185593,1.73997280,0.46051605,0.11767907,0.04419286,0.00182107,1.47526542,0.00000000
-5.70585293,1.63873606,0.43426039,0.10932467,0.04311590,0.00171734,1.37593232,0.00000000
-5.69984992,1.54048901,0.40962644,0.10143248,0.04252526,0.00161737,1.27910094,0.00000000
-5.69384692,1.44530549,0.38648584,0.09398257,0.04242555,0.00152065,1.18511276,0.00000000
-5.68784392,1.35327930,0.36473402,0.08695582,0.04282218,0.00142677,1.09426899,0.00000000
-5.68184092,1.26452870,0.34429285,0.08033481,0.04372066,0.00133544,1.00683453,0.00000000
-5.67583792,1.17919778,0.32511174,0.07410445,0.04512576,0.00124652,0.92304108,0.00000000
-5.66983492,1.09745475,0.30716715,0.06825228,0.04704067,0.00115994,0.84308955,0.00000000
-5.66383192,1.01948781,0.29046104,0.06276860,0.04946605,0.00107576,0.76715158,0.00000000
-5.65782891,0.94549909,0.27501823,0.05764642,0.05239915,0.00099412,0.69537063,0.00000000
-5.65182591,0.87569747,0.26088312,0.05288122,0.05583313,0.00091523,0.62786248,0.00000000
-5.64582291,0.81029090,0.24811606,0.04847069,0.05975652,0.00083938,0.56471564,0.00000000
-5.63981991,0.74947900,0.23678966,0.04441441,0.06415288,0.00076688,0.50599177,0.00000000
-5.63381691,0.69344657,0.22698522,0.04071360,0.06900094,0.00069808,0.45172624,0.00000000
-5.62781391,0.64235849,0.21878956,0.03737082,0.07427493,0.00063336,0.40192918,0.00000000
-5.62181091,0.59635637,0.21229236,0.03438993,0.07994536,0.00057307,0.35658702,0.00000000
-5.61580790,0.55555725,0.20758400,0.03177600,0.08598011,0.00051759,0.31566460,0.00000000
-5.60980490,0.52005433,0.20475404,0.02953545,0.09234587,0.00046727,0.27910783,0.00000000
-5.60380190,0.48991952,0.20389019,0.02767624,0.09900981,0.00042246,0.24684702,0.00000000
-5.59779890,0.46520778,0.20507754,0.02620814,0.10594137,0.00038350,0.21880050,0.00000000
-5.59179590,0.44596256,0.20839821,0.02514315,0.11311420,0.00035071,0.19487869,0.00000000
-5.58579290,0.43222207,0.21393083,0.02449582,0.12050792,0.00032441,0.17498825,0.00000000
-5.57978989,0.42402565,0.22174997,0.02428363,0.12810979,0.00030491,0.15903623,0.00000000
