energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.55727109,0.00040857,0.10958552,0.43784537,0.22964684,0.01272380,0.84455126,0.47924636,0.12844429
-5.99399700,1.53155272,0.00038716,0.10636328,0.42952112,0.22472621,0.01278772,0.83349948,0.46726449,0.12712131
-5.98799400,1.50374121,0.00037458,0.10302194,0.42016201,0.22009380,0.01280549,0.82119959,0.45561803,0.12541300
-5.98199100,1.47424612,0.00037020,0.09956448,0.40995571,0.21579285,0.01277759,0.80791131,0.44432074,0.12336819
-5.97598799,1.44362481,0.00037350,0.09600340,0.39913154,0.21188843,0.01270621,0.79397633,0.43342467,0.12104870
-5.96998499,1.41256621,0.00038404,0.09236012,0.38795425,0.20846588,0.01259517,0.77980866,0.42301951,0.11852743
-5.96398199,1.38186909,0.00040149,0.08866412,0.37671653,0.20562840,0.01244970,0.76588195,0.41322987,0.11588612
-5.95797899,1.35241580,0.00042552,0.08495164,0.36573065,0.20349364,0.01227620,0.75271436,0.40421086,0.11321270
-5.95197599,1.32514259,0.00045588,0.08126413,0.35531940,0.20218978,0.01208197,0.74085157,0.39614211,0.11059850
-5.94597299,1.30100783,0.00049231,0.07764662,0.34580693,0.20185098,0.01187490,0.73084872,0.38922063,0.10813529
-5.93996998,1.28095938,0.00053453,0.07414590,0.33750952,0.20261262,0.01166313,0.72325177,0.38365298,0.10591235
-5.93396698,1.26590221,0.00058229,0.07080875,0.33072685,0.20460630,0.01145474,0.71857915,0.37964698,0.10401357
-5.92796398,1.25666760,0.00063525,0.06768021,0.32573378,0.20795491,0.01125740,0.71730421,0.37740339,0.10251485
-5.92196098,1.25398473,0.00069307,0.06480207,0.32277300,0.21276788,0.01107809,0.71983906,0.37710785,0.10148164
-5.91595798,1.25845563,0.00075533,0.06221142,0.32204861,0.21913670,0.01092282,0.72652029,0.37892335,0.10096697
-5.90995498,1.27053408,0.00082157,0.05993955,0.32372080,0.22713082,0.01079639,0.73759695,0.38298346,0.10100978
-5.90395198,1.29050899,0.00089127,0.05801105,0.32790159,0.23679410,0.01070224,0.75322103,0.38938642,0.10163373
-5.89794897,1.31849245,0.00096384,0.05644315,0.33465178,0.24814179,0.01064229,0.77344065,0.39819029,0.10284655
-5.89194597,1.35441276,0.00103866,0.05524541,0.34397890,0.26115811,0.01061691,0.79819611,0.40940909,0.10463971
-5.88594297,1.39801222,0.00111505,0.05441958,0.35583637,0.27579450,0.01062491,0.82731869,0.42301006,0.10698877
-5.87993997,1.44884971,0.00119229,0.05395977,0.37012361,0.29196853,0.01066363,0.86053221,0.43891189,0.10985398
-5.87393697,1.50630770,0.00126962,0.05385274,0.38668722,0.30956359,0.01072906,0.89745723,0.45698410,0.11318148
-5.86793397,1.56960357,0.00134627,0.05407850,0.40532308,0.32842923,0.01081599,0.93761778,0.47704727,0.11690475
-5.86193097,1.63780468,0.00142145,0.05461093,0.42577945,0.34838239,0.01091831,0.98045033,0.49887437,0.12094643
-5.85592796,1.70984703,0.00149436,0.05541862,0.44776094,0.36920936,0.01102920,1.02531489,0.52219295,0.12522045
-5.84992496,1.78455707,0.00156421,0.05646576,0.47093345,0.39066860,0.01114145,1.07150801,0.54668827,0.12963430
-5.84392196,1.86067621,0.00163022,0.05771312,0.49493000,0.41249446,0.01124777,1.11827740,0.57200754,0.13409150
-5.83791896,1.93688773,0.00169162,0.05911904,0.51935742,0.43440171,0.01134107,1.16483802,0.59776492,0.13849416
-5.83191596,2.01184555,0.00174769,0.06064049,0.54380392,0.45609095,0.01141477,1.21038920,0.62354772,0.14274547
-5.82591296,2.08420440,0.00179773,0.06223410,0.56784746,0.47725481,0.01146303,1.25413272,0.64892341,0.14675230
-5.81990995,2.15265092,0.00184111,0.06385725,0.59106472,0.49758481,0.01148102,1.29529130,0.67344774,0.15042752
-5.81390695,2.21593492,0.00187722,0.06546901,0.61304069,0.51677884,0.01146507,1.33312724,0.69667363,0.15369229
-5.80790395,2.27290018,0.00190555,0.06703117,0.63337844,0.53454902,0.01141289,1.36696067,0.71816081,0.15647805
-5.80190095,2.32251400,0.00192566,0.06850910,0.65170905,0.55062968,0.01132356,1.39618709,0.73748603,0.15872826
-5.79589795,2.36389449,0.00193719,0.06987263,0.66770123,0.56478523,0.01119768,1.42029344,0.75425353,0.16039980
-5.78989495,2.39633490,0.00193987,0.07109674,0.68107036,0.57681763,0.01103729,1.43887238,0.76810546,0.16146403
