energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.06741912,0.01847906,0.02269905,0.31129441,0.37271673,0.22272919,0.08347256,0.00462277,0.59761758
-5.99399700,1.09357129,0.01856454,0.02287445,0.30827310,0.39553118,0.21208686,0.08713562,0.00469907,0.60454209
-5.98799400,1.12981953,0.01874463,0.02346263,0.30904170,0.42173449,0.20365114,0.09145763,0.00480645,0.61710951
-5.98199100,1.17575725,0.01901069,0.02447664,0.31366120,0.45109760,0.19741413,0.09637023,0.00494272,0.63512060
-5.97598799,1.23080420,0.01935135,0.02592671,0.32215029,0.48332505,0.19333321,0.10179387,0.00510511,0.65827833
-5.96998499,1.29421342,0.01975292,0.02781955,0.33448356,0.51805794,0.19133249,0.10763895,0.00529029,0.68619191
-5.96398199,1.36508281,0.02019987,0.03015761,0.35059031,0.55487912,0.19130491,0.11380737,0.00549449,0.71838355
-5.95797899,1.44237136,0.02067528,0.03293831,0.37035353,0.59332048,0.19311515,0.12019447,0.00571364,0.75429762
-5.95197599,1.52491934,0.02116149,0.03615330,0.39360945,0.63287216,0.19660305,0.12669120,0.00594345,0.79331211
-5.94597299,1.61147210,0.02164061,0.03978776,0.42014734,0.67299355,0.20158744,0.13318653,0.00617956,0.83475193
-5.93996998,1.70070659,0.02209516,0.04381982,0.44970982,0.71312568,0.20787038,0.13957007,0.00641768,0.87790366
-5.93396698,1.79125985,0.02250863,0.04822001,0.48199358,0.75270451,0.21524152,0.14573463,0.00665367,0.92203137
-5.92796398,1.88175856,0.02286594,0.05295102,0.51665075,0.79117485,0.22348265,0.15157883,0.00688371,0.96639298
-5.92196098,1.97084878,0.02315396,0.05796755,0.55329090,0.82800420,0.23237213,0.15700954,0.00710437,1.01025656
-5.91595798,2.05722495,0.02336183,0.06321647,0.59148393,0.86269613,0.24168936,0.16194404,0.00731275,1.05291633
-5.90995498,2.13965735,0.02348127,0.06863723,0.63076395,0.89480266,0.25121896,0.16631195,0.00750650,1.09370769
-5.90395198,2.21701730,0.02350676,0.07416257,0.67063425,0.92393517,0.26075484,0.17005674,0.00768390,1.13202106
-5.89794897,2.28829941,0.02343564,0.07971951,0.71057352,0.94977349,0.27010394,0.17313683,0.00784390,1.16731403
-5.89194597,2.35264042,0.02326815,0.08523065,0.75004332,0.97207285,0.27908966,0.17552626,0.00798613,1.19912172
-5.88594297,2.40933429,0.02300729,0.09061572,0.78849684,0.99066850,0.28755499,0.17721488,0.00811088,1.22706505
-5.87993997,2.45784333,0.02265875,0.09579335,0.82538890,1.00547783,0.29536523,0.17820818,0.00821908,1.25085680
-5.87393697,2.49780521,0.02223063,0.10068303,0.86018689,1.01650017,0.30241024,0.17852661,0.00831221,1.27030551
-5.86793397,2.52903602,0.02173323,0.10520716,0.89238257,1.02381419,0.30860640,0.17820465,0.00839229,1.28531713
-5.86193097,2.55152946,0.02117872,0.10929314,0.92150436,1.02757324,0.31389789,0.17728952,0.00846170,1.29589453
-5.85592796,2.56545240,0.02058082,0.11287541,0.94712959,1.02799891,0.31825763,0.17583967,0.00852315,1.30213501
-5.84992496,2.57113713,0.01995449,0.11589735,0.96889645,1.02537305,0.32168754,0.17392314,0.00857951,1.30422595
-5.84392196,2.56907061,0.01931556,0.11831300,0.98651498,1.02002876,0.32421824,0.17161574,0.00863370,1.30243867
-5.83791896,2.55988110,0.01868038,0.12008840,0.99977672,1.01234065,0.32590819,0.16899925,0.00868853,1.29712085
-5.83191596,2.54432246,0.01806553,0.12120274,1.00856239,1.00271474,0.32684204,0.16615963,0.00874658,1.28868754
-5.82591296,2.52325658,0.01748749,0.12164897,1.01284731,0.99157843,0.32712850,0.16318525,0.00881007,1.27761102
-5.81990995,2.49763419,0.01696230,0.12143405,1.01270405,0.97937073,0.32689739,0.16016517,0.00888072,1.26440965
