energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,10.68581734,0.01650918,0.78618888,2.30250099,6.62157941,0.09677281,2.99077602
-5.99399700,10.47821381,0.01680042,0.75046718,2.27863562,6.47226820,0.09648765,2.94885124
-5.98799400,10.23302123,0.01701834,0.71427342,2.24552093,6.30159918,0.09600796,2.89315147
-5.98199100,9.95220516,0.01716240,0.67762072,2.20316522,6.11095564,0.09533331,2.82437184
-5.97598799,9.63853559,0.01723340,0.64057282,2.15179953,5.90218601,0.09446661,2.74346660
-5.96998499,9.29549652,0.01723335,0.60324166,2.09187234,5.67754224,0.09341382,2.65161910
-5.96398199,8.92717062,0.01716532,0.56578277,2.02403574,5.43960446,0.09218348,2.55020445
-5.95797899,8.53810536,0.01703318,0.52838848,1.94912423,5.19119572,0.09078626,2.44074668
-5.95197599,8.13316737,0.01684143,0.49127977,1.86812711,4.93529142,0.08923437,2.32487236
-5.94597299,7.71739258,0.01659497,0.45469714,1.78215630,4.67492779,0.08754097,2.20426294
-5.93996998,7.29583888,0.01629886,0.41889110,1.69241116,4.41311370,0.08571967,2.08060781
-5.93396698,6.87344803,0.01595821,0.38411272,1.60014197,4.15274970,0.08378412,1.95556006
-5.92796398,6.45492206,0.01557796,0.35060481,1.50661387,3.89655718,0.08174763,1.83069659
-5.92196098,6.04461853,0.01516281,0.31859395,1.41307261,3.64702019,0.07962298,1.70748397
-5.91595798,5.64646742,0.01471712,0.28828380,1.32071345,3.40634113,0.07742244,1.58725088
-5.90995498,5.26391097,0.01424493,0.25984979,1.23065416,3.17641086,0.07515774,1.47116771
-5.90395198,4.89986644,0.01374990,0.23343530,1.14391278,2.95879272,0.07284031,1.36023340
-5.89794897,4.55671035,0.01323539,0.20914929,1.06139044,2.75471954,0.07048153,1.25526916
-5.89194597,4.23628204,0.01270453,0.18706537,0.98385922,2.56510164,0.06809303,1.15691854
-5.88594297,3.93990304,0.01216023,0.16722210,0.91195499,2.39054383,0.06568699,1.06565288
-5.87993997,3.66840896,0.01160535,0.14962431,0.84617449,2.23136903,0.06327638,0.98178111
-5.87393697,3.42218992,0.01104270,0.13424534,0.78687632,2.08764612,0.06087517,0.90546282
-5.86793397,3.20123596,0.01047516,0.12102984,0.73428497,1.95921976,0.05849841,0.83672339
-5.86193097,3.00518426,0.00990567,0.10989701,0.68849720,1.84574034,0.05616214,0.77547014
-5.85592796,2.83336536,0.00933732,0.10074404,0.64949025,1.74669252,0.05388321,0.72150867
-5.84992496,2.68484663,0.00877330,0.09344961,0.61713105,1.66142136,0.05167895,0.67455857
-5.84392196,2.55847172,0.00821690,0.08787728,0.59118618,1.58915541,0.04956669,0.63426801
-5.83791896,2.45289552,0.00767146,0.08387876,0.57133213,1.52902683,0.04756322,0.60022693
