energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.82895324,-2.82895436,0.02057045,-0.02057046,0.39877857,-0.39877891,0.73255466,-0.73255477,0.00000000,-0.00000000,1.17142218,-1.17142247,1.07790850,-1.07790938,0.04618903,-0.04618904,1.12169453,-1.12169467
-5.99399700,2.88762596,-2.88762705,0.02202047,-0.02202048,0.41252355,-0.41252390,0.74592734,-0.74592744,0.00000000,-0.00000000,1.18574705,-1.18574731,1.11356195,-1.11356282,0.04780294,-0.04780295,1.13719861,-1.13719875
-5.98799400,2.94327372,-2.94327477,0.02349649,-0.02349650,0.42565610,-0.42565643,0.75814712,-0.75814721,0.00000000,-0.00000000,1.19682639,-1.19682662,1.14830585,-1.14830669,0.04951212,-0.04951213,1.15155792,-1.15155804
-5.98199100,2.99400298,-2.99400395,0.02497555,-0.02497556,0.43781070,-0.43781100,0.76882217,-0.76882225,0.00000000,-0.00000000,1.20416029,-1.20416048,1.18115883,-1.18115962,0.05126649,-0.05126650,1.16419076,-1.16419087
-5.97598799,3.03800054,-3.03800140,0.02643302,-0.02643303,0.44863228,-0.44863256,0.77759884,-0.77759890,0.00000000,-0.00000000,1.20732935,-1.20732949,1.21115451,-1.21115523,0.05301457,-0.05301458,1.17455177,-1.17455185
-5.96998499,3.07359251,-3.07359323,0.02784314,-0.02784315,0.45778778,-0.45778802,0.78417268,-0.78417271,0.00000000,-0.00000000,1.20601030,-1.20601039,1.23737349,-1.23737411,0.05470488,-0.05470490,1.18214937,-1.18214943
-5.96398199,3.09929808,-3.09929864,0.02917972,-0.02917973,0.46497713,-0.46497733,0.78829747,-0.78829748,0.00000000,-0.00000000,1.19998806,-1.19998809,1.25897391,-1.25897443,0.05628722,-0.05628723,1.18656115,-1.18656117
-5.95797899,3.11387620,-3.11387657,0.03041678,-0.03041679,0.46994322,-0.46994337,0.78979193,-0.78979192,0.00000000,-0.00000000,1.18916383,-1.18916380,1.27521931,-1.27521970,0.05771397,-0.05771398,1.18744638,-1.18744637
-5.95197599,3.11636346,-3.11636363,0.03152932,-0.03152933,0.47248040,-0.47248049,0.78854393,-0.78854390,0.00000000,-0.00000000,1.17355889,-1.17355880,1.28550253,-1.28550278,0.05894132,-0.05894133,1.18455553,-1.18455548
-5.94597299,3.10610183,-3.10610180,0.03249407,-0.03249407,0.47244125,-0.47244128,0.78451206,-0.78451201,0.00000000,-0.00000000,1.15331399,-1.15331384,1.28936500,-1.28936511,0.05993039,-0.05993039,1.17773627,-1.17773619
-5.93996998,3.08275546,-3.08275522,0.03329012,-0.03329012,0.46974132,-0.46974129,0.77772473,-0.77772465,0.00000000,-0.00000000,1.12868447,-1.12868426,1.28651040,-1.28651036,0.06064820,-0.06064821,1.16693602,-1.16693589
-5.93396698,3.04631598,-3.04631552,0.03389961,-0.03389961,0.46436166,-0.46436158,0.76827672,-0.76827662,0.00000000,-0.00000000,1.10003125,-1.10003098,1.27681248,-1.27681228,0.06106851,-0.06106851,1.15220083,-1.15220066
-5.92796398,2.99709650,-2.99709582,0.03430828,-0.03430828,0.45634911,-0.45634897,0.75632363,-0.75632351,0.00000000,-0.00000000,1.06780831,-1.06780799,1.26031665,-1.26031629,0.06117238,-0.06117238,1.13367102,-1.13367081
-5.92196098,2.93571482,-2.93571395,0.03450588,-0.03450588,0.44581436,-0.44581416,0.74207433,-0.74207419,0.00000000,-0.00000000,1.03254708,-1.03254672,1.23723558,-1.23723508,0.06094862,-0.06094861,1.11157358,-1.11157334
-5.91595798,2.86306696,-2.86306589,0.03448655,-0.03448655,0.43292786,-0.43292761,0.72578198,-0.72578182,0.00000000,-0.00000000,0.99483853,-0.99483813,1.20793919,-1.20793855,0.06039392,-0.06039392,1.08621196,-1.08621169
-5.90995498,2.78029217,-2.78029093,0.03424894,-0.03424893,0.41791401,-0.41791372,0.70773390,-0.70773373,0.00000000,-0.00000000,0.95531374,-0.95531331,1.17293953,-1.17293876,0.05951287,-0.05951286,1.05795355,-1.05795325
-5.90395198,2.68873155,-2.68873017,0.03379628,-0.03379628,0.40104361,-0.40104327,0.68824088,-0.68824070,0.00000000,-0.00000000,0.91462374,-0.91462329,1.13287161,-1.13287073,0.05831759,-0.05831758,1.02721563,-1.02721530
