energy_ev,total_up,Hf_p_up,Hf_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.63969629,1.92725997,0.85964861,0.62428360,0.00338861,0.70477922,0.06897286,1.76092399
-5.99399700,3.76891761,1.99118553,0.89103778,0.65504624,0.00337663,0.72101940,0.07179287,1.83528480
-5.98799400,3.89417666,2.05305589,0.92294708,0.68343873,0.00338384,0.73723185,0.07455086,1.90736653
-5.98199100,4.01322148,2.11218966,0.95482513,0.70902609,0.00340436,0.75313625,0.07718622,1.97586420
-5.97598799,4.12401706,2.16798692,0.98615011,0.73141038,0.00343278,0.76848171,0.07964328,2.03958459
-5.96998499,4.22477943,2.21993006,1.01643562,0.75024123,0.00346418,0.78304729,0.08187272,2.09747072
-5.96398199,4.31400055,2.26758129,1.04523484,0.76522531,0.00349422,0.79664103,0.08383279,2.14862199
-5.95797899,4.39046392,2.31057755,1.07214325,0.77613430,0.00351915,0.80909764,0.08549023,2.19230930
-5.95197599,4.45325073,2.34862343,1.09679996,0.78281105,0.00353590,0.82027543,0.08682087,2.22798464
-5.94597299,4.50173736,2.38148288,1.11888795,0.78517368,0.00354202,0.83005267,0.08781005,2.25528521
-5.93996998,4.53558475,2.40897075,1.13813347,0.78321756,0.00353575,0.83832394,0.08845255,2.27403179
-5.93396698,4.55472109,2.43094469,1.15430488,0.77701499,0.00351597,0.84499683,0.08875235,2.28422191
-5.92796398,4.55931890,2.44729843,1.16721119,0.76671263,0.00348216,0.84998929,0.08872197,2.28601815
-5.92196098,4.54976832,2.45795678,1.17670060,0.75252691,0.00343437,0.85322799,0.08838170,2.27973242
-5.91595798,4.52664794,2.46287307,1.18265925,0.73473748,0.00337317,0.85464769,0.08775844,2.26580695
-5.90995498,4.49069495,2.46202898,1.18501029,0.71367903,0.00329958,0.85419189,0.08688449,2.24479305
-5.90395198,4.44277578,2.45543704,1.18371339,0.68973197,0.00321498,0.85181460,0.08579622,2.21732873
-5.89794897,4.38385876,2.44314551,1.17876481,0.66331201,0.00312106,0.84748316,0.08453263,2.18411608
-5.89194597,4.31498951,2.42524528,1.17019776,0.63485947,0.00301974,0.84118177,0.08313398,2.14589948
