energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,6.51072278,0.95743167,0.49805673,0.03701064,0.13187439,1.35226260,0.47377046,0.15324979,3.42152726
-5.99399700,6.36208814,0.92927395,0.49235708,0.03740953,0.13134101,1.30154296,0.46107672,0.15211300,3.33718725
-5.98799400,6.20673881,0.89998776,0.48576854,0.03769395,0.13044706,1.25128179,0.44848587,0.15087433,3.24986301
-5.98199100,6.04576260,0.86986552,0.47830404,0.03785450,0.12918986,1.20202946,0.43606856,0.14950341,3.16021741
-5.97598799,5.88029526,0.83921004,0.46999072,0.03788306,0.12757209,1.15427843,0.42389519,0.14797230,3.06892235
-5.96998499,5.71150689,0.80832883,0.46087069,0.03777307,0.12560167,1.10845724,0.41203566,0.14625634,2.97665071
-5.96398199,5.54058916,0.77752844,0.45100130,0.03751980,0.12329158,1.06492739,0.40055923,0.14433485,2.88406929
-5.95797899,5.36874352,0.74710902,0.44045507,0.03712053,0.12065951,1.02398287,0.38953457,0.14219168,2.79183272
-5.95197599,5.19716979,0.71735907,0.42931917,0.03657477,0.11772750,0.98585188,0.37902994,0.13981566,2.70057798
-5.94597299,5.02705505,0.68855070,0.41769440,0.03588435,0.11452149,0.95070043,0.36911331,0.13720086,2.61091952
-5.93996998,4.85956218,0.66093514,0.40569361,0.03505348,0.11107085,0.91863712,0.35985244,0.13434664,2.52344444
-5.93396698,4.69581789,0.63473888,0.39343972,0.03408874,0.10740774,0.88971882,0.35131492,0.13125766,2.43870768
-5.92796398,4.53689983,0.61016024,0.38106315,0.03299895,0.10356656,0.86395653,0.34356789,0.12794359,2.35722685
-5.92196098,4.38382273,0.58736646,0.36869895,0.03179504,0.09958327,0.84132112,0.33667756,0.12441878,2.27947668
-5.91595798,4.23752376,0.56649147,0.35648349,0.03048980,0.09549476,0.82174872,0.33070842,0.12070177,2.20588305
-5.90995498,4.09884709,0.54763408,0.34455102,0.02909761,0.09133814,0.80514530,0.32572207,0.11681471,2.13681662
-5.90395198,3.96852843,0.53085694,0.33303006,0.02763404,0.08715016,0.79139046,0.32177580,0.11278271,2.07258637
-5.89794897,3.84717991,0.51618600,0.32203980,0.02611556,0.08296652,0.78034043,0.31892088,0.10863316,2.01343323
-5.89194597,3.73527612,0.50361076,0.31168673,0.02455906,0.07882137,0.77183020,0.31720059,0.10439501,1.95952416
-5.88594297,3.63314206,0.49308505,0.30206149,0.02298153,0.07474679,0.76567507,0.31664824,0.10009818,1.91094714
-5.87993997,3.54094366,0.48452859,0.29323618,0.02139960,0.07077241,0.76167169,0.31728507,0.09577287,1.86770739
-5.87393697,3.45868180,0.47782914,0.28526219,0.01982922,0.06692507,0.75959889,0.31911838,0.09144905,1.82972514
-5.86793397,3.38619011,0.47284535,0.27816860,0.01828532,0.06322865,0.75921847,0.32213983,0.08715600,1.79683544
-5.86193097,3.32313720,0.46941019,0.27196137,0.01678155,0.05970392,0.76027623,0.32632414,0.08292195,1.76879000
-5.85592796,3.26903349,0.46733492,0.26662314,0.01532999,0.05636857,0.76250334,0.33162826,0.07877377,1.74526140
-5.84992496,3.22324255,0.46641353,0.26211385,0.01394107,0.05323727,0.76561836,0.33799112,0.07473678,1.72584959
-5.84392196,3.18499688,0.46642757,0.25837200,0.01262341,0.05032182,0.76932984,0.34533394,0.07083468,1.71009053
-5.83791896,3.15341769,0.46715116,0.25531667,0.01138382,0.04763140,0.77333963,0.35356129,0.06708940,1.69746699
-5.83191596,3.12753796,0.46835621,0.25285013,0.01022729,0.04517277,0.77734693,0.36256267,0.06352112,1.68742090
-5.82591296,3.10632822,0.46981754,0.25086091,0.00915710,0.04295055,0.78105290,0.37221479,0.06014825,1.67936718
-5.81990995,3.08872405,0.47131787,0.24922738,0.00817492,0.04096753,0.78416586,0.38238435,0.05698740,1.67270841
-5.81390695,3.07365445,0.47265247,0.24782156,0.00728100,0.03922487,0.78640676,0.39293120,0.05405337,1.66684989
-5.80790395,3.06007008,0.47363344,0.24651319,0.00647437,0.03772233,0.78751489,0.40371195,0.05135908,1.66121469
-5.80190095,3.04697057,0.47409328,0.24517376,0.00575308,0.03645844,0.78725352,0.41458361,0.04891550,1.65525816
-5.79589795,3.03342995,0.47388800,0.24368050,0.00511442,0.03543064,0.78541533,0.42540745,0.04673153,1.64848138
-5.78989495,3.01861958,0.47289932,0.24192017,0.00455521,0.03463533,0.78182731,0.43605272,0.04481387,1.64044332
-5.78389195,3.00182793,0.47103620,0.23979250,0.00407203,0.03406794,0.77635509,0.44640015,0.04316692,1.63077124
-5.77788894,2.98247678,0.46823555,0.23721321,0.00366150,0.03372292,0.76890634,0.45634533,0.04179261,1.61916914
-5.77188594,2.96013371,0.46446221,0.23411651,0.00332050,0.03359376,0.75943331,0.46580160,0.04069034,1.60542416
-5.76588294,2.93452058,0.45970816,0.23045702,0.00304638,0.03367300,0.74793422,0.47470262,0.03985691,1.58941076
-5.75987994,2.90551811,0.45399112,0.22621104,0.00283720,0.03395226,0.73445348,0.48300450,0.03928660,1.57109266
-5.75387694,2.87316682,0.44735265,0.22137714,0.00269186,0.03442234,0.71908087,0.49068747,0.03897124,1.55052280
-5.74787394,2.83766435,0.43985576,0.21597607,0.00261024,0.03507334,0.70194946,0.49775711,0.03890041,1.52784113
-5.74187094,2.79935963,0.43158225,0.21005007,0.00259330,0.03589489,0.68323254,0.50424512,0.03906181,1.50327069
-5.73586793,2.75874407,0.42262985,0.20366148,0.00264316,0.03687637,0.66313955,0.51020959,0.03944159,1.47711195
-5.72986493,2.71644012,0.41310929,0.19689076,0.00276306,0.03800728,0.64191111,0.51573482,0.04002490,1.44973565
