energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.43701561,0.05121784,0.05719592,0.01261722,0.58117479,0.38041753,0.09127331,0.52463806,0.28754949
-5.99399700,1.34005087,0.04758477,0.05189380,0.01171594,0.54670191,0.35596668,0.08521082,0.48665235,0.26521504
-5.98799400,1.25101351,0.04412832,0.04722788,0.01086333,0.51456482,0.33284141,0.07949780,0.45214297,0.24488898
-5.98199100,1.17017322,0.04085388,0.04321771,0.01006410,0.48487650,0.31110272,0.07416276,0.42123577,0.22660822
-5.97598799,1.09766405,0.03776409,0.03986993,0.00932146,0.45771423,0.29079242,0.06922686,0.39399640,0.21037455
-5.96998499,1.03349774,0.03485942,0.03717926,0.00863731,0.43312310,0.27193624,0.06470469,0.37043576,0.19615853
-5.96398199,0.97757625,0.03213871,0.03512962,0.00801232,0.41111892,0.25454634,0.06060496,0.35051528,0.18390328
-5.95797899,0.92970303,0.02959965,0.03369529,0.00744606,0.39169038,0.23862320,0.05693116,0.33415174,0.17352814
-5.95197599,0.88959286,0.02723910,0.03284208,0.00693719,0.37480039,0.22415688,0.05368208,0.32122158,0.16493203
-5.94597299,0.85688016,0.02505341,0.03252845,0.00648352,0.36038687,0.21112762,0.05085224,0.31156464,0.15799651
-5.93996998,0.83112618,0.02303857,0.03270663,0.00608221,0.34836291,0.19950594,0.04843225,0.30498729,0.15258860
-5.93396698,0.81182520,0.02119029,0.03332369,0.00572983,0.33861682,0.18925237,0.04640907,0.30126527,0.14856331
-5.92796398,0.79841050,0.01950408,0.03432246,0.00542252,0.33101206,0.18031693,0.04476614,0.30014620,0.14576597
-5.92196098,0.79026046,0.01797519,0.03564261,0.00515606,0.32538748,0.17263855,0.04348356,0.30135211,0.14403451
-5.91595798,0.78670532,0.01659863,0.03722148,0.00492600,0.32155803,0.16614467,0.04253821,0.30458212,0.14320169
-5.90995498,0.78703504,0.01536903,0.03899509,0.00472774,0.31931621,0.16075106,0.04190394,0.30951559,0.14309738
-5.90395198,0.79050857,0.01428067,0.04089906,0.00455662,0.31843430,0.15636202,0.04155173,0.31581576,0.14355094
-5.89794897,0.79636461,0.01332736,0.04286954,0.00440802,0.31866757,0.15287119,0.04145004,0.32313404,0.14439372
-5.89194597,0.80383398,0.01250244,0.04484420,0.00427743,0.31975833,0.15016271,0.04156510,0.33111505,0.14546165
-5.88594297,0.81215324,0.01179880,0.04676318,0.00416057,0.32144089,0.14811309,0.04186140,0.33940228,0.14659794
-5.87993997,0.82057933,0.01120883,0.04857010,0.00405340,0.32344715,0.14659349,0.04230224,0.34764432,0.14765577
-5.87393697,0.82840476,0.01072449,0.05021301,0.00395226,0.32551275,0.14547241,0.04285031,0.35550158,0.14850095
-5.86793397,0.83497274,0.01033738,0.05164528,0.00385388,0.32738339,0.14461879,0.04346837,0.36265311,0.14901436
-5.86193097,0.83969162,0.01003877,0.05282646,0.00375548,0.32882124,0.14390518,0.04411997,0.36880340,0.14909425
-5.85592796,0.84204820,0.00981971,0.05372301,0.00365473,0.32961096,0.14321113,0.04477011,0.37368894,0.14865803
