energy_ev,total_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.63083281,0.44195288,0.23700554,3.88768526,1.84196472,0.03084053,1.52260210,0.08325927,1.99088839
-5.99399700,5.57299819,0.43742632,0.23183576,3.87417281,1.82550420,0.03083590,1.51600963,0.08428103,1.95855553
-5.98799400,5.51700075,0.43352465,0.22660083,3.86209930,1.80969571,0.03083028,1.51093799,0.08525156,1.92614323
-5.98199100,5.46365853,0.43045774,0.22139175,3.85172580,1.79467202,0.03082654,1.50738795,0.08617150,1.89422650
-5.97598799,5.41358363,0.42841759,0.21629606,3.84313996,1.78048016,0.03082631,1.50526281,0.08704160,1.86334466
-5.96998499,5.36717019,0.42757145,0.21139528,3.83625549,1.76708497,0.03082993,1.50437463,0.08786258,1.83398576
-5.96398199,5.32459217,0.42805587,0.20676277,3.83081942,1.75437625,0.03083652,1.50445409,0.08863492,1.80657363
-5.95797899,5.28581082,0.42997184,0.20246199,3.82642701,1.74217898,0.03084409,1.50516333,0.08935881,1.78145802
-5.95197599,5.25059106,0.43338120,0.19854529,3.82254316,1.73026607,0.03084975,1.50611120,0.09003403,1.75890832
-5.94597299,5.21852591,0.43830449,0.19505313,3.81852941,1.71837296,0.03084984,1.50687016,0.09066005,1.73911076
-5.93996998,5.18906749,0.44472031,0.19201384,3.81367497,1.70621330,0.03084023,1.50699405,0.09123598,1.72216928
-5.93396698,5.16156287,0.45256614,0.18944389,3.80723030,1.69349489,0.03081659,1.50603594,0.09176073,1.70810969
-5.92796398,5.13529302,0.46174071,0.18734851,3.79844163,1.67993525,0.03077460,1.50356530,0.09223313,1.69688678
-5.92196098,5.10951284,0.47210763,0.18572269,3.78658459,1.66527595,0.03071025,1.49918385,0.09265208,1.68839391
-5.91595798,5.08349042,0.48350023,0.18455249,3.77099567,1.64929522,0.03062011,1.49253941,0.09301674,1.68247440
-5.90995498,5.05654372,0.49572745,0.18381648,3.75110003,1.63181836,0.03050148,1.48333741,0.09332665,1.67893410
-5.90395198,5.02807298,0.50858032,0.18348738,3.72643442,1.61272538,0.03035262,1.47134961,0.09358194,1.67755446
-5.89794897,4.99758771,0.52183903,0.18353360,3.69666461,1.59195599,0.03017285,1.45641990,0.09378341,1.67810531
-5.89194597,4.96472706,0.53528016,0.18392087,3.66159665,1.56951151,0.02996261,1.43846714,0.09393259,1.68035688
-5.88594297,4.92927299,0.54868379,0.18461368,3.62118182,1.54545402,0.02972346,1.41748504,0.09403178,1.68409036
-5.87993997,4.89115598,0.56184030,0.18557659,3.57551536,1.51990285,0.02945803,1.39353933,0.09408396,1.68910663
-5.87393697,4.85045334,0.57455655,0.18677531,3.52482945,1.49302871,0.02916990,1.36676258,0.09409269,1.69523283
-5.86793397,4.80738046,0.58666128,0.18817766,3.46948114,1.46504582,0.02886343,1.33734690,0.09406191,1.70232651
-5.86193097,4.76227585,0.59800954,0.18975416,3.40993597,1.43620260,0.02854353,1.30553507,0.09399568,1.71027740
-5.85592796,4.71558084,0.60848601,0.19147852,3.34674843,1.40677130,0.02821540,1.27161057,0.09389786,1.71900676
-5.84992496,4.66781519,0.61800723,0.19332782,3.28054031,1.37703715,0.02788431,1.23588686,0.09377179,1.72846463
-5.84392196,4.61954986,0.62652246,0.19528251,3.21197790,1.34728745,0.02755524,1.19869654,0.09361993,1.73862511
-5.83791896,4.57137819,0.63401353,0.19732626,3.14174932,1.31780107,0.02723268,1.16038072,0.09344349,1.74948017
-5.83191596,4.52388709,0.64049345,0.19944559,3.07054265,1.28883885,0.02692036,1.12127898,0.09324211,1.76103225
-5.82591296,4.47762912,0.64600395,0.20162939,2.99902586,1.26063509,0.02662105,1.08172027,0.09301361,1.77328631
-5.81990995,4.43309689,0.65061210,0.20386829,2.92782898,1.23339044,0.02633642,1.04201508,0.09275377,1.78624152
-5.81390695,4.39070054,0.65440613,0.20615401,2.85752910,1.20726644,0.02606691,1.00244884,0.09245626,1.79988314
-5.80790395,4.35074913,0.65749058,0.20847857,2.78863823,1.18238169,0.02581176,0.96327696,0.09211266,1.81417503
-5.80190095,4.31343636,0.65998094,0.21083346,2.72159434,1.15880973,0.02556903,0.92472130,0.09171257,1.82905287
-5.79589795,4.27883102,0.66199799,0.21320886,2.65675517,1.13657855,0.02533573,0.88696813,0.09124386,1.84441870
-5.78989495,4.24687213,0.66366200,0.21559281,2.59439484,1.11567166,0.02510795,0.85016754,0.09069308,1.86013658
-5.78389195,4.21736874,0.66508693,0.21797047,2.53470287,1.09603049,0.02488118,0.81443407,0.09004589,1.87602985
-5.77788894,4.19000405,0.66637494,0.22032337,2.47778514,1.07755798,0.02465046,0.77984850,0.08928761,1.89187985
-5.77188594,4.16434346,0.66761116,0.22262890,2.42366665,1.06012316,0.02441079,0.74646047,0.08840384,1.90742612
-5.76588294,4.13984607,0.66885911,0.22485982,2.37229548,1.04356639,0.02415732,0.71429185,0.08738107,1.92236825
-5.75987994,4.11587901,0.67015685,0.22698401,2.32354789,1.02770518,0.02388573,0.68334055,0.08620730,1.93636905
-5.75387694,4.09173422,0.67151395,0.22896441,2.27723422,1.01234031,0.02359239,0.65358466,0.08487261,1.94905914
-5.74787394,4.06664686,0.67290952,0.23075919,2.23310539,0.99726205,0.02327466,0.62498667,0.08336966,1.96004289
-5.74187094,4.03981509,0.67429134,0.23232221,2.19086013,0.98225639,0.02293100,0.59749761,0.08169415,1.96890543
-5.73586793,4.01042069,0.67557617,0.23360365,2.15015274,0.96711105,0.02256104,0.57106105,0.07984503,1.97522078
-5.72986493,3.97764998,0.67665138,0.23455102,2.11060151,0.95162129,0.02216564,0.54561676,0.07782472,1.97856088
-5.72386193,3.94071488,0.67737774,0.23511034,2.07179791,0.93559532,0.02174681,0.52110410,0.07563915,1.97850537
-5.71785893,3.89887361,0.67759352,0.23522754,2.03331651,0.91885933,0.02130760,0.49746490,0.07329761,1.97465199
-5.71185593,3.85145080,0.67711962,0.23485011,1.99472572,0.90126202,0.02085189,0.47464600,0.07081258,1.96662733
-5.70585293,3.79785668,0.67576574,0.23392881,1.95559925,0.88267864,0.02038423,0.45260134,0.06819937,1.95409774
-5.69984992,3.73760497,0.67333732,0.23241948,1.91552826,0.86301453,0.01990952,0.43129361,0.06547570,1.93678014
-5.69384692,3.67032917,0.66964298,0.23028485,1.87413389,0.84220797,0.01943274,0.41069560,0.06266124,1.91445232
-5.68784392,3.59579691,0.66450230,0.22749623,1.83107987,0.82023244,0.01895874,0.39079102,0.05977711,1.88696259
-5.68184092,3.51392181,0.65775348,0.22403513,1.78608489,0.79709821,0.01849192,0.37157509,0.05684531,1.85423820
-5.67583792,3.42477256,0.64926071,0.21989455,1.73893412,0.77285308,0.01803606,0.35305469,0.05388828,1.81629243
-5.66983492,3.32857878,0.63892083,0.21508003,1.68948952,0.74758241,0.01759413,0.33524822,0.05092835,1.77322978
-5.66383192,3.22573326,0.62666906,0.20961038,1.63769830,0.72140815,0.01716821,0.31818507,0.04798740,1.72524912
-5.65782891,3.11679033,0.61248352,0.20351794,1.58359908,0.69448709,0.01675938,0.30190476,0.04508644,1.67264448
-5.65182591,3.00246004,0.59638831,0.19684847,1.52732528,0.66700809,0.01636783,0.28645573,0.04224536,1.61580339
