energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,5.99191813,0.14232629,0.08152111,0.99641702,0.74559221,1.98224535,0.63636847,0.17265469,2.98529046
-5.99399700,6.03390442,0.14811591,0.08398386,1.01185095,0.74950462,1.99835856,0.65039070,0.17222301,2.99718239
-5.98799400,6.06646071,0.15399913,0.08623007,1.02545253,0.75327601,2.01035023,0.66365925,0.17144374,3.00357184
-5.98199100,6.08958296,0.15988318,0.08823333,1.03715581,0.75682872,2.01845731,0.67609258,0.17030270,3.00470672
-5.97598799,6.10337355,0.16567657,0.08997230,1.04692528,0.76008279,2.02294478,0.68761856,0.16878772,3.00089225
-5.96998499,6.10801638,0.17129078,0.09143098,1.05475349,0.76295348,2.02408886,0.69817537,0.16688877,2.99247243
-5.96398199,6.10375286,0.17664186,0.09259881,1.06065803,0.76534972,2.02216147,0.70771215,0.16459832,2.97981198
-5.95797899,6.09085961,0.18165191,0.09347057,1.06467789,0.76717326,2.01741639,0.71618920,0.16191183,2.96327939
-5.95197599,6.06962847,0.18625034,0.09404610,1.06686947,0.76831895,2.01007778,0.72357759,0.15882825,2.94323167
-5.94597299,6.04034913,0.19037498,0.09432994,1.06730219,0.76867583,2.00033138,0.72985837,0.15535060,2.92000099
-5.93996998,6.00329457,0.19397293,0.09433070,1.06605398,0.76812909,1.98831852,0.73502106,0.15148652,2.89388349
-5.93396698,5.95870921,0.19700106,0.09406045,1.06320657,0.76656263,1.97413300,0.73906165,0.14724874,2.86513035
-5.92796398,5.90679977,0.19942631,0.09353394,1.05884097,0.76386214,1.95782077,0.74198018,0.14265538,2.83394123
-5.92196098,5.84772864,0.20122562,0.09276781,1.05303301,0.75991846,1.93938210,0.74377788,0.13773009,2.80045997
-5.91595798,5.78160977,0.20238561,0.09177979,1.04584935,0.75463091,1.91877606,0.74445431,0.13250204,2.76477263
-5.90995498,5.70850709,0.20290193,0.09058793,1.03734395,0.74791055,1.89592681,0.74400449,0.12700558,2.72690772
-5.90395198,5.62843533,0.20277841,0.08920991,1.02755527,0.73968306,1.87073135,0.74241638,0.12127973,2.68683871
-5.89794897,5.54136362,0.20202598,0.08766242,1.01650434,0.72989124,1.84306834,0.73966893,0.11536753,2.64448865
-5.89194597,5.44722177,0.20066157,0.08596072,1.00419389,0.71849694,1.81280762,0.73573095,0.10931509,2.59973688
-5.88594297,5.34590958,0.19870682,0.08411831,0.99060850,0.70548245,1.77981989,0.73056092,0.10317066,2.55242773
-5.87993997,5.23730899,0.19618691,0.08214677,0.97571612,0.69085128,1.74398644,0.72410788,0.09698345,2.50238112
-5.87393697,5.12129930,0.19312951,0.08005579,0.95947070,0.67462851,1.70520844,0.71631358,0.09080264,2.44940474
