energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.25810290,0.02153150,0.30110943,2.75728184,1.30460781,0.00521373,1.12118174,0.79334246,0.31349108
-5.99399700,3.16005994,0.02207694,0.28622024,2.67289278,1.24589991,0.00504943,1.10820363,0.79232538,0.30257725
-5.98799400,3.06761608,0.02256409,0.27256633,2.59520993,1.18960606,0.00491931,1.09669989,0.79190035,0.29222246
-5.98199100,2.98178179,0.02298811,0.26024031,2.52488551,1.13629322,0.00482117,1.08690461,0.79217295,0.28254331
-5.97598799,2.90337835,0.02334543,0.24930580,2.46238031,1.08645121,0.00475282,1.07898830,0.79320667,0.27363937
-5.96998499,2.83303099,0.02363377,0.23979939,2.40796491,1.04048961,0.00471212,1.07305353,0.79502065,0.26559259
-5.96398199,2.77116871,0.02385202,0.23173327,2.36172631,0.99873741,0.00469713,1.06913276,0.79758901,0.25846725
-5.95797899,2.71803059,0.02400014,0.22509854,2.32357965,0.96144519,0.00470614,1.06718893,0.80084198,0.25231053
-5.95197599,2.67367846,0.02407896,0.21986898,2.29328484,0.92878973,0.00473776,1.06711864,0.80466889,0.24715347
-5.94597299,2.63801559,0.02409002,0.21600497,2.27046768,0.90088080,0.00479103,1.06875810,0.80892298,0.24301239
-5.93996998,2.61081056,0.02403541,0.21345772,2.25464475,0.87776972,0.00486543,1.07189169,0.81342794,0.23989057
-5.93396698,2.59172549,0.02391751,0.21217322,2.24525136,0.85945938,0.00496098,1.07626283,0.81798611,0.23778027
-5.92796398,2.58034730,0.02373891,0.21209616,2.24167149,0.84591505,0.00507823,1.08158683,0.82238782,0.23666484
-5.92196098,2.57622076,0.02350222,0.21317328,2.24326870,0.83707553,0.00521834,1.08756524,0.82642172,0.23652090
-5.91595798,2.57888148,0.02320999,0.21535635,2.24941661,0.83286398,0.00538305,1.09390091,0.82988555,0.23732051
-5.90995498,2.58788742,0.02286465,0.21860437,2.25952768,0.83319785,0.00557462,1.10031324,0.83259678,0.23903318
-5.90395198,2.60284696,0.02246849,0.22288508,2.27307885,0.83799725,0.00579583,1.10655268,0.83440267,0.24162762
-5.89794897,2.62344201,0.02202365,0.22817551,2.28963277,0.84719130,0.00604987,1.11241387,0.83518914,0.24507320
-5.89194597,2.64944468,0.02153221,0.23446178,2.30885339,0.86072194,0.00634022,1.11774648,0.83488796,0.24934093
-5.88594297,2.68072627,0.02099625,0.24173786,2.33051494,0.87854489,0.00667050,1.12246337,0.83348179,0.25440401
-5.87993997,2.71725786,0.02041794,0.25000347,2.35450374,0.90062767,0.00704434,1.12654524,0.83100675,0.26023785
-5.87393697,2.75910210,0.01979962,0.25926121,2.38081230,0.92694449,0.00746510,1.13004174,0.82755223,0.26681943
-5.86793397,2.80639639,0.01914394,0.26951298,2.40952610,0.95746846,0.00793574,1.13306860,0.82325797,0.27412631
-5.86193097,2.85932815,0.01845390,0.28075582,2.44080333,0.99216129,0.00845853,1.13580114,0.81830840,0.28213497
-5.85592796,2.91810343,0.01773291,0.29297750,2.47484877,1.03096115,0.00903487,1.13846416,0.81292453,0.29081887
-5.84992496,2.98291051,0.01698485,0.30615198,2.51188296,1.07376948,0.00966503,1.14131898,0.80735370,0.30014618
-5.84392196,3.05388070,0.01621406,0.32023505,2.55210856,1.12043748,0.01034795,1.14464814,0.80185788,0.31007731
-5.83791896,3.13104861,0.01542531,0.33516043,2.59567561,1.17075330,0.01108112,1.14873859,0.79670088,0.32056258
-5.83191596,3.21431455,0.01462373,0.35083656,2.64264796,1.22443086,0.01186040,1.15386441,0.79213534,0.33153997
-5.82591296,3.30341141,0.01381475,0.36714442,2.69297280,1.28110129,0.01267999,1.16026986,0.78839012,0.34293333
-5.81990995,3.39787851,0.01300397,0.38393646,2.74645527,1.34030763,0.01353239,1.16815387,0.78565878,0.35465110
-5.81390695,3.49704435,0.01219706,0.40103689,2.80273992,1.40150371,0.01440851,1.17765664,0.78408972,0.36658579
-5.80790395,3.60001980,0.01139964,0.41824347,2.86130036,1.46405739,0.01529776,1.18884923,0.78377853,0.37861423
-5.80190095,3.70570272,0.01061712,0.43533068,2.92143789,1.52725857,0.01618830,1.20172668,0.78476302,0.39059876
-5.79589795,3.81279431,0.00985460,0.45205432,2.98228980,1.59033180,0.01706730,1.21620497,0.78702099,0.40238934
-5.78989495,3.91982678,0.00911677,0.46815744,3.04284685,1.65245308,0.01792128,1.23212195,0.79047099,0.41382652
-5.78389195,4.02520138,0.00840780,0.48337716,3.10197969,1.71277045,0.01873649,1.24924236,0.79497593,0.42474536
-5.77788894,4.12723512,0.00773130,0.49745241,3.15847266,1.77042722,0.01949934,1.26726635,0.80034940,0.43497985
-5.77188594,4.22421395,0.00709023,0.51013199,3.21106380,1.82458706,0.02019683,1.28584131,0.80636422,0.44436803
-5.76588294,4.31445012,0.00648692,0.52118270,3.25848889,1.87445969,0.02081696,1.30457629,0.81276290,0.45275731
-5.75987994,4.39634072,0.00592306,0.53039716,3.29952761,1.91932592,0.02134913,1.32305828,0.81926951,0.46000985
-5.75387694,4.46842489,0.00539971,0.53760090,3.33304964,1.95856095,0.02178449,1.34086961,0.82560220,0.46600786
-5.74787394,4.52943692,0.00491737,0.54265839,3.35805846,1.99165482,0.02211622,1.35760573,0.83148611,0.47065838
-5.74187094,4.57835291,0.00447602,0.54547781,3.37373110,2.01822893,0.02233975,1.37289251,0.83666585,0.47389751
-5.73586793,4.61442906,0.00407520,0.54601422,3.37945191,2.03804825,0.02245287,1.38640246,0.84091721,0.47569382
-5.72986493,4.63723013,0.00371411,0.54427109,3.37483921,2.05102831,0.02245574,1.39786929,0.84405760,0.47605075
-5.72386193,4.64664710,0.00339168,0.54030013,3.35976372,2.05723722,0.02235086,1.40710015,0.84595490,0.47500806
-5.71785893,4.64290373,0.00310668,0.53419945,3.33435832,2.05689242,0.02214290,1.41398550,0.84653439,0.47264203
-5.71185593,4.62655218,0.00285778,0.52611018,3.29901889,2.05035270,0.02183844,1.41850600,0.84578369,0.46906471
-5.70585293,4.59845824,0.00264370,0.51621182,3.25439663,2.03810594,0.02144573,1.42073652,0.84375543,0.46442194
-5.69984992,4.55977742,0.00246321,0.50471641,3.20138225,2.02075322,0.02097432,1.42084721,0.84056779,0.45889055
-5.69384692,4.51192287,0.00231528,0.49186204,3.14108300,1.99899020,0.02043468,1.41910146,0.83640285,0.45267456
-5.68784392,4.45652690,0.00219910,0.47790579,3.07479348,1.97358650,0.01983788,1.41585111,0.83150280,0.44600065
-5.68184092,4.39539746,0.00211411,0.46311657,3.00396137,1.94536401,0.01919515,1.41152882,0.82616420,0.43911309
-5.67583792,4.33047113,0.00206009,0.44776800,2.93014930,1.91517490,0.01851763,1.40663787,0.82073040,0.43226815
-5.66983492,4.26376397,0.00203712,0.43213171,2.85499401,1.88387996,0.01781598,1.40173961,0.81558226,0.42572817
-5.66383192,4.19732157,0.00204563,0.41647117,2.78016391,1.85232805,0.01710024,1.39743867,0.81112747,0.41975549
-5.65782891,4.13316930,0.00208632,0.40103622,2.70731615,1.82133682,0.01637955,1.39436634,0.80778852,0.41460629
-5.65182591,4.07326376,0.00216017,0.38605836,2.63805409,1.79167534,0.01566208,1.39316228,0.80598981,0.41052448
-5.64582291,4.01944615,0.00226838,0.37174695,2.57388623,1.76404864,0.01495493,1.39445505,0.80614396,0.40773579
-5.63981991,3.97339829,0.00241225,0.35828618,2.51618718,1.73908439,0.01426414,1.39884174,0.80863777,0.40644207
-5.63381691,3.93660197,0.00259311,0.34583283,2.46616171,1.71732169,0.01359467,1.40686735,0.81381816,0.40681602
-5.62781391,3.91030220,0.00281222,0.33451480,2.42481244,1.69920214,0.01295048,1.41900435,0.82197854,0.40899639
-5.62181091,3.89547508,0.00307063,0.32443027,2.39291200,1.68506290,0.01233463,1.43563321,0.83334590,0.41308374
-5.61580790,3.89280100,0.00336904,0.31564746,2.37098035,1.67513211,0.01174931,1.45702439,0.84806926,0.41913693
-5.60980490,3.90264388,0.00370766,0.30820489,2.35926795,1.66952633,0.01119602,1.48332273,0.86620990,0.42717048
-5.60380190,3.92503732,0.00408609,0.30211212,2.35774546,1.66825022,0.01067560,1.51453481,0.88773370,0.43715277
-5.59779890,3.95967834,0.00450318,0.29735096,2.36610058,1.67119854,0.01018831,1.55052005,0.91250621,0.44900538
-5.59179590,4.00592951,0.00495692,0.29387703,2.38374250,1.67816037,0.00973396,1.59098607,0.94029067,0.46260347
-5.58579290,4.06282993,0.00544433,0.29162180,2.40981423,1.68882576,0.00931192,1.63548896,0.97074936,0.47777741
-5.57978989,4.12911549,0.00596143,0.29049501,2.44321309,1.70279475,0.00892116,1.68343851,1.00344836,0.49431564
-5.57378689,4.20324841,0.00650320,0.29038756,2.48261908,1.71958872,0.00856031,1.73410886,1.03786588,0.51196870
-5.56778389,4.28345583,0.00706358,0.29117482,2.52653069,1.73866403,0.00822769,1.78665413,1.07340383,0.53045451
-5.56178089,4.36777677,0.00763555,0.29272035,2.57330753,1.75942771,0.00792132,1.84012899,1.10940267,0.54946459
-5.55577789,4.45411634,0.00821121,0.29488009,2.62121856,1.78125490,0.00763894,1.89351333,1.14515884,0.56867138
-5.54977489,4.54030584,0.00878197,0.29750680,2.66849461,1.80350771,0.00737810,1.94574054,1.17994436,0.58773609
-5.54377189,4.62416684,0.00933868,0.30045485,2.71338343,1.82555497,0.00713612,1.99572801,1.21302781,0.60631720
-5.53776888,4.70357716,0.00987192,0.30358510,2.75420540,1.84679228,0.00691022,2.04240920,1.24369603,0.62407914
-5.53176588,4.77653642,0.01037221,0.30676982,2.78940794,1.86666173,0.00669752,2.08476557,1.27127558,0.64070082
-5.52576288,4.84122874,0.01083030,0.30989746,2.81761637,1.88467064,0.00649516,2.12185745,1.29515312,0.65588393
-5.51975988,4.89608021,0.01123745,0.31287707,2.83767935,1.90040858,0.00630035,2.15285249,1.31479394,0.66936053
-5.51375688,4.93980871,0.01158573,0.31564225,2.84870685,1.91356205,0.00611046,2.17705049,1.32975777,0.68089972
-5.50775388,4.97146428,0.01186824,0.31815434,2.85009923,1.92392609,0.00592311,2.19390373,1.33971141,0.69031317
-5.50175088,4.99045816,0.01207937,0.32040482,2.84156605,1.93141250,0.00573622,2.20303195,1.34443737,0.69745931
-5.49574787,4.99657945,0.01221496,0.32241666,2.82313385,1.93605397,0.00554809,2.20423147,1.34383861,0.70224599
-5.48974487,4.98999844,0.01227250,0.32424460,2.79514245,1.93800414,0.00535748,2.19747813,1.33793879,0.70463166
-5.48374187,4.97125675,0.01225114,0.32597416,2.75823010,1.93753324,0.00516361,2.18292411,1.32687851,0.70462487
-5.47773887,4.94124432,0.01215176,0.32771950,2.71330784,1.93501939,0.00496620,2.16088881,1.31090753,0.70228233
-5.47173587,4.90116440,0.01197691,0.32962002,2.66152448,1.93093592,0.00476549,2.13184446,1.29037344,0.69770543
