energy_ev,total_up,As_p_up,As_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.14611298,0.60822861,0.00000000,2.97370782,2.40281917,0.01606482,0.89839236
-5.99399700,4.09429495,0.59935005,0.00000000,2.89741621,2.38346235,0.01582171,0.88317225
-5.98799400,4.03230190,0.58977081,0.00000000,2.81397319,2.35846686,0.01554779,0.86545066
-5.98199100,3.96114521,0.57957402,0.00000000,2.72425816,2.32836946,0.01524447,0.84552811
-5.97598799,3.88201676,0.56885416,0.00000000,2.62923911,2.29381860,0.01491390,0.82374352
-5.96998499,3.79626192,0.55771680,0.00000000,2.52995444,2.25555998,0.01455887,0.80046539
-5.96398199,3.70534858,0.54627786,0.00000000,2.42749270,2.21441922,0.01418279,0.77608253
-5.95797899,3.61083342,0.53466234,0.00000000,2.32297099,2.17128265,0.01378960,0.75099461
-5.95197599,3.51432672,0.52300272,0.00000000,2.21751263,2.12707691,0.01338370,0.72560291
-5.94597299,3.41745728,0.51143696,0.00000000,2.11222518,2.08274827,0.01296986,0.70030170
-5.93996998,3.32183868,0.50010622,0.00000000,2.00817930,2.03924239,0.01255314,0.67547045
-5.93396698,3.22903814,0.48915249,0.00000000,1.90638945,1.99748555,0.01213880,0.65146716
-5.92796398,3.14054915,0.47871611,0.00000000,1.80779688,1.95836776,0.01173222,0.62862310
-5.92196098,3.05776844,0.46893339,0.00000000,1.71325545,1.92272842,0.01133883,0.60723884
-5.91595798,2.98197802,0.45993433,0.00000000,1.62352076,1.89134490,0.01096405,0.58758180
-5.90995498,2.91433231,0.45184063,0.00000000,1.53924262,1.86492410,0.01061322,0.56988518
-5.90395198,2.85585040,0.44476392,0.00000000,1.46096086,1.84409703,0.01029153,0.55434819
-5.89794897,2.80741285,0.43880433,0.00000000,1.38910460,1.82941613,0.01000404,0.54113728
-5.89194597,2.76976251,0.43404929,0.00000000,1.32399425,1.82135498,0.00975558,0.53038831
-5.88594297,2.74350833,0.43057273,0.00000000,1.26584625,1.82030973,0.00955071,0.52220923
-5.87993997,2.72913120,0.42843442,0.00000000,1.21477977,1.82660170,0.00939373,0.51668296
-5.87393697,2.72699059,0.42767956,0.00000000,1.17082487,1.84048044,0.00928858,0.51387035
-5.86793397,2.73733107,0.42833844,0.00000000,1.13393167,1.86212650,0.00923881,0.51381269
-5.86193097,2.76028752,0.43042623,0.00000000,1.10397971,1.89165322,0.00924751,0.51653367
-5.85592796,2.79588828,0.43394269,0.00000000,1.08078737,1.92910722,0.00931725,0.52204058
-5.84992496,2.84405563,0.43887195,0.00000000,1.06412054,1.97446695,0.00944996,0.53032451
-5.84392196,2.90460333,0.44518216,0.00000000,1.05370058,2.02763923,0.00964688,0.54135969
-5.83791896,2.97723117,0.45282509,0.00000000,1.04921116,2.08845390,0.00990843,0.55510177
-5.83191596,3.06151695,0.46173574,0.00000000,1.05030405,2.15665668,0.01023415,0.57148534
-5.82591296,3.15690652,0.47183189,0.00000000,1.05660385,2.23190075,0.01062256,0.59042079
-5.81990995,3.26270286,0.48301380,0.00000000,1.06771185,2.31373780,0.01107111,0.61179076
-5.81390695,3.37805533,0.49516396,0.00000000,1.08320929,2.40160919,0.01157610,0.63544660
