energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-1.15557779,2.11827425,0.00761236,0.00898205,0.06955741,0.00000000,0.23798453,0.63231446,0.57581038,1.43288847
-1.14957479,2.13783183,0.00769788,0.00922769,0.07024677,0.00000000,0.24285345,0.65723872,0.57212174,1.42139142
-1.14357179,2.15662303,0.00775400,0.00952077,0.07118935,0.00000000,0.24760975,0.68229502,0.56842844,1.40890783
-1.13756878,2.17463425,0.00778279,0.00986523,0.07242629,0.00000000,0.25218030,0.70712474,0.56490244,1.39583714
-1.13156578,2.19187825,0.00778703,0.01026484,0.07399720,0.00000000,0.25649329,0.73135942,0.56172996,1.38260717
-1.12556278,2.20839984,0.00776995,0.01072312,0.07593954,0.00000000,0.26048050,0.75463095,0.55910996,1.36966911
-1.11955978,2.22428080,0.00773516,0.01124329,0.07828796,0.00000000,0.26407960,0.77658197,0.55725205,1.35749199
-1.11355678,2.23964348,0.00768646,0.01182823,0.08107379,0.00000000,0.26723639,0.79687593,0.55637389,1.34655649
-1.10755378,2.25465224,0.00762762,0.01248038,0.08432467,0.00000000,0.26990667,0.81520649,0.55669782,1.33734782
-1.10155078,2.26951253,0.00756224,0.01320175,0.08806417,0.00000000,0.27205788,0.83130586,0.55844680,1.33034767
-1.09554777,2.28446726,0.00749357,0.01399384,0.09231167,0.00000000,0.27367028,0.84495168,0.56183961,1.32602497
-1.08954477,2.29979038,0.00742437,0.01485763,0.09708230,0.00000000,0.27473763,0.85597233,0.56708543,1.32482566
-1.08354177,2.31577787,0.00735682,0.01579358,0.10238703,0.00000000,0.27526736,0.86425041,0.57437792,1.32716164
-1.07753877,2.33273655,0.00729240,0.01680169,0.10823283,0.00000000,0.27528023,0.86972449,0.58388911,1.33339922
-1.07153577,2.35097126,0.00723189,0.01788146,0.11462296,0.00000000,0.27480951,0.87238899,0.59576310,1.34384734
-1.06553277,2.37077113,0.00717534,0.01903201,0.12155729,0.00000000,0.27389970,0.87229260,0.61011020,1.35874633
-1.05952976,2.39239583,0.00712215,0.02025214,0.12903260,0.00000000,0.27260489,0.86953511,0.62700156,1.37825749
-1.05352676,2.41606247,0.00707110,0.02154040,0.13704287,0.00000000,0.27098683,0.86426323,0.64646454,1.40245420
-1.04752376,2.44193407,0.00702049,0.02289518,0.14557938,0.00000000,0.26911284,0.85666550,0.66847936,1.43131501
-1.04152076,2.47011021,0.00696829,0.02431477,0.15463073,0.00000000,0.26705354,0.84696656,0.69297685,1.46471914
-1.03551776,2.50062032,0.00691224,0.02579745,0.16418259,0.00000000,0.26488062,0.83542117,0.71983769,1.50244481
-1.02951476,2.53342000,0.00685002,0.02734146,0.17421717,0.00000000,0.26266466,0.82230810,0.74889317,1.54417043
-1.02351176,2.56839039,0.00677943,0.02894500,0.18471252,0.00000000,0.26047301,0.80792413,0.77992730,1.58947883
-1.01750875,2.60534047,0.00669852,0.03060614,0.19564137,0.00000000,0.25836784,0.79257827,0.81268038,1.63786441
-1.01150575,2.64401205,0.00660568,0.03232272,0.20696994,0.00000000,0.25640442,0.77658630,0.84685372,1.68874288
-1.00550275,2.68408698,0.00649980,0.03409208,0.21865639,0.00000000,0.25462954,0.76026560,0.88211543,1.74146339
-0.99949975,2.72519595,0.00638027,0.03591091,0.23064927,0.00000000,0.25308022,0.74393034,0.91810701,1.79532243
-0.99349675,2.76692841,0.00624706,0.03777491,0.24288596,0.00000000,0.25178258,0.72788688,0.95445042,1.84957916
-0.98749375,2.80884298,0.00610069,0.03967848,0.25529124,0.00000000,0.25075104,0.71242946,0.99075559,1.90347157
-0.98149075,2.85047786,0.00594222,0.04161442,0.26777621,0.00000000,0.24998772,0.69783603,1.02662792,1.95623302
-0.97548774,2.89136084,0.00577320,0.04357362,0.28023757,0.00000000,0.24948213,0.68436423,1.06167580,2.00710861
-0.96948474,2.93101856,0.00559551,0.04554482,0.29255761,0.00000000,0.24921120,0.67224743,1.09551783,2.05537105
-0.96348174,2.96898495,0.00541136,0.04751442,0.30460475,0.00000000,0.24913964,0.66169105,1.12778971,2.10033568
-0.95747874,3.00480882,0.00522309,0.04946640,0.31623503,0.00000000,0.24922057,0.65286900,1.15815072,2.14137429
-0.95147574,3.03806052,0.00503309,0.05138236,0.32729428,0.00000000,0.24939666,0.64592038,1.18628959,2.17792748
-0.94547274,3.06833797,0.00484367,0.05324170,0.33762125,0.00000000,0.24960151,0.64094669,1.21192991,2.20951557
-0.93946973,3.09527209,0.00465699,0.05502191,0.34705140,0.00000000,0.24976153,0.63800945,1.23483483,2.23574758
-0.93346673,3.11853177,0.00447488,0.05669906,0.35542138,0.00000000,0.24979808,0.63712859,1.25481109,2.25632850
-0.92746373,3.13782852,0.00429889,0.05824835,0.36257401,0.00000000,0.24962997,0.63828149,1.27171227,2.27106438
-0.92146073,3.15292079,0.00413012,0.05964485,0.36836345,0.00000000,0.24917616,0.64140302,1.28544112,2.27986537
-0.91545773,3.16361785,0.00396929,0.06086423,0.37266045,0.00000000,0.24835860,0.64638638,1.29595099,2.28274651
-0.90945473,3.16978313,0.00381669,0.06188363,0.37535738,0.00000000,0.24710518,0.65308507,1.30324610,2.27982602
-0.90345173,3.17133689,0.00367221,0.06268247,0.37637265,0.00000000,0.24535246,0.66131575,1.30738066,2.27132136
-0.89744872,3.16825781,0.00353540,0.06324323,0.37565450,0.00000000,0.24304835,0.67086200,1.30845677,2.25754266
-0.89144572,3.16058346,0.00340549,0.06355220,0.37318373,0.00000000,0.24015433,0.68147907,1.30662094,2.23888388
-0.88544272,3.14840930,0.00328152,0.06360006,0.36897542,0.00000000,0.23664726,0.69289921,1.30205951,2.21581172
-0.87943972,3.13188624,0.00316233,0.06338234,0.36307928,0.00000000,0.23252073,0.70483769,1.29499281,2.18885256
-0.87343672,3.11121661,0.00304673,0.06289971,0.35557883,0.00000000,0.22778564,0.71699926,1.28566841,2.15857778
-0.86743372,3.08664874,0.00293351,0.06215803,0.34658936,0.00000000,0.22247033,0.72908487,1.27435356,2.12558802
-0.86143072,3.05847032,0.00282153,0.06116828,0.33625463,0.00000000,0.21661991,0.74079848,1.26132733,2.09049689
-0.85542771,3.02700098,0.00270980,0.05994629,0.32474278,0.00000000,0.21029507,0.75185385,1.24687251,2.05391478
-0.84942471,2.99258441,0.00259748,0.05851221,0.31224128,0.00000000,0.20357027,0.76198105,1.23126793,2.01643344
-0.84342171,2.95558057,0.00248398,0.05689000,0.29895154,0.00000000,0.19653158,0.77093271,1.21478137,1.97861208
-0.83741871,2.91635853,0.00236891,0.05510665,0.28508318,0.00000000,0.18927403,0.77848965,1.19766359,1.94096539
-0.83141571,2.87529034,0.00225215,0.05319143,0.27084834,0.00000000,0.18189892,0.78446600,1.18014353,1.90395430
-0.82541271,2.83274633,0.00213378,0.05117506,0.25645629,0.00000000,0.17451089,0.78871359,1.16242516,1.86797948
-0.81940970,2.78909213,0.00201414,0.04908886,0.24210859,0.00000000,0.16721517,0.79112547,1.14468590,1.83337818
-0.81340670,2.74468748,0.00189371,0.04696404,0.22799487,0.00000000,0.16011494,0.79163862,1.12707671,1.80042407
-0.80740370,2.69988684,0.00177316,0.04483088,0.21428956,0.00000000,0.15330897,0.79023575,1.10972373,1.76933017
-0.80140070,2.65504151,0.00165325,0.04271822,0.20114947,0.00000000,0.14688965,0.78694601,1.09273123,1.74025436
-0.79539770,2.61050292,0.00153484,0.04065287,0.18871238,0.00000000,0.14094141,0.78184479,1.07618564,1.71330711
-0.78939470,2.56662669,0.00141878,0.03865923,0.17709649,0.00000000,0.13553959,0.77505237,1.06016024,1.68856066
-0.78339170,2.52377682,0.00130596,0.03675904,0.16640080,0.00000000,0.13074972,0.76673170,1.04472016,1.66605908
-0.77738869,2.48232938,0.00119720,0.03497119,0.15670611,0.00000000,0.12662727,0.75708499,1.02992730,1.64582840
-0.77138569,2.44267530,0.00109325,0.03331168,0.14807668,0.00000000,0.12321769,0.74634947,1.01584467,1.62788622
-0.76538269,2.40522159,0.00099479,0.03179369,0.14056219,0.00000000,0.12055684,0.73479224,1.00254005,1.61225006
-0.75937969,2.37039070,0.00090236,0.03042763,0.13419999,0.00000000,0.11867153,0.72270428,0.99008843,1.59894405
-0.75337669,2.33861765,0.00081640,0.02922138,0.12901728,0.00000000,0.11758033,0.71039386,0.97857335,1.58800350
-0.74737369,2.31034487,0.00073721,0.02818043,0.12503321,0.00000000,0.11729433,0.69817943,0.96808675,1.57947717
-0.74137069,2.28601476,0.00066497,0.02730816,0.12226062,0.00000000,0.11781797,0.68638203,0.95872767,1.57342714
-0.73536768,2.26606013,0.00059974,0.02660602,0.12070740,0.00000000,0.11914968,0.67531766,0.95059962,1.56992644
-0.72936468,2.25089275,0.00054148,0.02607376,0.12037731,0.00000000,0.12128250,0.66528951,0.94380694,1.56905449
-0.72336168,2.24089051,0.00049004,0.02570961,0.12127023,0.00000000,0.12420437,0.65658036,0.93845035,1.57089086
-0.71735868,2.23638355,0.00044521,0.02551041,0.12338181,0.00000000,0.12789826,0.64944534,0.93462195,1.57550758
-0.71135568,2.23763994,0.00040671,0.02547176,0.12670263,0.00000000,0.13234209,0.64410507,0.93239988,1.58296055
-0.70535268,2.24485141,0.00037420,0.02558803,0.13121678,0.00000000,0.13750835,0.64073956,0.93184300,1.59328044
-0.69934967,2.25811972,0.00034736,0.02585243,0.13690008,0.00000000,0.14336353,0.63948279,0.93298583,1.60646364
-0.69334667,2.27744419,0.00032581,0.02625696,0.14371802,0.00000000,0.14986742,0.64041827,0.93583396,1.62246355
-0.68734367,2.30271096,0.00030922,0.02679241,0.15162358,0.00000000,0.15697225,0.64357557,0.94036006,1.64118281
-0.68134067,2.33368446,0.00029727,0.02744826,0.16055503,0.00000000,0.16462184,0.64892811,0.94650091,1.66246678
-0.67533767,2.37000163,0.00028970,0.02821262,0.17043404,0.00000000,0.17275076,0.65639215,0.95415522,1.68609855
