energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.71949359,0.31545246,1.27808914,0.00147799,0.12609520,0.17417810,0.00000000,0.21159144,0.01776973
-5.99399700,1.63792064,0.30018784,1.21241991,0.00138599,0.12081749,0.16727046,0.00000000,0.20282114,0.01712781
-5.98799400,1.55676575,0.28463666,1.14693517,0.00129762,0.11522721,0.16076706,0.00000000,0.19491378,0.01655400
-5.98199100,1.47721965,0.26911232,1.08248358,0.00121420,0.10941919,0.15481812,0.00000000,0.18800235,0.01606248
-5.97598799,1.40044302,0.25392307,1.01987352,0.00113704,0.10348813,0.14957562,0.00000000,0.18222950,0.01566831
-5.96998499,1.32754611,0.23936548,0.95986111,0.00106744,0.09752637,0.14519018,0.00000000,0.17774395,0.01538699
-5.96398199,1.25957065,0.22571859,0.90314071,0.00100668,0.09162197,0.14180782,0.00000000,0.17469634,0.01523402
-5.95797899,1.19747437,0.21323877,0.85033784,0.00095595,0.08585697,0.13956672,0.00000000,0.17323475,0.01522438
-5.95197599,1.14211791,0.20215553,0.80200435,0.00091640,0.08030615,0.13859395,0.00000000,0.17349980,0.01537201
-5.94597299,1.09425418,0.19266807,0.75861563,0.00088911,0.07503596,0.13900221,0.00000000,0.17561953,0.01568924
-5.93996998,1.05451969,0.18494270,0.72056953,0.00087506,0.07010386,0.14088664,0.00000000,0.17970416,0.01618632
-5.93396698,1.02342789,0.17911095,0.68818658,0.00087516,0.06555796,0.14432171,0.00000000,0.18584086,0.01687088
-5.92796398,1.00136409,0.17526850,0.66171135,0.00089023,0.06143684,0.14935825,0.00000000,0.19408858,0.01774743
-5.92196098,0.98858181,0.17347459,0.64131443,0.00092102,0.05776973,0.15602075,0.00000000,0.20447323,0.01881691
-5.91595798,0.98520060,0.17375208,0.62709499,0.00096824,0.05457671,0.16430497,0.00000000,0.21698336,0.02007633
-5.90995498,0.99120533,0.17608808,0.61908366,0.00103251,0.05186917,0.17417597,0.00000000,0.23156648,0.02151847
-5.90395198,1.00644698,0.18043499,0.61724570,0.00111443,0.04965030,0.18556682,0.00000000,0.24812631,0.02313163
-5.89794897,1.03064527,0.18671210,0.62148439,0.00121457,0.04791570,0.19837793,0.00000000,0.26652116,0.02489958
-5.89194597,1.06339336,0.19480767,0.63164476,0.00133347,0.04665401,0.21247727,0.00000000,0.28656361,0.02680159
-5.88594297,1.10416483,0.20458148,0.64751777,0.00147166,0.04584762,0.22770157,0.00000000,0.30802167,0.02881263
-5.87993997,1.15232326,0.21586800,0.66884490,0.00162963,0.04547342,0.24385848,0.00000000,0.33062153,0.03090370
-5.87393697,1.20713449,0.22847990,0.69532339,0.00180789,0.04550348,0.26072991,0.00000000,0.35405200,0.03304239
-5.86793397,1.26778162,0.24221228,0.72661206,0.00200689,0.04590594,0.27807636,0.00000000,0.37797059,0.03519348
-5.86193097,1.33338257,0.25684714,0.76233785,0.00222704,0.04664576,0.29564228,0.00000000,0.40201104,0.03731978
-5.85592796,1.40300993,0.27215841,0.80210280,0.00246866,0.04768560,0.31316232,0.00000000,0.42579237,0.03938309
-5.84992496,1.47571262,0.28791719,0.84549156,0.00273198,0.04898675,0.33036824,0.00000000,0.44892884,0.04134514
-5.84392196,1.55053863,0.30389710,0.89207912,0.00301706,0.05050996,0.34699631,0.00000000,0.47104075,0.04316873
-5.83791896,1.62655822,0.31987976,0.94143851,0.00332374,0.05221641,0.36279489,0.00000000,0.49176560,0.04481881
-5.83191596,1.70288654,0.33565995,0.99314826,0.00365165,0.05406862,0.37753191,0.00000000,0.51076904,0.04626352
