energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,42.00572565,0.22719415,0.02043558,0.95061345,0.09951182,1.24815602,0.70924865,40.48705527
-5.99399700,41.73328363,0.22478845,0.02080832,0.90956681,0.09721492,1.23950430,0.70689370,40.24421746
-5.98799400,41.41857089,0.22254698,0.02115176,0.86755696,0.09485007,1.23077966,0.70336924,39.95814719
-5.98199100,41.07174538,0.22048329,0.02147067,0.82505804,0.09245698,1.22212967,0.69878425,39.63873206
-5.97598799,40.70295521,0.21860169,0.02177039,0.78251729,0.09007537,1.21367042,0.69325941,39.29589334
-5.96998499,40.32218365,0.21689774,0.02205653,0.74034601,0.08774424,1.20548734,0.68692446,38.93943341
-5.96398199,39.93911252,0.21535906,0.02233480,0.69891242,0.08550124,1.19763730,0.67991561,38.57889981
-5.95797899,39.56300345,0.21396633,0.02261072,0.65853641,0.08338207,1.19015182,0.67237297,38.22346523
-5.95197599,39.20259490,0.21269455,0.02288947,0.61948657,0.08141995,1.18304100,0.66443807,37.88182168
-5.94597299,38.86601186,0.21151431,0.02317562,0.58197905,0.07964524,1.17629811,0.65625160,37.56208592
-5.93996998,38.56068454,0.21039324,0.02347307,0.54617847,0.07808509,1.16990425,0.64795123,37.27171248
-5.93396698,38.29327178,0.20929735,0.02378489,0.51220049,0.07676309,1.16383302,0.63966974,37.01741089
-5.92796398,38.06958571,0.20819240,0.02411323,0.48011570,0.07569911,1.15805472,0.63153320,36.80506351
-5.92196098,37.89451467,0.20704513,0.02445936,0.44995466,0.07490900,1.15253982,0.62365947,36.63964180
-5.91595798,37.77194286,0.20582433,0.02482365,0.42171364,0.07440445,1.14726155,0.61615663,36.52511975
-5.90995498,37.70466677,0.20450172,0.02520564,0.39536069,0.07419280,1.14219740,0.60912164,36.46438495
-5.90395198,37.69431033,0.20305268,0.02560416,0.37084176,0.07427681,1.13732938,0.60263903,36.45914946
-5.89794897,37.74124236,0.20145666,0.02601740,0.34808653,0.07465458,1.13264325,0.59677964,36.50986456
-5.89194597,37.84450205,0.19969749,0.02644311,0.32701374,0.07531932,1.12812656,0.59159942,36.61564475
-5.88594297,38.00173912,0.19776341,0.02687870,0.30753586,0.07625929,1.12376587,0.58713831,36.77420812
-5.87993997,38.20917668,0.19564694,0.02732141,0.28956283,0.07745772,1.11954342,0.58341929,36.98184056
-5.87393697,38.46160479,0.19334460,0.02776843,0.27300510,0.07889290,1.11543332,0.58044754,37.23339195
-5.86793397,38.75241278,0.19085649,0.02821705,0.25777561,0.08053826,1.11139799,0.57820987,37.52231170
-5.86193097,39.07366708,0.18818584,0.02866471,0.24379112,0.08236275,1.10738488,0.57667447,37.84073013
-5.85592796,39.41623970,0.18533847,0.02910911,0.23097274,0.08433123,1.10332395,0.57579103,38.17959055
-5.84992496,39.76999027,0.18232223,0.02954824,0.21924589,0.08640520,1.09912626,0.57549131,38.52883419
-5.84392196,40.12400163,0.17914655,0.02998040,0.20853987,0.08854358,1.09468382,0.57569015,38.87763781
-5.83791896,40.46686599,0.17582192,0.03040416,0.19878704,0.09070382,1.08987089,0.57628705,39.21470061
-5.83191596,40.78701529,0.17235953,0.03081840,0.18992203,0.09284306,1.08454677,0.57716821,39.52857380
-5.82591296,41.07308648,0.16877098,0.03122220,0.18188077,0.09491956,1.07856003,0.57820909,39.80802346
-5.81990995,41.31430936,0.16506805,0.03161483,0.17459974,0.09689413,1.07175409,0.57927733,40.04241430
-5.81390695,41.50090238,0.16126256,0.03199566,0.16801538,0.09873169,1.06397369,0.58023608,40.22209997
-5.80790395,41.62446024,0.15736633,0.03236417,0.16206374,0.10040280,1.05507222,0.58094751,40.33880387
-5.80190095,41.67831599,0.15339122,0.03271985,0.15668045,0.10188506,1.04491923,0.58127650,40.38597362
-5.79589795,41.65786047,0.14934917,0.03306222,0.15180089,0.10316444,1.03340783,0.58109417,40.35909263
-5.78989495,41.56080291,0.14525230,0.03339084,0.14736070,0.10423635,1.02046153,0.58028145,40.25593276
-5.78389195,41.38735790,0.14111303,0.03370530,0.14329649,0.10510637,1.00604002,0.57873219,40.07673424
-5.77788894,41.14034704,0.13694419,0.03400530,0.13954664,0.10579068,0.99014364,0.57635595,39.82430144
-5.77188594,40.82520626,0.13275906,0.03429068,0.13605231,0.10631613,0.97281612,0.57308021,39.50400605
-5.76588294,40.44989407,0.12857148,0.03456157,0.13275839,0.10671980,0.95414541,0.56885210,39.12369335
-5.75987994,40.02469981,0.12439576,0.03481842,0.12961446,0.10704817,0.93426261,0.56363931,38.69349096
-5.75387694,39.56195529,0.12024669,0.03506218,0.12657563,0.10735594,0.91333878,0.55743052,38.22552362
-5.74787394,39.07565764,0.11613939,0.03529438,0.12360323,0.10770431,0.89157994,0.55023499,37.73354188
-5.74187094,38.58101485,0.11208913,0.03551727,0.12066536,0.10815906,0.86922040,0.54208162,37.23247609
-5.73586793,38.09392933,0.10811113,0.03573394,0.11773708,0.10878830,0.84651469,0.53301745,36.73793080
-5.72986493,37.63043766,0.10422030,0.03594845,0.11480056,0.10965997,0.82372858,0.52310555,36.26563719
-5.72386193,37.20612697,0.10043096,0.03616591,0.11184482,0.11083938,0.80112941,0.51242266,35.83088365
-5.71785893,36.83554992,0.09675651,0.03639263,0.10886534,0.11238658,0.77897646,0.50105642,35.44794582
-5.71185593,36.53166075,0.09320919,0.03663616,0.10586341,0.11435395,0.75751156,0.48910255,35.12953783
-5.70585293,36.30529476,0.08979974,0.03690541,0.10284534,0.11678395,0.73695050,0.47666192,34.88630632
-5.69984992,36.16471202,0.08653718,0.03721073,0.09982154,0.11970710,0.71747562,0.46383766,34.72638754
-5.69384692,36.11522434,0.08342859,0.03756396,0.09680544,0.12314046,0.69922983,0.45073253,34.65504559
-5.68784392,36.15892147,0.08047894,0.03797852,0.09381244,0.12708640,0.68231244,0.43744650,34.67440741
-5.68184092,36.29450891,0.07769099,0.03846943,0.09085883,0.13153200,0.66677674,0.42407467,34.78330614
-5.67583792,36.51726559,0.07506526,0.03905338,0.08796077,0.13644883,0.65262965,0.41070565,34.97724087
-5.66983492,36.81912488,0.07260005,0.03974872,0.08513332,0.14179341,0.63983323,0.39742030,35.24845601
-5.66383192,37.18887779,0.07029151,0.04057549,0.08238965,0.14750806,0.62830795,0.38429096,35.58613895
-5.65782891,37.61249203,0.06813383,0.04155532,0.07974040,0.15352234,0.61793763,0.37138112,35.97672997
-5.65182591,38.07353597,0.06611941,0.04271138,0.07719314,0.15975483,0.60857563,0.35874549,36.40433357
-5.64582291,38.55369205,0.06423915,0.04406819,0.07475216,0.16611540,0.60005209,0.34643036,36.85121643
-5.63981991,39.03334040,0.06248271,0.04565135,0.07241829,0.17250764,0.59218178,0.33447439,37.29837321
-5.63381691,39.49219028,0.06083886,0.04748722,0.07018907,0.17883155,0.58477220,0.32290946,37.72613871
-5.62781391,39.90993487,0.05929579,0.04960247,0.06805894,0.18498630,0.57763162,0.31176170,38.11482268
-5.62181091,40.26690379,0.05784143,0.05202348,0.06601967,0.19087296,0.57057657,0.30105261,38.44534255
-5.61580790,40.54468785,0.05646382,0.05477564,0.06406088,0.19639712,0.56343854,0.29079997,38.69982959
-5.60980490,40.72671168,0.05515133,0.05788254,0.06217066,0.20147128,0.55606968,0.28101881,38.86218486
-5.60380190,40.79873235,0.05389298,0.06136500,0.06033619,0.20601697,0.54834712,0.27172200,38.91856387
-5.59779890,40.74924536,0.05267864,0.06524006,0.05854441,0.20996643,0.54017591,0.26292065,38.85777207
-5.59179590,40.56978377,0.05149916,0.06951983,0.05678264,0.21326395,0.53149051,0.25462432,38.67155720
-5.58579290,40.25510113,0.05034651,0.07421036,0.05503921,0.21586669,0.52225477,0.24684075,38.35478956
-5.57978989,39.80323409,0.04921386,0.07931048,0.05330386,0.21774506,0.51246051,0.23957546,37.90552607
-5.57378689,39.21544635,0.04809550,0.08481073,0.05156818,0.21888263,0.50212495,0.23283108,37.32495957
-5.56778389,38.49606048,0.04698683,0.09069233,0.04982587,0.21927562,0.49128705,0.22660643,36.61725963
-5.56178089,37.65218942,0.04588428,0.09692647,0.04807283,0.21893202,0.48000311,0.22089561,35.78931594
-5.55577789,36.69338322,0.04478512,0.10347369,0.04630721,0.21787035,0.46834189,0.21568693,34.85039933
-5.54977489,35.63121015,0.04368734,0.11028361,0.04452930,0.21611825,0.45637955,0.21096204,33.81175847
-5.54377189,34.47879313,0.04258943,0.11729506,0.04274130,0.21371083,0.44419462,0.20669515,32.68617263
-5.53776888,33.25032368,0.04149023,0.12443650,0.04094706,0.21068895,0.43186339,0.20285247,31.48748146
-5.53176588,31.96057504,0.04038878,0.13162687,0.03915170,0.20709762,0.41945584,0.19939209,30.23011303
-5.52576288,30.62443519,0.03928411,0.13877691,0.03736129,0.20298429,0.40703235,0.19626407,28.92862963
-5.51975988,29.25647775,0.03817518,0.14579081,0.03558241,0.19839747,0.39464131,0.19341106,27.59730922
-5.51375688,27.87058592,0.03706077,0.15256821,0.03382182,0.19338543,0.38231771,0.19076928,26.24977676
-5.50775388,26.47964055,0.03593948,0.15900657,0.03208610,0.18799520,0.37008268,0.18826989,24.89869676
-5.50175088,25.09527970,0.03480968,0.16500370,0.03038139,0.18227182,0.35794403,0.18584070,23.55553393
-5.49574787,23.72773252,0.03366963,0.17046044,0.02871318,0.17625786,0.34589752,0.18340819,22.23038534
-5.48974487,22.38572669,0.03251754,0.17528341,0.02708612,0.16999323,0.33392897,0.18089961,20.93188328
-5.48374187,21.07646464,0.03135168,0.17938758,0.02550399,0.16351513,0.32201677,0.17824533,19.66716481
-5.47773887,19.80566115,0.03017054,0.18269878,0.02396966,0.15685831,0.31013481,0.17538099,18.44190107
-5.47173587,18.57763239,0.02897300,0.18515580,0.02248512,0.15005544,0.29825548,0.17224960,17.26037708
-5.46573287,17.39542507,0.02775846,0.18671214,0.02105161,0.14313754,0.28635267,0.16880341,16.12561138
-5.45972986,16.26097366,0.02652701,0.18733731,0.01966971,0.13613447,0.27440451,0.16500538,15.03950420
-5.45372686,15.17527373,0.02527949,0.18701757,0.01833952,0.12907548,0.26239565,0.16083031,14.00300259
-5.44772386,14.13856020,0.02401765,0.18575617,0.01706076,0.12198959,0.25031916,0.15626546,13.01627210
-5.44172086,13.15048066,0.02274415,0.18357297,0.01583297,0.11490595,0.23817772,0.15131073,12.07886524
-5.43571786,12.21025577,0.02146257,0.18050362,0.01465561,0.10785405,0.22598425,0.14597837,11.18987906
-5.42971486,11.31682051,0.02017737,0.17659821,0.01352817,0.10086382,0.21376189,0.14029217,10.34809569
-5.42371186,10.46894240,0.01889380,0.17191952,0.01245025,0.09396547,0.20154344,0.13428633,9.55210196
-5.41770885,9.66531475,0.01761775,0.16654100,0.01142160,0.08718935,0.18937018,0.12800397,8.80038579
-5.41170585,8.90462487,0.01635564,0.16054445,0.01044214,0.08056555,0.17729039,0.12149536,8.09140911
-5.40570285,8.18559871,0.01511417,0.15401767,0.00951193,0.07412344,0.16535750,0.11481606,7.42365837
-5.39969985,7.50702467,0.01390017,0.14705210,0.00863115,0.06789117,0.15362803,0.10802491,6.79567501
-5.39369685,6.86776007,0.01272033,0.13974041,0.00780003,0.06189507,0.14215957,0.10118211,6.20606893
-5.38769385,6.26672446,0.01158109,0.13217444,0.00701879,0.05615910,0.13100867,0.09434736,5.65351859
-5.38169085,5.70288358,0.01048835,0.12444325,0.00628753,0.05070431,0.12022898,0.08757821,5.13676156
-5.37568784,5.17522821,0.00944738,0.11663145,0.00560625,0.04554841,0.10986958,0.08092861,4.65457893
-5.36968484,4.68275097,0.00846265,0.10881790,0.00497467,0.04070535,0.09997363,0.07444773,4.20577698
-5.36368184,4.22442434,0.00753775,0.10107463,0.00439227,0.03618511,0.09057729,0.06817908,3.78916876
-5.35767884,3.79918165,0.00667528,0.09346621,0.00385821,0.03199354,0.08170907,0.06215986,3.40355756
