energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.13208888,0.00632936,0.01868125,0.02826392,0.00001587,0.03382483,0.02347683
-5.99399700,0.12212576,0.00592885,0.01627341,0.02715137,0.00001562,0.03074251,0.02114085
-5.98799400,0.11593580,0.00573062,0.01439695,0.02685053,0.00001587,0.02862379,0.01945043
-5.98199100,0.11353100,0.00574264,0.01305144,0.02736717,0.00001666,0.02747058,0.01839786
-5.97598799,0.11493929,0.00597526,0.01224297,0.02870657,0.00001801,0.02729151,0.01797817
-5.96998499,0.12021021,0.00644165,0.01198619,0.03087360,0.00001994,0.02810424,0.01819034
-5.96398199,0.12941881,0.00715812,0.01230618,0.03387234,0.00002249,0.02993736,0.01903826
-5.95797899,0.14266769,0.00814443,0.01324005,0.03770540,0.00002569,0.03283190,0.02053135
-5.95197599,0.16008732,0.00942382,0.01483825,0.04237291,0.00002960,0.03684246,0.02268480
-5.94597299,0.18183454,0.01102301,0.01716547,0.04787124,0.00003424,0.04203787,0.02551955
-5.93996998,0.20808947,0.01297194,0.02030124,0.05419161,0.00003968,0.04850139,0.02906186
-5.93396698,0.23905084,0.01530340,0.02433990,0.06131868,0.00004596,0.05633047,0.03334268
-5.92796398,0.27492991,0.01805240,0.02939016,0.06922909,0.00005313,0.06563600,0.03839662
-5.92196098,0.31594301,0.02125539,0.03557389,0.07789023,0.00006125,0.07654098,0.04426066
-5.91595798,0.36230298,0.02494919,0.04302439,0.08725923,0.00007035,0.08917865,0.05097260
-5.90995498,0.41420947,0.02916979,0.05188376,0.09728230,0.00008050,0.10368993,0.05856930
-5.90395198,0.47183822,0.03395090,0.06229952,0.10789433,0.00009173,0.12022025,0.06708458
-5.89794897,0.53532967,0.03932232,0.07442050,0.11901911,0.00010407,0.13891556,0.07654705
-5.89194597,0.60477676,0.04530817,0.08839184,0.13056977,0.00011755,0.15991767,0.08697772
-5.88594297,0.68021243,0.05192502,0.10434927,0.14244982,0.00013219,0.18335885,0.09838749
-5.87993997,0.76159684,0.05917997,0.12241284,0.15455446,0.00014799,0.20935572,0.11077472
-5.87393697,0.84880485,0.06706876,0.14268011,0.16677225,0.00016494,0.23800251,0.12412267
-5.86793397,0.94161391,0.07557404,0.16521907,0.17898709,0.00018300,0.26936392,0.13839727
-5.86193097,1.03969317,0.08466378,0.19006111,0.19108021,0.00020213,0.30346771,0.15354498
-5.85592796,1.14259400,0.09429010,0.21719424,0.20293237,0.00022226,0.34029720,0.16949112
