energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,0.79910762,0.07645931,0.00000000,0.23915189,0.28761687,0.02379840,0.31556771
-5.99399700,0.82815723,0.08097664,0.00000000,0.24366136,0.30387667,0.02434910,0.32555512
-5.98799400,0.86218509,0.08585377,0.00000000,0.24954825,0.32231650,0.02496834,0.33746074
-5.98199100,0.90101255,0.09104927,0.00000000,0.25678631,0.34284827,0.02565430,0.35122302
-5.97598799,0.94439562,0.09651713,0.00000000,0.26532822,0.36536030,0.02640403,0.36675520
-5.96998499,0.99202598,0.10220758,0.00000000,0.27510550,0.38971828,0.02721346,0.38394525
-5.96398199,1.04353480,0.10806808,0.00000000,0.28602926,0.41576724,0.02807743,0.40265695
-5.95797899,1.09849944,0.11404455,0.00000000,0.29799198,0.44333472,0.02898983,0.42273216
-5.95197599,1.15645298,0.12008264,0.00000000,0.31087020,0.47223477,0.02994369,0.44399413
-5.94597299,1.21689606,0.12612919,0.00000000,0.32452799,0.50227291,0.03093140,0.46625190
-5.93996998,1.27931067,0.13213359,0.00000000,0.33882124,0.53325164,0.03194491,0.48930539
-5.93396698,1.34317525,0.13804915,0.00000000,0.35360236,0.56497633,0.03297591,0.51295120
-5.92796398,1.40798020,0.14383434,0.00000000,0.36872531,0.59726119,0.03401611,0.53698855
-5.92196098,1.47324326,0.14945384,0.00000000,0.38405074,0.62993487,0.03505741,0.56122531
-5.91595798,1.53852360,0.15487931,0.00000000,0.39945077,0.66284546,0.03609210,0.58548360
-5.90995498,1.60343406,0.16008997,0.00000000,0.41481340,0.69586452,0.03711300,0.60960470
-5.90395198,1.66765063,0.16507270,0.00000000,0.43004605,0.72888979,0.03811361,0.63345306
-5.89794897,1.73091861,0.16982196,0.00000000,0.44507817,0.76184639,0.03908814,0.65691893
-5.89194597,1.79305502,0.17433922,0.00000000,0.45986268,0.79468642,0.04003152,0.67991969
-5.88594297,1.85394693,0.17863214,0.00000000,0.47437615,0.82738665,0.04093945,0.70239958
-5.87993997,1.91354577,0.18271346,0.00000000,0.48861757,0.85994466,0.04180825,0.72432787
-5.87393697,1.97185782,0.18659957,0.00000000,0.50260590,0.89237328,0.04263483,0.74569558
-5.86793397,2.02893124,0.19030901,0.00000000,0.51637637,0.92469375,0.04341656,0.76651077
-5.86193097,2.08484045,0.19386075,0.00000000,0.52997578,0.95692788,0.04415111,0.78679289
-5.85592796,2.13966867,0.19727261,0.00000000,0.54345701,0.98908964,0.04483635,0.80656623
-5.84992496,2.19348957,0.20055966,0.00000000,0.55687305,1.02117674,0.04547024,0.82585311
-5.84392196,2.24634921,0.20373284,0.00000000,0.57027087,1.05316254,0.04605068,0.84466701
-5.83791896,2.29824930,0.20679788,0.00000000,0.58368553,1.08498907,0.04657547,0.86300623
-5.83191596,2.34913298,0.20975455,0.00000000,0.59713486,1.11656141,0.04704225,0.88084836
-5.82591296,2.39887394,0.21259634,0.00000000,0.61061499,1.14774411,0.04744847,0.89814606
-5.81990995,2.44726989,0.21531064,0.00000000,0.62409713,1.17835981,0.04779144,0.91482439
-5.81390695,2.49404075,0.21787933,0.00000000,0.63752580,1.20819042,0.04806836,0.93077985
-5.80790395,2.53883220,0.22027998,0.00000000,0.65081860,1.23698097,0.04827638,0.94588150
-5.80190095,2.58122442,0.22248740,0.00000000,0.66386780,1.26444612,0.04841277,0.95997392
-5.79589795,2.62074594,0.22447572,0.00000000,0.67654343,1.29027905,0.04847499,0.97288215
-5.78989495,2.65689209,0.22622068,0.00000000,0.68869821,1.31416264,0.04846088,0.98441834
