energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.70880608,0.59598678,0.35366952,0.02616206,0.18145944,0.00674535,0.97229384,0.36585894,0.15382978
-5.99399700,1.70688418,0.59553998,0.35811294,0.02479788,0.18199760,0.00687306,0.97248809,0.36975097,0.15229704
-5.98799400,1.70784939,0.59676695,0.36322704,0.02340604,0.18283459,0.00700941,0.97417015,0.37395070,0.15100893
-5.98199100,1.71152490,0.59955666,0.36888509,0.02200848,0.18390816,0.00715316,0.97727896,0.37842861,0.14995811
-5.97598799,1.71762123,0.60374488,0.37493822,0.02062567,0.18514292,0.00730241,0.98169530,0.38314460,0.14912518
-5.96998499,1.72576003,0.60912519,0.38122248,0.01927618,0.18645406,0.00745466,0.98725424,0.38805297,0.14848100
-5.96398199,1.73550215,0.61546155,0.38756669,0.01797636,0.18775147,0.00760681,0.99375999,0.39310793,0.14798945
-5.95797899,1.74637821,0.62250191,0.39380065,0.01674012,0.18894407,0.00775526,1.00100204,0.39826930,0.14761050
-5.95197599,1.75792028,0.62999200,0.39976335,0.01557885,0.18994431,0.00789600,1.00877187,0.40350800,0.14730333
-5.94597299,1.76969266,0.63768885,0.40531071,0.01450135,0.19067249,0.00802480,1.01687899,0.40881090,0.14702929
-5.93996998,1.78132004,0.64537314,0.41032248,0.01351395,0.19106072,0.00813730,1.02516546,0.41418475,0.14675470
-5.93396698,1.79251140,0.65285978,0.41470800,0.01262066,0.19105645,0.00822923,1.03351788,0.41965874,0.14645305
-5.92796398,1.80307811,0.66000625,0.41841033,0.01182330,0.19062525,0.00829657,1.04187592,0.42528541,0.14610675
-5.92196098,1.81294508,0.66671822,0.42140872,0.01112185,0.18975280,0.00833570,1.05023695,0.43113987,0.14570810
-5.91595798,1.82215425,0.67295214,0.42371901,0.01051462,0.18844600,0.00834359,1.05865614,0.43731697,0.14525960
-5.90995498,1.83085994,0.67871468,0.42539222,0.00999860,0.18673313,0.00831789,1.06724204,0.44392666,0.14477342
-5.90395198,1.83931643,0.68405919,0.42651103,0.00956968,0.18466302,0.00825705,1.07614768,0.45108769,0.14427030
-5.89794897,1.84785813,0.68907927,0.42718463,0.00922290,0.18230342,0.00816039,1.08555763,0.45891972,0.14377764
-5.89194597,1.85687364,0.69389997,0.42754202,0.00895270,0.17973844,0.00802814,1.09567176,0.46753445,0.14332723
-5.88594297,1.86677521,0.69866716,0.42772415,0.00875306,0.17706546,0.00786140,1.10668663,0.47702617,0.14295251
-5.87993997,1.87796530,0.70353565,0.42787539,0.00861765,0.17439146,0.00766212,1.11877553,0.48746218,0.14268574
-5.87393697,1.89080239,0.70865705,0.42813478,0.00853997,0.17182907,0.00743302,1.13206859,0.49887385,0.14255505
-5.86793397,1.90556822,0.71416781,0.42862750,0.00851337,0.16949256,0.00717746,1.14663411,0.51124880,0.14258181
-5.86193097,1.92243857,0.72017859,0.42945717,0.00853110,0.16749391,0.00689934,1.16246245,0.52452469,0.14277823
-5.85592796,1.94145947,0.72676533,0.43069933,0.00858638,0.16593923,0.00660293,1.17945366,0.53858532,0.14314563
-5.84992496,1.96253067,0.73396289,0.43239658,0.00867236,0.16492571,0.00629273,1.19740969,0.55325918,0.14367318
-5.84392196,1.98539748,0.74176146,0.43455560,0.00878215,0.16453911,0.00597331,1.21603208,0.56832087,0.14433753
-5.83791896,2.00965191,0.75010625,0.43714633,0.00890885,0.16485212,0.00564913,1.23492541,0.58349543,0.14510313
-5.83191596,2.03474326,0.75890033,0.44010327,0.00904557,0.16592347,0.00532450,1.25360662,0.59846554,0.14592335
-5.82591296,2.05999798,0.76801060,0.44332900,0.00918547,0.16779788,0.00500334,1.27151999,0.61288133,0.14674230
-5.81990995,2.08464776,0.77727654,0.44669962,0.00932188,0.17050683,0.00468922,1.28805711,0.62637243,0.14749735
