energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.62937377,0.00752600,0.02108470,0.15491574,0.00165174,0.35992573,0.16575925,0.05005329
-5.99399700,0.69264491,0.00802998,0.02535607,0.16975605,0.00204011,0.39201889,0.17953419,0.05615438
-5.98799400,0.76133802,0.00853348,0.03031913,0.18561368,0.00250777,0.42625514,0.19406412,0.06293012
-5.98199100,0.83609126,0.00903563,0.03604591,0.20255853,0.00306737,0.46290928,0.20945483,0.07045205
-5.97598799,0.91762931,0.00953637,0.04260885,0.22066621,0.00373279,0.50231172,0.22583888,0.07879638
-5.96998499,1.00675695,0.01003647,0.05007924,0.24001555,0.00451899,0.54484744,0.24337558,0.08804285
-5.96398199,1.10434764,0.01053761,0.05852548,0.26068514,0.00544191,0.59095220,0.26224963,0.09827310
-5.95797899,1.21132658,0.01104231,0.06801109,0.28274904,0.00651822,0.64110544,0.28266831,0.10956864
-5.95197599,1.32864822,0.01155387,0.07859268,0.30627186,0.00776503,0.69581999,0.30485711,0.12200853
-5.94597299,1.45726832,0.01207632,0.09031767,0.33130307,0.00919956,0.75562842,0.32905373,0.13566657
-5.93996998,1.59811080,0.01261422,0.10322202,0.35787111,0.01083863,0.82106618,0.35550069,0.15060831
-5.93396698,1.75203027,0.01317252,0.11732790,0.38597724,0.01269821,0.89265194,0.38443653,0.16688773
-5.92796398,1.91977096,0.01375633,0.13264140,0.41558961,0.01479273,0.97086543,0.41608590,0.18454380
-5.92196098,2.10192321,0.01437076,0.14915037,0.44663774,0.01713452,1.05612359,0.45064887,0.20359702
-5.91595798,2.29887915,0.01502063,0.16682239,0.47900787,0.01973303,1.14875556,0.48828970,0.22404599
-5.90995498,2.51078883,0.01571027,0.18560302,0.51253932,0.02259413,1.24897760,0.52912563,0.24586418
-5.90395198,2.73751885,0.01644331,0.20541437,0.54702226,0.02571937,1.35686881,0.57321604,0.26899703
-5.89794897,2.97861496,0.01722246,0.22615409,0.58219711,0.02910531,1.47234858,0.62055245,0.29335956
-5.89194597,3.23327078,0.01804937,0.24769483,0.61775572,0.03274281,1.59515700,0.67104986,0.31883450
-5.88594297,3.50030411,0.01892442,0.26988420,0.65334446,0.03661657,1.72483905,0.72453986,0.34527122
-5.87993997,3.77814251,0.01984669,0.29254542,0.68856922,0.04070467,1.86073360,0.78076585,0.37248542
-5.87393697,4.06481962,0.02081384,0.31547857,0.72300235,0.04497833,2.00196800,0.83938077,0.40025982
-5.86793397,4.35798315,0.02182209,0.33846254,0.75619121,0.04940192,2.14745893,0.89994759,0.42834581
-5.86193097,4.65491533,0.02286623,0.36125770,0.78766827,0.05393306,2.29591998,0.96194261,0.45646610
-5.85592796,4.95256614,0.02393965,0.38360924,0.81696240,0.05852311,2.44587609,1.02476178,0.48431850
-5.84992496,5.24759903,0.02503446,0.40525122,0.84361081,0.06311781,2.59568497,1.08772981,0.51158059
-5.84392196,5.53644855,0.02614155,0.42591123,0.86717151,0.06765819,2.74356508,1.15011203,0.53791542
-5.83791896,5.81538872,0.02725072,0.44531553,0.88723555,0.07208178,2.88762959,1.21112863,0.56297795
-5.83191596,6.08061038,0.02835089,0.46319466,0.90343870,0.07632387,3.02592558,1.26997089,0.58642228
-5.82591296,6.32830556,0.02943022,0.47928935,0.91547216,0.08031914,3.15647729,1.32581895,0.60790920
-5.81990995,6.55475625,0.03047629,0.49335646,0.92309175,0.08400325,3.27733214,1.37786060,0.62711415
-5.81390695,6.75642495,0.03147636,0.50517502,0.92612535,0.08731457,3.38660820,1.42531044,0.64373516
-5.80790395,6.93004394,0.03241749,0.51455182,0.92447815,0.09019592,3.48254135,1.46742878,0.65750052
-5.80190095,7.07270029,0.03328683,0.52132676,0.91813572,0.09259621,3.56353078,1.50353982,0.66817603
-5.79589795,7.18191368,0.03407179,0.52537743,0.90716457,0.09447197,3.62818103,1.53304831,0.67557147
-5.78989495,7.25570433,0.03476029,0.52662290,0.89171038,0.09578869,3.67533938,1.55545434,0.67954611
-5.78389195,7.29264844,0.03534096,0.52502655,0.87199384,0.09652191,3.70412710,1.57036572,0.68001301
-5.77788894,7.29191949,0.03580340,0.52059779,0.84830451,0.09665806,3.71396355,1.57750761,0.67694200
-5.77188594,7.25331350,0.03613836,0.51339257,0.82099271,0.09619485,3.70458243,1.57672907,0.67036117
-5.76588294,7.17725788,0.03633803,0.50351264,0.79046004,0.09514147,3.67603956,1.56800655,0.66035680
-5.75987994,7.06480322,0.03639619,0.49110357,0.75714880,0.09351835,3.62871210,1.55144403,0.64707180
-5.75387694,6.91759879,0.03630844,0.47635155,0.72153074,0.09135658,3.56328933,1.52727017,0.63070261
-5.74787394,6.73785252,0.03607239,0.45947912,0.68409566,0.08869705,3.48075556,1.49583234,0.61149474
-5.74187094,6.52827727,0.03568779,0.44073987,0.64534016,0.08558931,3.38236572,1.45758805,0.58973706
-5.73586793,6.29202539,0.03515670,0.42041249,0.60575708,0.08209017,3.26961486,1.41309400,0.56575515
-5.72986493,6.03261393,0.03448355,0.39879407,0.56582582,0.07826216,3.14420258,1.36299316,0.53990376
-5.72386193,5.75384345,0.03367516,0.37619320,0.52600395,0.07417192,3.00799377,1.30800036,0.51255889
-5.71785893,5.45971295,0.03274080,0.35292291,0.48672022,0.06988846,2.86297696,1.24888677,0.48410956
-5.71185593,5.15433403,0.03169209,0.32929375,0.44836906,0.06548152,2.71122186,1.18646396,0.45494962
-5.70585293,4.84184669,0.03054289,0.30560723,0.41130678,0.06101999,2.55483711,1.12156766,0.42546988
-5.69984992,4.52633951,0.02930915,0.28214983,0.37584920,0.05657047,2.39592971,1.05504200,0.39605077
-5.69384692,4.21177599,0.02800867,0.25918774,0.34227079,0.05219592,2.23656706,0.98772437,0.36705566
-5.68784392,3.90192907,0.02666082,0.23696250,0.31080509,0.04795468,2.07874249,0.92043140,0.33882514
-5.68184092,3.60032476,0.02528625,0.21568752,0.28164614,0.04389951,1.92434490,0.85394617,0.31167221
-5.67583792,3.31019600,0.02390653,0.19554576,0.25495080,0.04007704,1.77513305,0.78900708,0.28587851
-5.66983492,3.03444668,0.02254371,0.17668824,0.23084162,0.03652731,1.63271449,0.72629834,0.26169162
-5.66383192,2.77562606,0.02122000,0.15923371,0.20940998,0.03328357,1.49852940,0.66644221,0.23932335
-5.65782891,2.53591280,0.01995729,0.14326916,0.19071938,0.03037231,1.37383883,0.60999307,0.21894900
-5.65182591,2.31710797,0.01877673,0.12885112,0.17480849,0.02781337,1.25971737,0.55743317,0.20070742
