energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.22987180,-1.04218727,0.00327715,-0.01833639,0.04317813,-0.04632773,1.41603163,-0.45632937,0.31344083,-0.14960720,0.77883715,-0.19735283,0.37327009,-0.10841807,0.01335229,-0.03860311,1.29278949,-0.58046923
-5.99399700,2.21978636,-1.04287269,0.00342447,-0.01642638,0.04152914,-0.04512631,1.41554336,-0.45948204,0.31791088,-0.14940858,0.77727813,-0.20583763,0.37212708,-0.10649224,0.01208297,-0.03847941,1.28918844,-0.58432793
-5.98799400,2.20683438,-1.04756464,0.00360420,-0.01462311,0.03977299,-0.04416297,1.41237689,-0.46680193,0.32202529,-0.14935939,0.77385084,-0.21625620,0.37040065,-0.10525896,0.01095007,-0.03815726,1.28388778,-0.59067478
-5.98199100,2.19114900,-1.05662284,0.00382116,-0.01294028,0.03793415,-0.04345561,1.40662163,-0.47849633,0.32571839,-0.14951275,0.76862059,-0.22866457,0.36809611,-0.10477200,0.00996289,-0.03764161,1.27694189,-0.59970860
-5.97598799,2.17285515,-1.07033360,0.00408006,-0.01138801,0.03603781,-0.04301541,1.39836581,-0.49470207,0.32892455,-0.14991866,0.76166145,-0.24308409,0.36521779,-0.10506933,0.00912897,-0.03694177,1.26840024,-0.61158692
-5.96998499,2.15207453,-1.08890003,0.00438540,-0.00997300,0.03410927,-0.04284663,1.38769530,-0.51548029,0.33158144,-0.15062271,0.75305476,-0.25949820,0.36177037,-0.10617239,0.00845429,-0.03607109,1.25831052,-0.62641978
-5.96398199,2.12893248,-1.11243277,0.00474129,-0.00869879,0.03217349,-0.04294665,1.37469412,-0.54081201,0.33363340,-0.15166477,0.74288806,-0.27784985,0.35776066,-0.10808562,0.00794362,-0.03504647,1.24672294,-0.64426374
-5.95797899,2.10356595,-1.14094172,0.00515128,-0.00756612,0.03025455,-0.04330600,1.35944629,-0.57059473,0.33503463,-0.15307779,0.73125473,-0.29803964,0.35319960,-0.11079634,0.00760072,-0.03388778,1.23369519,-0.66511641
-5.95197599,2.07613218,-1.17432941,0.00561818,-0.00657338,0.02837522,-0.04390869,1.34203895,-0.60464039,0.33575219,-0.15488680,0.71825407,-0.31992495,0.34810437,-0.11427491,0.00742856,-0.03261715,1.21929795,-0.68891200
-5.94597299,2.04681730,-1.21238664,0.00614397,-0.00571697,0.02655664,-0.04473258,1.32256650,-0.64267492,0.33576839,-0.15710815,0.70399184,-0.34332021,0.34250047,-0.11847524,0.00742952,-0.03125820,1.20362021,-0.71551814
-5.93996998,2.01584390,-1.25479114,0.00672958,-0.00499178,0.02481796,-0.04574989,1.30113509,-0.68433982,0.33508268,-0.15974915,0.68858106,-0.36799851,0.33642360,-0.12333565,0.00760538,-0.02983527,1.18677417,-0.74473461
-5.93396698,1.98347707,-1.30110971,0.00737478,-0.00439163,0.02317615,-0.04692790,1.27786722,-0.72919607,0.33371264,-0.16280799,0.67214297,-0.39369462,0.32992125,-0.12878017,0.00795745,-0.02837265,1.16889914,-0.77629423
