energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,2.52429925,0.02633004,0.27555733,1.05664870,0.87404335,0.30163915,0.33321374,0.94854109,0.00000000
-5.99399700,2.57407511,0.02773256,0.29264667,1.11466621,0.90963238,0.30146462,0.33402440,0.94860275,0.00000000
-5.98799400,2.63454171,0.02926161,0.31176976,1.18242545,0.94846443,0.30233901,0.33551440,0.95225504,0.00000000
-5.98199100,2.70475377,0.03090454,0.33272834,1.25932490,0.98991686,0.30415769,0.33764647,0.95936674,0.00000000
-5.97598799,2.78367104,0.03264613,0.35528705,1.34458706,1.03333803,0.30681885,0.34038844,0.96979351,0.00000000
-5.96998499,2.87017051,0.03446869,0.37917540,1.43726022,1.07806075,0.31022548,0.34371269,0.98337698,0.00000000
-5.96398199,2.96305910,0.03635215,0.40409062,1.53622382,1.12341633,0.31428674,0.34759512,0.99994305,0.00000000
-5.95797899,3.06108714,0.03827427,0.42970147,1.64019798,1.16874895,0.31891894,0.35201338,1.01929957,0.00000000
-5.95197599,3.16296298,0.04021093,0.45565306,1.74775787,1.21343030,0.32404597,0.35694477,1.04123378,0.00000000
-5.94597299,3.26736897,0.04213641,0.48157262,1.85735310,1.25687395,0.32959934,0.36236376,1.06550982,0.00000000
-5.93996998,3.37297900,0.04402388,0.50707627,1.96733230,1.29854932,0.33551792,0.36823950,1.09186663,0.00000000
-5.93396698,3.47847757,0.04584587,0.53177666,2.07597286,1.33799474,0.34174734,0.37453331,1.12001659,0.00000000
-5.92796398,3.58258037,0.04757480,0.55529129,2.18151519,1.37482944,0.34823928,0.38119654,1.14964514,0.00000000
-5.92196098,3.68405605,0.04918364,0.57725134,2.28220103,1.40876383,0.35495052,0.38816877,1.18041154,0.00000000
-5.91595798,3.78174862,0.05064655,0.59731078,2.37631450,1.43960798,0.36184206,0.39537668,1.21195111,0.00000000
-5.90995498,3.87460019,0.05193949,0.61515534,2.46222497,1.46727774,0.36887809,0.40273368,1.24387881,0.00000000
-5.90395198,3.96167300,0.05304098,0.63051121,2.53842983,1.49179832,0.37602509,0.41014023,1.27579430,0.00000000
-5.89794897,4.04217028,0.05393260,0.64315287,2.60359606,1.51330504,0.38325102,0.41748519,1.30728843,0.00000000
-5.89194597,4.11545476,0.05459967,0.65291002,2.65659847,1.53204104,0.39052457,0.42464795,1.33795090,0.00000000
-5.88594297,4.18106436,0.05503164,0.65967292,2.69655338,1.54835184,0.39781464,0.43150139,1.36737898,0.00000000
-5.87993997,4.23872395,0.05522251,0.66339628,2.72284600,1.56267674,0.40508993,0.43791556,1.39518697,0.00000000
-5.87393697,4.28835273,0.05517111,0.66410106,2.73515047,1.57553720,0.41231888,0.44376205,1.42101613,0.00000000
-5.86793397,4.33006655,0.05488114,0.66187445,2.73344153,1.58752221,0.41946970,0.44891859,1.44454459,0.00000000
-5.86193097,4.36417504,0.05436122,0.65686762,2.71799725,1.59927128,0.42651079,0.45327405,1.46549707,0.00000000
-5.85592796,4.39117329,0.05362465,0.64929157,2.68939281,1.61145511,0.43341141,0.45673330,1.48365397,0.00000000
-5.84992496,4.41172836,0.05268913,0.63941099,2.64848538,1.62475486,0.44014261,0.45922190,1.49885936,0.00000000
-5.84392196,4.42666103,0.05157629,0.62753654,2.59639103,1.63984038,0.44667856,0.46069024,1.51102780,0.00000000
-5.83791896,4.43692341,0.05031112,0.61401576,2.53445443,1.65734838,0.45299802,0.46111712,1.52014956,0.00000000
-5.83191596,4.44357333,0.04892129,0.59922298,2.46421302,1.67786111,0.45908622,0.46051236,1.52629396,0.00000000
-5.82591296,4.44774650,0.04743647,0.58354872,2.38735677,1.70188656,0.46493685,0.45891844,1.52961093,0.00000000
-5.81990995,4.45062759,0.04588749,0.56738894,2.30568562,1.72984095,0.47055416,0.45641113,1.53033044,0.00000000
-5.81390695,4.45342127,0.04430560,0.55113465,2.22106598,1.76203418,0.47595520,0.45309879,1.52875980,0.00000000
-5.80790395,4.45732445,0.04272168,0.53516219,2.13538795,1.79865894,0.48117182,0.44912067,1.52527901,0.00000000
-5.80190095,4.46350051,0.04116552,0.51982461,2.05052475,1.83978416,0.48625257,0.44464400,1.52033399,0.00000000
-5.79589795,4.47305647,0.03966516,0.50544446,1.96829540,1.88535281,0.49126412,0.43986008,1.51442796,0.00000000
-5.78989495,4.48702342,0.03824631,0.49230801,1.89043149,1.93518452,0.49629217,0.43497949,1.50811107,0.00000000
-5.78389195,4.50634064,0.03693190,0.48066125,1.81854868,1.98898271,0.50144165,0.43022651,1.50196838,0.00000000
-5.77788894,4.53184329,0.03574165,0.47070742,1.75412289,2.04634602,0.50683606,0.42583300,1.49660655,0.00000000
-5.77188594,4.56425331,0.03469187,0.46260620,1.69847121,2.10678336,0.51261581,0.42203191,1.49263929,0.00000000
