energy_ev,total_up,Cu_p_up,Cu_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,1.74113575,1.26838638,0.64852216,0.03265554,0.21852434,0.64032724,0.00000000
-5.99399700,1.77792923,1.29900922,0.66469888,0.03568886,0.22534423,0.65005572,0.00000000
-5.98799400,1.81165017,1.32461404,0.68079991,0.03874448,0.23230227,0.65757293,0.00000000
-5.98199100,1.84220877,1.34506752,0.69681593,0.04178289,0.23939030,0.66283419,0.00000000
-5.97598799,1.86959607,1.36035213,0.71274970,0.04476230,0.24660359,0.66584015,0.00000000
-5.96998499,1.89388460,1.37056354,0.72861686,0.04763966,0.25393967,0.66663819,0.00000000
-5.96398199,1.91522610,1.37590417,0.74444619,0.05037184,0.26139688,0.66532219,0.00000000
-5.95797899,1.93384638,1.37667308,0.76027916,0.05291688,0.26897282,0.66203082,0.00000000
-5.95197599,1.95003733,1.37325243,0.77616883,0.05523522,0.27666266,0.65694433,0.00000000
-5.94597299,1.96414647,1.36609128,0.79217817,0.05729097,0.28445759,0.65027987,0.00000000
-5.93996998,1.97656444,1.35568732,0.80837763,0.05905305,0.29234318,0.64228560,0.00000000
-5.93396698,1.98771089,1.34256733,0.82484239,0.06049618,0.30029810,0.63323380,0.00000000
-5.92796398,1.99801938,1.32726724,0.84164899,0.06160176,0.30829305,0.62341312,0.00000000
-5.92196098,2.00792192,1.31031266,0.85887192,0.06235842,0.31629006,0.61312037,0.00000000
-5.91595798,2.01783370,1.29220078,0.87657983,0.06276240,0.32424231,0.60265206,0.00000000
-5.90995498,2.02813862,1.27338430,0.89483187,0.06281765,0.33209435,0.59229606,0.00000000
-5.90395198,2.03917614,1.25425818,0.91367408,0.06253559,0.33978290,0.58232357,0.00000000
-5.89794897,2.05122988,1.23514965,0.93313598,0.06193472,0.34723811,0.57298171,0.00000000
-5.89194597,2.06451833,1.21631194,0.95322748,0.06103985,0.35438535,0.56448703,0.00000000
-5.88594297,2.07918785,1.19792177,0.97393621,0.05988123,0.36114731,0.55701995,0.00000000
