energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,8.18656503,0.04950510,0.74301309,2.32035400,0.84380628,2.28844410,3.69745321,0.05714714,3.03732006
-5.99399700,7.98997944,0.04755272,0.72166131,2.26814298,0.82606382,2.22288127,3.61404939,0.05532611,2.96935268
-5.98799400,7.79943553,0.04561292,0.70039633,2.21599407,0.80943737,2.15812081,3.53399951,0.05364974,2.90402182
-5.98199100,7.61678495,0.04370335,0.67949019,2.16437473,0.79403877,2.09485095,3.45806187,0.05213228,2.84184890
-5.97598799,7.44353299,0.04184043,0.65919157,2.11368300,0.77993285,2.03368600,3.38683465,0.05078299,2.78322328
-5.96998499,7.28083250,0.04003913,0.63972271,2.06424330,0.76713941,1.97515868,3.32075665,0.04960625,2.72840360
-5.96398199,7.12948865,0.03831282,0.62127726,2.01630505,0.75563649,1.91971451,3.26011293,0.04860182,2.67752280
-5.95797899,6.98997392,0.03667312,0.60401929,1.97004403,0.74536468,1.86770837,3.20504500,0.04776520,2.63059637
-5.95197599,6.86245208,0.03512978,0.58808311,1.92556620,0.73623244,1.81940331,3.15556477,0.04708809,2.58753337
-5.94597299,6.74680969,0.03369064,0.57357416,1.88291365,0.72812193,1.77497142,3.11157158,0.04655897,2.54814966
-5.93996998,6.64269363,0.03236156,0.56057061,1.84207250,0.72089539,1.73449697,3.07287138,0.04616366,2.51218285
-5.93396698,6.54955285,0.03114643,0.54912561,1.80298202,0.71440155,1.69798151,3.03919722,0.04588600,2.47930820
-5.92796398,6.46668260,0.03004717,0.53927016,1.76554476,0.70848208,1.66535095,3.01023020,0.04570847,2.44915513
-5.92196098,6.39326932,0.02906380,0.53101616,1.72963698,0.70297771,1.63646431,2.98561990,0.04561284,2.42132365
-5.91595798,6.32843464,0.02819457,0.52435978,1.69511914,0.69773384,1.61112392,2.96500364,0.04558083,2.39540029
-5.90995498,6.27127676,0.02743607,0.51928466,1.66184580,0.69260564,1.58908676,2.94802377,0.04559460,2.37097311
-5.90395198,6.22090809,0.02678342,0.51576497,1.62967466,0.68746234,1.57007655,2.93434249,0.04563735,2.34764535
-5.89794897,6.17648781,0.02623049,0.51376819,1.59847450,0.68219071,1.55379615,2.92365372,0.04569372,2.32504753
-5.89194597,6.13724869,0.02577017,0.51325726,1.56813158,0.67669771,1.53993990,2.91569169,0.04575015,2.30284776
-5.88594297,6.10251751,0.02539460,0.51419230,1.53855461,0.67091229,1.52820536,2.91023629,0.04579522,2.28076008
-5.87993997,6.07172879,0.02509551,0.51653153,1.50967805,0.66478630,1.51830397,2.90711492,0.04581981,2.25855072
-5.87393697,6.04443184,0.02486450,0.52023165,1.48146385,0.65829467,1.50997042,2.90620129,0.04581721,2.23604244
-5.86793397,6.02029149,0.02469333,0.52524744,1.45390163,0.65143484,1.50297003,2.90741129,0.04578321,2.21311674
-5.86193097,5.99908278,0.02457425,0.53153077,1.42700767,0.64422557,1.49710421,2.91069631,0.04571597,2.18971423
-5.85592796,5.98068052,0.02450020,0.53902908,1.40082257,0.63670528,1.49221351,2.91603466,0.04561600,2.16583313
-5.84992496,5.96504446,0.02446510,0.54768347,1.37540815,0.62892984,1.48817837,2.92342152,0.04548592,2.14152616
-5.84392196,5.95220113,0.02446396,0.55742644,1.35084359,0.62097019,1.48491749,2.93285804,0.04533031,2.11689593
-5.83791896,5.94222330,0.02449300,0.56817964,1.32722117,0.61290959,1.48238403,2.94434023,0.04515537,2.09208904
-5.83191596,5.93520829,0.02454973,0.57985167,1.30464179,0.60484088,1.48055987,2.95784819,0.04496871,2.06728909
-5.82591296,5.93125614,0.02463290,0.59233616,1.28321052,0.59686358,1.47944837,2.97333630,0.04477904,2.04270884
-5.81990995,5.93044864,0.02474237,0.60551034,1.26303227,0.58908102,1.47906591,2.99072483,0.04459586,2.01858174
-5.81390695,5.93283032,0.02487901,0.61923427,1.24420787,0.58159760,1.47943301,3.00989328,0.04442919,1.99515308
-5.80790395,5.93839200,0.02504439,0.63335077,1.22683051,0.57451614,1.48056522,3.03067607,0.04428929,1.97267100
