energy_ev,total_up,B_p_up,B_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,0.37405146,0.00539581,0.00000000,0.15360771,0.04362692,0.22601298,0.00000000
-5.99399700,0.36377305,0.00515265,0.00000000,0.15065540,0.04244281,0.21993636,0.00000000
-5.98799400,0.35360460,0.00492580,0.00000000,0.14773234,0.04129853,0.21359914,0.00000000
-5.98199100,0.34338815,0.00470985,0.00000000,0.14480949,0.04017482,0.20691180,0.00000000
-5.97598799,0.33305174,0.00450090,0.00000000,0.14189667,0.03906275,0.19983211,0.00000000
-5.96998499,0.32260537,0.00429653,0.00000000,0.13904066,0.03796309,0.19236329,0.00000000
-5.96398199,0.31213442,0.00409565,0.00000000,0.13632221,0.03688544,0.18455063,0.00000000
-5.95797899,0.30179085,0.00389843,0.00000000,0.13385201,0.03584703,0.17647709,0.00000000
-5.95197599,0.29178267,0.00370609,0.00000000,0.13176592,0.03487133,0.16825789,0.00000000
-5.94597299,0.28236215,0.00352079,0.00000000,0.13021959,0.03398655,0.16003452,0.00000000
-5.93996998,0.27381322,0.00334543,0.00000000,0.12938257,0.03322397,0.15196838,0.00000000
-5.93396698,0.26643843,0.00318348,0.00000000,0.12943205,0.03261627,0.14423420,0.00000000
-5.92796398,0.26054601,0.00303883,0.00000000,0.13054652,0.03219589,0.13701364,0.00000000
-5.92196098,0.25643717,0.00291558,0.00000000,0.13289936,0.03199343,0.13048901,0.00000000
-5.91595798,0.25439415,0.00281789,0.00000000,0.13665250,0.03203613,0.12483746,0.00000000
-5.90995498,0.25466915,0.00274987,0.00000000,0.14195030,0.03234660,0.12022552,0.00000000
-5.90395198,0.25747436,0.00271538,0.00000000,0.14891375,0.03294159,0.11680428,0.00000000
-5.89794897,0.26297328,0.00271793,0.00000000,0.15763517,0.03383108,0.11470499,0.00000000
-5.89194597,0.27127344,0.00276056,0.00000000,0.16817334,0.03501754,0.11403532,0.00000000
-5.88594297,0.28242066,0.00284569,0.00000000,0.18054933,0.03649548,0.11487613,0.00000000
-5.87993997,0.29639482,0.00297505,0.00000000,0.19474313,0.03825123,0.11727880,0.00000000
-5.87393697,0.31310738,0.00314959,0.00000000,0.21069107,0.04026297,0.12126309,0.00000000
-5.86793397,0.33240051,0.00336935,0.00000000,0.22828429,0.04250101,0.12681560,0.00000000
-5.86193097,0.35404793,0.00363345,0.00000000,0.24736821,0.04492840,0.13388878,0.00000000
-5.85592796,0.37775764,0.00394000,0.00000000,0.26774323,0.04750167,0.14240054,0.00000000
-5.84992496,0.40317617,0.00428607,0.00000000,0.28916668,0.05017183,0.15223458,0.00000000
-5.84392196,0.42989473,0.00466772,0.00000000,0.31135602,0.05288557,0.16324139,0.00000000
-5.83791896,0.45745692,0.00507995,0.00000000,0.33399333,0.05558658,0.17524008,0.00000000
-5.83191596,0.48536797,0.00551681,0.00000000,0.35673120,0.05821701,0.18802103,0.00000000
-5.82591296,0.51310535,0.00597145,0.00000000,0.37919963,0.06071897,0.20134936,0.00000000
