energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.25187839,0.03015715,0.00000000,0.26704026,0.66054613,0.00107455,0.72008017
-5.99399700,1.24320347,0.02921089,0.00000000,0.26841178,0.65492497,0.00104957,0.71647852
-5.98799400,1.23015958,0.02817091,0.00000000,0.26899029,0.64690285,0.00101973,0.71035436
-5.98199100,1.21294260,0.02705039,0.00000000,0.26878875,0.63659425,0.00098545,0.70180756
-5.97598799,1.19183332,0.02586404,0.00000000,0.26783695,0.62415958,0.00094724,0.69098795
-5.96998499,1.16719124,0.02462762,0.00000000,0.26618104,0.60980170,0.00090570,0.67809203
-5.96398199,1.13944706,0.02335756,0.00000000,0.26388283,0.59376157,0.00086144,0.66335898
-5.95797899,1.10909425,0.02207047,0.00000000,0.26101900,0.57631360,0.00081515,0.64706613
-5.95197599,1.07667994,0.02078273,0.00000000,0.25768010,0.55776044,0.00076749,0.62952393
-5.94597299,1.04279524,0.01951017,0.00000000,0.25396954,0.53842760,0.00071915,0.61107055
-5.93996998,1.00806514,0.01826766,0.00000000,0.25000227,0.51865777,0.00067080,0.59206628
-5.93396698,0.97313811,0.01706895,0.00000000,0.24590329,0.49880504,0.00062307,0.57288747
-5.92796398,0.93867523,0.01592637,0.00000000,0.24180584,0.47922899,0.00057655,0.55392038
-5.92196098,0.90533908,0.01485071,0.00000000,0.23784932,0.46028861,0.00053180,0.53555455
-5.91595798,0.87378209,0.01385116,0.00000000,0.23417670,0.44233616,0.00048930,0.51817595
-5.90995498,0.84463453,0.01293518,0.00000000,0.23093161,0.42571078,0.00044946,0.50215975
-5.90395198,0.81849212,0.01210857,0.00000000,0.22825499,0.41073214,0.00041266,0.48786273
-5.89794897,0.79590322,0.01137541,0.00000000,0.22628133,0.39769388,0.00037916,0.47561547
-5.89194597,0.77735593,0.01073814,0.00000000,0.22513462,0.38685707,0.00034917,0.46571434
-5.88594297,0.76326523,0.01019762,0.00000000,0.22492409,0.37844383,0.00032286,0.45841346
-5.87993997,0.75396053,0.00975317,0.00000000,0.22573993,0.37263108,0.00030027,0.45391689
-5.87393697,0.74967408,0.00940266,0.00000000,0.22764908,0.36954483,0.00028143,0.45237127
-5.86793397,0.75053064,0.00914258,0.00000000,0.23069142,0.36925507,0.00026627,0.45385926
-5.86193097,0.75653913,0.00896815,0.00000000,0.23487647,0.37177159,0.00025469,0.45839410
-5.85592796,0.76758656,0.00887337,0.00000000,0.24018085,0.37704101,0.00024652,0.46591564
-5.84992496,0.78343508,0.00885119,0.00000000,0.24654676,0.38494517,0.00024153,0.47628816
-5.84392196,0.80372226,0.00889358,0.00000000,0.25388152,0.39530129,0.00023949,0.48930035
-5.83791896,0.82796533,0.00899168,0.00000000,0.26205846,0.40786387,0.00024008,0.50466756
-5.83191596,0.85556937,0.00913594,0.00000000,0.27091907,0.42232871,0.00024298,0.52203660
-5.82591296,0.88583953,0.00931634,0.00000000,0.28027652,0.43833886,0.00024784,0.54099302
-5.81990995,0.91799724,0.00952253,0.00000000,0.28992048,0.45549260,0.00025429,0.56107080
-5.81390695,0.95120000,0.00974405,0.00000000,0.29962301,0.47335325,0.00026194,0.58176434
-5.80790395,0.98456413,0.00997057,0.00000000,0.30914547,0.49146058,0.00027042,0.60254225
-5.80190095,1.01718987,0.01019209,0.00000000,0.31824598,0.50934344,0.00027934,0.62286261
-5.79589795,1.04818776,0.01039918,0.00000000,0.32668740,0.52653317,0.00028833,0.64218904
-5.78989495,1.07670542,0.01058318,0.00000000,0.33424515,0.54257732,0.00029704,0.66000703
-5.78389195,1.10195345,0.01073640,0.00000000,0.34071477,0.55705310,0.00030515,0.67583980
-5.77788894,1.12322951,0.01085232,0.00000000,0.34591881,0.56957994,0.00031237,0.68926291
-5.77188594,1.13993935,0.01092565,0.00000000,0.34971265,0.57983072,0.00031845,0.69991723
-5.76588294,1.15161393,0.01095250,0.00000000,0.35198902,0.58754108,0.00032318,0.70751929
-5.75987994,1.15792182,0.01093041,0.00000000,0.35268104,0.59251636,0.00032640,0.71186893
-5.75387694,1.15867631,0.01085832,0.00000000,0.35176360,0.59463594,0.00032799,0.71285358
-5.74787394,1.15383694,0.01073654,0.00000000,0.34925305,0.59385472,0.00032790,0.71044915
-5.74187094,1.14350542,0.01056670,0.00000000,0.34520520,0.59020174,0.00032611,0.70471758
-5.73586793,1.12791617,0.01035153,0.00000000,0.33971179,0.58377593,0.00032265,0.69580092
-5.72986493,1.10742213,0.01009480,0.00000000,0.33289566,0.57473939,0.00031759,0.68391269
-5.72386193,1.08247642,0.00980103,0.00000000,0.32490476,0.56330847,0.00031104,0.66932660
-5.71785893,1.05361101,0.00947535,0.00000000,0.31590547,0.54974307,0.00030313,0.65236350
-5.71185593,1.02141337,0.00912324,0.00000000,0.30607551,0.53433489,0.00029405,0.63337708
-5.70585293,0.98650232,0.00875036,0.00000000,0.29559678,0.51739503,0.00028395,0.61273916
-5.69984992,0.94950426,0.00836232,0.00000000,0.28464853,0.49924174,0.00027304,0.59082521
-5.69384692,0.91103090,0.00796453,0.00000000,0.27340109,0.48018868,0.00026150,0.56800079
-5.68784392,0.87165936,0.00756203,0.00000000,0.26201059,0.46053451,0.00024951,0.54460958
-5.68184092,0.83191561,0.00715939,0.00000000,0.25061465,0.44055388,0.00023727,0.52096334
-5.67583792,0.79226166,0.00676064,0.00000000,0.23932942,0.42049050,0.00022492,0.49733436
-5.66983492,0.75308694,0.00636923,0.00000000,0.22824785,0.40055226,0.00021262,0.47395038
-5.66383192,0.71470388,0.00598802,0.00000000,0.21743923,0.38090849,0.00020048,0.45099216
-5.65782891,0.67734760,0.00561929,0.00000000,0.20694994,0.36168944,0.00018863,0.42859357
-5.65182591,0.64117932,0.00526487,0.00000000,0.19680528,0.34298763,0.00017712,0.40684392
-5.64582291,0.60629291,0.00492615,0.00000000,0.18701210,0.32486097,0.00016604,0.38579224
-5.63981991,0.57272396,0.00460423,0.00000000,0.17756209,0.30733714,0.00015543,0.36545307
-5.63381691,0.54046057,0.00430002,0.00000000,0.16843546,0.29041901,0.00014532,0.34581321
-5.62781391,0.50945512,0.00401437,0.00000000,0.15960475,0.27409056,0.00013572,0.32683908
-5.62181091,0.47963625,0.00374820,0.00000000,0.15103858,0.25832300,0.00012665,0.30848408
-5.61580790,0.45092031,0.00350260,0.00000000,0.14270507,0.24308059,0.00011813,0.29069564
-5.60980490,0.42322175,0.00327899,0.00000000,0.13457488,0.22832608,0.00011014,0.27342144
-5.60380190,0.39646198,0.00307919,0.00000000,0.12662360,0.21402521,0.00010270,0.25661473
-5.59779890,0.37057636,0.00290553,0.00000000,0.11883356,0.20015041,0.00009583,0.24023834
-5.59179590,0.34551915,0.00276095,0.00000000,0.11119491,0.18668334,0.00008953,0.22426746
-5.58579290,0.32126649,0.00264903,0.00000000,0.10370609,0.17361643,0.00008384,0.20869110
-5.57978989,0.29781728,0.00257409,0.00000000,0.09637361,0.16095337,0.00007879,0.19351228
-5.57378689,0.27519247,0.00254119,0.00000000,0.08921146,0.14870870,0.00007444,0.17874723
-5.56778389,0.25343281,0.00255620,0.00000000,0.08223990,0.13690663,0.00007083,0.16442358
-5.56178089,0.23259545,0.00262576,0.00000000,0.07548415,0.12557927,0.00006805,0.15057797
-5.55577789,0.21274985,0.00275730,0.00000000,0.06897274,0.11476442,0.00006616,0.13725322
-5.54977489,0.19397324,0.00295902,0.00000000,0.06273595,0.10450318,0.00006525,0.12449526
-5.54377189,0.17634596,0.00323978,0.00000000,0.05680416,0.09483753,0.00006542,0.11235012
-5.53776888,0.15994705,0.00360913,0.00000000,0.05120645,0.08580795,0.00006676,0.10086112
-5.53176588,0.14485028,0.00407711,0.00000000,0.04596934,0.07745132,0.00006937,0.09006639
-5.52576288,0.13112078,0.00465422,0.00000000,0.04111584,0.06979920,0.00007335,0.07999691
-5.51975988,0.11881230,0.00535122,0.00000000,0.03666474,0.06287634,0.00007879,0.07067502
-5.51375688,0.10796537,0.00617901,0.00000000,0.03263019,0.05669977,0.00008578,0.06211351
-5.50775388,0.09860612,0.00714841,0.00000000,0.02902159,0.05127820,0.00009439,0.05431525
-5.50175088,0.09074581,0.00827001,0.00000000,0.02584371,0.04661178,0.00010470,0.04727326
-5.49574787,0.08438103,0.00955393,0.00000000,0.02309699,0.04269231,0.00011676,0.04097135
-5.48974487,0.07949433,0.01100963,0.00000000,0.02077802,0.03950361,0.00013060,0.03538490
-5.48374187,0.07605538,0.01264567,0.00000000,0.01888011,0.03702224,0.00014624,0.03048210
-5.47773887,0.07402228,0.01446955,0.00000000,0.01739395,0.03521824,0.00016370,0.02622518
-5.47173587,0.07334313,0.01648747,0.00000000,0.01630820,0.03405614,0.00018295,0.02257189
-5.46573287,0.07395761,0.01870415,0.00000000,0.01561011,0.03349587,0.00020398,0.01947681
-5.45972986,0.07579856,0.02112269,0.00000000,0.01528601,0.03349382,0.00022676,0.01689272
-5.45372686,0.07879345,0.02374441,0.00000000,0.01532175,0.03400371,0.00025127,0.01477183
-5.44772386,0.08286570,0.02656871,0.00000000,0.01570293,0.03497758,0.00027748,0.01306678
-5.44172086,0.08793579,0.02959292,0.00000000,0.01641503,0.03636658,0.00030539,0.01173158
-5.43571786,0.09392220,0.03281223,0.00000000,0.01744347,0.03812171,0.00033505,0.01072231
-5.42971486,0.10074201,0.03621954,0.00000000,0.01877339,0.04019443,0.00036654,0.00999761
-5.42371186,0.10831139,0.03980535,0.00000000,0.02038947,0.04253726,0.00040001,0.00951905
-5.41770885,0.11654579,0.04355763,0.00000000,0.02227552,0.04510417,0.00043572,0.00925132
-5.41170585,0.12535998,0.04746167,0.00000000,0.02441412,0.04785094,0.00047402,0.00916228
-5.40570285,0.13466792,0.05149993,0.00000000,0.02678616,0.05073540,0.00051541,0.00922296
-5.39969985,0.14438248,0.05565191,0.00000000,0.02937040,0.05371761,0.00056053,0.00940739
-5.39369685,0.15441518,0.05989395,0.00000000,0.03214311,0.05675995,0.00061024,0.00969244
-5.38769385,0.16467582,0.06419918,0.00000000,0.03507773,0.05982715,0.00066558,0.01005763
-5.38169085,0.17507225,0.06853734,0.00000000,0.03814470,0.06288630,0.00072782,0.01048486
-5.37568784,0.18551024,0.07287481,0.00000000,0.04131140,0.06590680,0.00079852,0.01095826
-5.36968484,0.19589352,0.07717468,0.00000000,0.04454233,0.06886030,0.00087946,0.01146395
-5.36368184,0.20612407,0.08139689,0.00000000,0.04779935,0.07172070,0.00097271,0.01198987
-5.35767884,0.21610273,0.08549854,0.00000000,0.05104227,0.07446408,0.00108065,0.01252569
-5.35167584,0.22573012,0.08943439,0.00000000,0.05422948,0.07706876,0.00120590,0.01306266
-5.34567284,0.23490789,0.09315749,0.00000000,0.05731885,0.07951534,0.00135134,0.01359359
